
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending December 1, 2012 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	3	11	66	862	769	4	14	64	729	2,433	-	2	14	134	140						
NEW ENGLAND	-	0	2	22	3	1	4	19	268	436	-	0	1	1	2						
Conn.	-	0	0	-	-	-	1	10	97	147	-	0	0	-	-						
Maine	-	0	2	5	1	1	1	4	47	20	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	1	-	172	-	0	0	-	-						
N.H.	-	0	1	3	1	-	1	5	48	25	-	0	0	-	1						
R.I.	-	0	2	14	1	-	1	11	66	66	-	0	1	1	1						
Vt.	-	0	0	-	-	-	0	2	10	6	-	0	0	-	-						
MID. ATLANTIC	1	0	6	38	106	3	6	44	300	395	-	0	2	13	21						
N.J.	-	0	1	-	59	-	0	7	-	114	-	0	0	-	7						
N.Y. (Upstate)	1	0	3	20	41	3	5	41	266	240	-	0	2	13	8						
N.Y. City	-	0	3	18	4	-	0	4	34	35	-	0	0	-	-						
Pa.	-	0	1	-	2	-	0	0	-	6	-	0	1	-	6						
E.N. CENTRAL	-	0	4	40	42	-	1	11	41	704	-	1	9	83	57						
Ill.	-	0	4	36	25	-	0	1	9	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	68	18						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	8	-	0	1	1	1						
Wis.	-	0	1	1	7	-	0	10	31	685	-	0	2	8	33						
W.N. CENTRAL	-	2	33	270	177	-	0	4	38	803	-	0	4	16	24						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	32	18	-	0	2	8	5	-	0	0	-	1						
Minn.	-	0	0	-	7	-	0	3	1	769	-	0	1	1	10						
Mo.	-	2	32	238	150	-	0	4	27	25	-	0	4	14	13						
Nebr.	-	0	0	-	1	-	0	1	2	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	0	-	3	-	0	1	1	-						
S. ATLANTIC	1	5	30	299	253	-	1	8	51	65	-	0	2	7	14						
Del.	-	0	2	15	15	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	20	15	-	0	2	5	10	-	0	0	-	-						
Ga.	-	0	4	14	23	-	0	1	2	11	-	0	0	-	3						
Md.	-	0	4	32	32	-	0	2	7	6	-	0	0	-	-						
N.C.	1	0	19	99	69	-	0	6	20	19	-	0	0	-	1						
S.C.	-	0	1	1	2	-	0	0	-	-	-	0	0	-	1						
Va.	-	1	16	118	96	-	0	2	15	18	-	0	2	6	8						
W. Va.	-	0	0	-	1	-	0	1	1	-	-	0	1	1	1						
E.S. CENTRAL	1	1	9	95	77	-	0	3	22	15	-	0	2	11	14						
Ala.	-	0	2	11	5	-	0	3	10	4	-	0	1	5	-						
Ky.	-	0	4	25	15	-	0	1	1	-	-	0	0	-	-						
Miss.	-	0	1	1	3	-	0	1	1	1	-	0	1	1	-						
Tenn.	1	0	6	58	54	-	0	1	10	10	-	0	2	5	14						
W.S. CENTRAL	-	1	52	98	111	-	0	11	9	9	-	0	1	1	1						
Ark.	-	1	11	79	51	-	0	2	6	6	-	0	0	-	-						
La.	-	0	1	1	-	-	0	0	-	1	-	0	1	1	1						
Okla.	-	0	51	15	57	-	0	7	2	2	-	0	0	-	-						
Tex.	-	0	1	3	3	-	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	1	-	0	1	1	5						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	4						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
Wyo.	-	0	0	-	-	-	0	0	-	1	-	0	0	-	-						
PACIFIC	-	0	1	-	-	-	0	1	-	5	-	0	1	1	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	-	5	-	0	0	-	-						
Wash.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


