
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending March 13, 2004 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2004
Hepatitis (Viral Acute), Type A cummulative for 2003

tab delimited data:
test
UNITED STATES	392	429	4	6	25	28	37	44	1,026	1,461											
NEW ENGLAND	35	28	-	1	2	2	1	-	196	36											
Maine	3	1	-	-	-	-	-	-	7	1											
N.H.	9	3	-	-	1	-	-	-	3	3											
Vt.	3	5	-	-	-	-	-	-	4	2											
Mass.	12	14	-	1	-	2	1	-	164	19											
R.I.	1	-	-	-	-	-	-	-	-	2											
Conn.	7	5	-	-	1	-	-	-	18	9											
MID. ATLANTIC	72	58	-	-	1	-	10	7	119	212											
Upstate N.Y.	23	17	-	-	1	-	1	3	14	16											
N.Y. City	11	10	-	-	-	-	3	2	39	87											
N.J.	14	9	-	-	-	-	2	-	17	33											
Pa.	24	22	-	-	-	-	4	2	49	76											
E.N. CENTRAL	55	46	-	1	9	2	6	10	80	128											
Ohio	30	12	-	-	2	-	4	3	12	25											
Ind.	10	5	-	-	3	1	1	-	5	5											
Ill.	-	19	-	-	-	-	-	7	26	49											
Mich.	8	5	-	1	4	1	1	-	31	35											
Wis.	7	5	-	-	-	-	-	-	6	14											
W.N. CENTRAL	14	23	1	-	1	3	-	3	26	32											
Minn.	7	8	-	-	1	3	-	-	1	4											
Iowa	1	-	1	-	-	-	-	-	6	9											
Mo.	2	10	-	-	-	-	-	3	7	7											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	1	-	-	-	-	-	-	2	-											
Nebr.	4	-	-	-	-	-	-	-	7	3											
Kans.	-	4	-	-	-	-	-	-	3	9											
S. ATLANTIC	111	162	-	1	2	8	9	11	219	603											
Del.	1	-	-	-	-	-	1	-	2	2											
Md.	21	13	-	-	1	1	-	-	36	35											
D.C.	-	-	-	-	-	-	-	-	2	-											
Va.	9	5	-	-	-	-	-	1	20	10											
W. Va.	4	2	-	-	-	-	2	-	1	4											
N.C.	7	3	-	-	-	-	-	-	13	15											
S.C.	-	1	-	-	-	-	-	-	3	12											
Ga.	41	15	-	-	-	-	5	1	87	114											
Fla.	28	123	-	1	1	7	1	9	55	411											
E.S. CENTRAL	14	25	-	-	-	1	4	3	28	34											
Ky.	-	3	-	-	-	1	-	-	2	5											
Tenn.	9	10	-	-	-	-	3	2	20	16											
Ala.	5	11	-	-	-	-	1	1	-	8											
Miss.	-	1	-	-	-	-	-	-	6	5											
W.S. CENTRAL	15	15	-	-	2	1	-	-	28	97											
Ark.	-	2	-	-	-	-	-	-	6	4											
La.	1	4	-	-	-	-	-	-	-	16											
Okla.	14	9	-	-	2	1	-	-	9	3											
Tex.	-	-	-	-	-	-	-	-	13	74											
MOUNTAIN	61	47	1	1	7	8	5	5	112	64											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	1	-	-	-	-	-	1	-	4	4											
Wyo.	-	-	-	-	-	-	-	-	1	-											
Colo.	18	7	-	-	-	-	3	1	12	3											
N. Mex.	7	4	-	-	1	2	-	-	3	5											
Ariz.	31	28	-	1	5	3	1	3	80	38											
Utah	1	5	1	-	-	1	-	1	10	5											
Nev.	3	3	-	-	1	2	-	-	2	9											
PACIFIC	15	25	2	2	1	3	2	5	218	255											
Wash.	3	2	2	-	-	1	1	1	11	9											
Oreg.	7	10	-	-	-	-	-	2	15	19											
Calif.	2	11	-	2	1	2	1	2	188	223											
Alaska	-	-	-	-	-	-	-	-	2	2											
Hawaii	3	2	-	-	-	-	-	-	2	2											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	3	5											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


