
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 2, 2000 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	1,467	1,730	3	252	255	128	3,809	4,096	-	110	224										
NEW ENGLAND	88	80	-	3	6	9	891	477	-	11	7										
Maine	8	5	-	-	-	1	31	-	-	-	-										
N.H.	9	11	-	-	1	-	79	73	-	2	-										
Vt.	2	4	-	-	1	3	170	40	-	-	-										
Mass.	53	44	-	-	4	5	560	332	-	8	7										
R.I.	7	4	-	1	-	-	14	20	-	-	-										
Conn.	9	12	-	2	-	-	37	12	-	1	-										
MID. ATLANTIC	140	165	-	18	34	14	369	681	-	9	29										
Upstate N.Y.	45	46	-	7	7	6	165	535	-	2	18										
N.Y. City	30	48	-	4	9	-	44	36	-	7	5										
N.J.	29	37	-	3	1	-	34	19	-	-	3										
Pa.	36	34	-	4	17	8	126	91	-	-	3										
E.N. CENTRAL	248	306	1	26	34	17	438	367	-	1	2										
Ohio	62	109	-	7	11	6	229	151	-	-	-										
Ind.	35	43	-	-	4	10	62	49	-	-	1										
Ill.	64	80	-	6	9	-	45	67	-	1	1										
Mich.	67	45	1	13	8	1	49	34	-	-	-										
Wis.	20	29	-	-	2	-	53	66	-	-	-										
W.N. CENTRAL	125	169	-	17	9	31	300	270	-	-	124										
Minn.	17	36	-	-	1	22	183	127	-	-	5										
Iowa	22	31	-	6	4	5	37	34	-	-	30										
Mo.	69	62	-	5	1	-	36	50	-	-	2										
N. Dak.	2	3	-	-	-	-	2	4	-	-	-										
S. Dak.	5	11	-	-	-	-	3	5	-	-	-										
Nebr.	4	9	-	3	-	-	9	3	-	-	87										
Kans.	6	17	-	3	3	4	30	47	-	-	-										
S. ATLANTIC	240	285	-	40	37	13	309	284	-	61	34										
Del.	-	7	-	-	-	-	8	4	-	-	-										
Md.	22	44	-	9	3	-	74	87	-	-	1										
D.C.	-	3	-	-	2	-	3	-	-	-	-										
Va.	35	35	-	8	8	-	44	17	-	-	-										
W. Va.	10	5	-	-	-	-	1	2	-	-	-										
N.C.	32	34	-	5	8	5	74	76	-	52	33										
S.C.	18	35	-	11	3	-	23	14	-	7	-										
Ga.	38	49	-	2	3	2	27	25	-	-	-										
Fla.	85	73	-	5	10	6	55	59	-	2	-										
E.S. CENTRAL	106	120	-	6	11	-	75	69	-	5	2										
Ky.	23	23	-	-	-	-	32	20	-	1	-										
Tenn.	44	48	-	2	-	-	25	29	-	1	-										
Ala.	29	30	-	2	8	-	17	17	-	3	2										
Miss.	10	19	-	2	3	-	1	3	-	-	-										
W.S. CENTRAL	103	182	-	23	35	12	200	156	-	4	6										
Ark.	12	31	-	2	-	2	29	18	-	-	-										
La.	28	54	-	3	10	-	3	9	-	-	-										
Okla.	22	27	-	-	1	3	10	29	-	-	-										
Tex.	41	70	-	18	24	7	158	100	-	4	6										
MOUNTAIN	105	105	1	17	10	20	513	492	-	2	16										
Mont.	4	2	-	1	-	-	24	2	-	-	-										
Idaho	6	8	-	-	1	-	46	117	-	-	-										
Wyo.	-	3	-	2	-	-	5	2	-	-	-										
Colo.	28	27	-	1	3	15	283	182	-	1	1										
N. Mex.	7	13	-	1	N	-	74	69	-	-	-										
Ariz.	50	32	1	4	-	5	57	66	-	1	13										
Utah	7	13	-	4	3	-	15	50	-	-	1										
Nev.	3	7	-	4	3	-	9	4	-	-	1										
PACIFIC	312	318	1	102	79	12	714	1,300	-	17	4										
Wash.	37	51	1	6	2	6	228	542	-	7	-										
Oreg.	48	55	N	N	N	5	92	29	-	-	-										
Calif.	213	200	-	75	64	1	349	696	-	10	4										
Alaska	6	6	-	7	1	-	19	4	-	-	-										
Hawaii	8	6	-	14	12	-	26	29	-	-	-										
Guam	-	1	-	-	1	-	-	1	-	-	-										
P.R.	6	9	-	-	-	-	2	18	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


