
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 21, 2005 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	386	412	55	71	61	46	5,513	5,994	109,189	121,669											
NEW ENGLAND	28	20	15	18	6	5	453	527	1,949	2,722											
Maine	2	-	2	-	-	-	44	52	52	102											
N.H.	2	4	1	2	-	-	21	16	59	52											
Vt.	1	-	-	-	-	-	59	39	15	35											
Mass.	10	11	5	6	6	5	185	268	1,057	1,202											
R.I.	1	2	-	-	-	-	30	37	192	358											
Conn.	12	3	7	10	-	-	114	115	574	973											
MID. ATLANTIC	47	36	3	9	5	10	1,028	1,341	11,027	13,947											
Upstate N.Y.	18	10	3	2	2	3	332	379	2,384	2,792											
N.Y. City	1	7	-	-	-	-	292	434	2,897	4,374											
N.J.	11	7	-	3	-	4	135	175	1,607	2,579											
Pa.	17	12	-	4	3	3	269	353	4,139	4,202											
E.N. CENTRAL	79	85	7	13	3	4	777	913	20,633	25,726											
Ohio	34	18	1	2	2	4	226	270	6,565	8,200											
Ind.	8	12	-	-	-	-	N	N	2,972	2,390											
Ill.	9	22	1	-	-	-	130	304	5,988	7,554											
Mich.	14	14	-	2	1	-	239	200	3,199	5,872											
Wis.	14	19	5	9	-	-	182	139	1,909	1,710											
W.N. CENTRAL	53	62	12	11	9	9	713	653	6,006	6,308											
Minn.	6	23	3	6	2	2	356	206	865	1,114											
Iowa	10	11	-	-	-	-	74	94	579	475											
Mo.	20	7	6	4	2	2	151	200	3,189	3,198											
N. Dak.	1	2	-	-	-	3	1	11	19	57											
S. Dak.	2	2	-	-	-	-	33	19	140	103											
Nebr.	5	8	3	1	2	-	38	54	349	414											
Kans.	9	9	-	-	3	2	60	69	865	947											
S. ATLANTIC	61	41	8	11	30	7	925	928	26,930	29,392											
Del.	-	-	N	N	N	N	8	20	313	364											
Md.	6	5	2	2	-	2	57	34	2,525	3,059											
D.C.	-	1	-	-	-	-	18	29	790	947											
Va.	2	1	3	6	6	-	195	137	2,865	3,503											
W. Va.	-	1	-	-	-	-	11	12	258	317											
N.C.	-	-	-	-	16	4	N	N	6,263	5,796											
S.C.	1	4	-	-	-	-	30	32	3,380	3,301											
Ga.	7	11	1	1	-	-	316	286	3,391	5,472											
Fla.	45	18	2	2	8	1	290	378	7,145	6,633											
E.S. CENTRAL	22	23	-	2	5	6	141	130	8,370	9,444											
Ky.	4	7	-	1	4	4	N	N	1,344	897											
Tenn.	11	3	-	-	1	2	74	62	3,008	3,106											
Ala.	7	6	-	-	-	-	67	68	1,910	3,041											
Miss.	-	7	-	1	-	-	-	-	2,108	2,400											
W.S. CENTRAL	8	40	1	2	2	5	83	102	16,651	16,578											
Ark.	1	5	-	-	-	-	30	45	1,723	1,497											
La.	1	1	1	-	2	-	10	15	3,858	4,557											
Okla.	3	4	-	-	-	-	43	42	1,733	1,786											
Tex.	3	30	-	2	-	5	N	N	9,337	8,738											
MOUNTAIN	42	45	9	4	1	-	404	439	4,251	4,353											
Mont.	3	3	-	-	-	-	11	15	44	30											
Idaho	3	12	5	1	-	-	31	64	31	34											
Wyo.	-	-	1	-	-	-	7	5	25	22											
Colo.	11	9	1	1	-	-	139	149	1,076	1,220											
N. Mex.	-	5	2	1	-	-	14	25	260	394											
Ariz.	10	6	N	N	N	N	59	71	1,690	1,566											
Utah	7	6	-	-	-	-	115	87	259	174											
Nev.	8	4	-	1	1	-	28	23	866	913											
PACIFIC	46	60	-	1	-	-	989	961	13,372	13,199											
Wash.	9	17	-	-	-	-	61	91	1,295	982											
Oreg.	4	8	-	1	-	-	84	148	618	369											
Calif.	27	31	-	-	-	-	793	664	10,954	11,049											
Alaska	3	1	-	-	-	-	28	26	188	262											
Hawaii	3	3	-	-	-	-	23	32	317	537											
Guam	N	N	-	-	-	-	-	-	-	70											
P.R.	-	-	-	-	-	-	10	22	153	101											
V.I.	-	-	-	-	-	-	-	-	2	53											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


