
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 26, 2008 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	39	163	695	1,814	3,016	38	86	156	1,033	1,383	3	32	147	64	215						
NEW ENGLAND	2	20	45	246	471	3	9	22	91	159	-	0	1	-	2						
Conn.	-	0	5	-	20	3	4	10	53	67	-	0	0	-	-						
Maine	-	1	5	14	32	-	1	5	12	26	N	0	0	N	N						
Mass.	2	16	33	210	377	N	0	0	N	N	-	0	1	-	2						
N.H.	-	1	5	7	24	-	1	4	10	12	-	0	1	-	-						
R.I.	-	0	8	10	2	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	5	16	-	2	13	16	54	-	0	0	-	-						
MID. ATLANTIC	6	22	42	234	444	13	18	31	199	274	-	1	6	7	20						
N.J.	-	3	8	3	73	-	0	0	-	-	-	0	3	2	3						
N.Y. (Upstate)	6	7	24	80	219	13	9	20	113	119	-	0	1	-	-						
N.Y. City	-	2	7	18	50	-	0	2	5	24	-	0	3	3	10						
Pa.	-	8	23	133	102	-	7	23	81	131	-	0	2	2	7						
E.N. CENTRAL	4	22	186	489	573	2	2	39	7	5	-	1	4	1	11						
Ill.	-	2	8	24	71	N	0	0	N	N	-	0	3	1	7						
Ind.	-	0	12	15	11	-	0	1	-	-	-	0	2	-	1						
Mich.	2	3	16	46	104	1	1	28	5	4	-	0	1	-	1						
Ohio	2	12	176	404	259	1	1	11	2	1	-	0	2	-	2						
Wis.	-	0	14	-	128	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	9	12	136	154	223	9	4	13	26	62	-	4	33	4	24						
Iowa	-	2	8	26	61	-	0	3	2	7	-	0	4	-	1						
Kans.	-	2	5	21	57	-	0	7	-	38	-	0	2	-	4						
Minn.	2	0	131	5	43	4	0	6	14	3	-	0	4	-	-						
Mo.	5	2	16	80	23	-	0	3	1	3	-	3	25	4	18						
Nebr.	2	1	12	19	8	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	4	5	0	5	7	6	-	0	0	-	-						
S. Dak.	-	0	7	3	27	-	0	2	2	5	-	0	1	-	1						
S. ATLANTIC	7	14	50	190	320	6	40	62	593	744	1	14	111	31	99						
Del.	-	0	2	2	2	-	0	0	-	-	-	0	2	1	5						
D.C.	-	0	2	4	2	-	0	0	-	-	-	0	1	1	1						
Fla.	7	3	9	52	93	-	0	22	41	124	1	0	3	2	5						
Ga.	-	0	3	-	15	-	6	15	93	67	-	0	6	-	11						
Md.	-	2	5	23	48	-	9	18	120	122	-	1	6	8	13						
N.C.	-	3	38	59	91	6	9	19	147	148	-	2	96	11	46						
S.C.	-	1	22	20	27	-	0	11	-	35	-	0	7	2	8						
Va.	-	2	11	29	36	-	12	27	162	224	-	2	11	5	9						
W. Va.	-	0	12	1	6	-	0	11	30	24	-	0	3	1	1						
E.S. CENTRAL	-	6	35	62	90	-	3	7	34	46	-	5	16	9	48						
Ala.	-	1	6	16	25	-	0	0	-	-	-	1	10	4	12						
Ky.	-	0	4	7	8	-	0	3	8	7	-	0	2	-	1						
Miss.	-	3	32	24	15	-	0	1	1	-	-	0	3	1	2						
Tenn.	-	1	4	15	42	-	2	6	25	39	-	2	10	4	33						
W.S. CENTRAL	-	19	144	59	206	-	1	23	26	27	2	1	30	10	6						
Ark.	-	2	17	20	36	-	1	3	15	9	-	0	15	1	-						
La.	-	0	2	2	9	-	0	0	-	-	-	0	2	2	1						
Okla.	-	0	26	2	1	-	0	22	11	18	2	0	20	2	-						
Tex.	-	16	134	35	160	-	0	0	-	-	-	1	7	5	5						
MOUNTAIN	5	19	48	219	416	-	2	8	15	1	-	0	4	1	4						
Ariz.	-	2	8	28	122	N	0	0	N	N	-	0	1	-	1						
Colo.	3	5	13	31	102	-	0	0	-	-	-	0	2	-	-						
Idaho	-	0	4	9	15	-	0	4	-	-	-	0	1	-	1						
Mont.	1	1	11	56	14	-	0	3	-	-	-	0	1	-	-						
Nev.	1	0	7	12	8	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	3	17	-	0	2	11	-	-	0	1	1	-						
Utah	-	5	38	78	124	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	2	14	-	0	4	4	-	-	0	2	-	2						
PACIFIC	6	16	243	161	273	5	4	10	42	65	-	0	2	1	1						
Alaska	-	1	6	23	10	-	0	3	9	27	N	0	0	N	N						
Calif.	-	7	32	23	178	5	3	8	32	38	-	0	2	1	1						
Hawaii	-	0	2	3	9	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	2	14	37	34	-	0	3	1	-	-	0	1	-	-						
Wash.	6	3	209	75	42	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	-	0	5	13	17	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


