
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 24, 2008 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	46	154	1,126	2,390	3,599	28	93	177	1,400	2,264	9	30	164	128	365						
NEW ENGLAND	-	19	44	264	573	10	8	22	122	215	-	0	1	-	3						
Conn.	-	0	5	-	27	3	4	10	62	86	-	0	0	-	-						
Maine	-	1	5	15	34	2	1	5	20	34	N	0	0	N	N						
Mass.	-	13	33	222	457	N	0	0	N	N	-	0	1	-	3						
N.H.	-	0	3	9	34	-	1	4	14	16	-	0	1	-	-						
R.I.	-	1	25	13	3	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	5	18	5	2	13	26	79	-	0	0	-	-						
MID. ATLANTIC	10	22	44	303	502	8	19	29	339	376	-	1	5	16	28						
N.J.	-	3	9	3	84	-	0	0	-	-	-	0	3	2	6						
N.Y. (Upstate)	5	7	24	111	246	8	9	20	145	160	-	0	2	5	-						
N.Y. City	-	2	7	29	53	-	0	2	5	24	-	0	2	5	14						
Pa.	5	8	23	160	119	-	8	18	189	192	-	0	2	4	8						
E.N. CENTRAL	6	21	186	545	704	3	3	43	20	19	-	1	4	2	16						
Ill.	-	2	8	39	80	N	0	0	N	N	-	0	3	1	11						
Ind.	-	0	12	15	11	-	0	1	1	4	-	0	2	-	1						
Mich.	1	3	16	55	122	3	1	32	13	9	-	0	1	-	2						
Ohio	5	10	176	436	327	-	1	11	6	6	-	0	2	1	2						
Wis.	-	0	14	-	164	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	1	11	136	192	281	4	4	13	40	88	4	4	33	24	61						
Iowa	-	1	8	27	74	3	0	3	7	9	-	0	4	-	4						
Kans.	-	2	5	23	66	-	0	7	-	50	-	0	2	-	6						
Minn.	-	0	131	20	48	-	0	6	17	6	-	0	4	-	-						
Mo.	-	2	18	97	35	1	0	3	6	8	4	3	25	24	47						
Nebr.	1	1	12	22	12	-	0	0	-	-	-	0	2	-	3						
N. Dak.	-	0	4	-	4	-	0	5	8	6	-	0	0	-	-						
S. Dak.	-	0	2	3	42	-	0	2	2	9	-	0	1	-	1						
S. ATLANTIC	8	13	50	217	417	3	40	61	725	933	3	13	110	48	163						
Del.	1	0	2	3	3	-	0	0	-	-	-	0	2	2	7						
D.C.	-	0	1	2	9	-	0	0	-	-	-	0	2	2	2						
Fla.	5	3	9	67	100	-	0	25	48	124	1	0	3	3	3						
Ga.	-	0	3	-	18	-	6	17	110	95	1	0	6	6	19						
Md.	-	2	6	27	55	-	9	18	128	153	1	1	6	12	16						
N.C.	-	0	38	59	145	-	9	16	181	196	-	1	96	11	90						
S.C.	2	1	22	24	38	-	0	0	-	46	-	0	7	3	9						
Va.	-	2	11	33	42	-	12	27	211	284	-	1	10	8	16						
W. Va.	-	0	12	2	7	3	0	11	47	35	-	0	3	1	1						
E.S. CENTRAL	1	7	31	81	103	-	2	6	40	64	2	3	16	20	78						
Ala.	-	1	6	18	31	-	0	0	-	-	-	1	10	7	20						
Ky.	1	0	4	12	10	-	0	3	14	8	-	0	2	-	1						
Miss.	-	3	29	34	18	-	0	1	1	-	-	0	3	1	5						
Tenn.	-	1	4	17	44	-	2	6	25	56	2	1	10	12	52						
W.S. CENTRAL	11	19	186	187	303	-	13	40	42	469	-	2	122	12	8						
Ark.	-	1	17	23	64	-	1	6	26	10	-	0	15	1	-						
La.	-	0	2	2	9	-	0	0	-	-	-	0	2	2	1						
Okla.	3	0	26	7	1	-	0	32	16	20	-	0	101	4	-						
Tex.	8	15	170	155	229	-	12	34	-	439	-	1	8	5	7						
MOUNTAIN	4	19	37	310	498	-	2	8	19	7	-	0	4	4	7						
Ariz.	1	2	8	44	134	N	0	0	N	N	-	0	1	2	1						
Colo.	2	5	13	60	125	-	0	0	-	-	-	0	2	-	-						
Idaho	1	0	4	18	21	-	0	4	-	-	-	0	1	-	1						
Mont.	-	1	11	56	28	-	0	3	-	1	-	0	1	1	-						
Nev.	-	0	7	13	15	-	0	2	1	-	-	0	0	-	-						
N. Mex.	-	1	7	21	24	-	0	3	14	1	-	0	1	1	1						
Utah	-	5	27	94	136	-	0	2	-	2	-	0	0	-	-						
Wyo.	-	0	2	4	15	-	0	4	4	3	-	0	2	-	4						
PACIFIC	5	14	616	291	218	-	4	10	53	93	-	0	1	2	1						
Alaska	4	1	29	30	14	-	0	3	11	34	N	0	0	N	N						
Calif.	-	8	129	105	157	-	3	8	41	58	-	0	1	1	1						
Hawaii	-	0	2	4	10	-	0	0	-	-	N	0	0	N	N						
Oreg.	1	2	14	53	37	-	0	3	1	1	-	0	1	1	-						
Wash.	-	0	482	99	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	-	1	5	26	19	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


