
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 5, 1999 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	18,649	19,858	236,249	241,165	513	831	543	510	275	386											
NEW ENGLAND	953	620	8,181	8,629	27	64	84	71	65	64											
Maine	22	13	193	388	8	14	5	2	-	-											
N.H.	24	13	400	409	5	3	11	10	7	15											
Vt.	6	10	213	163	6	7	8	-	1	-											
Mass.	627	264	3,679	3,541	8	36	35	40	31	36											
R.I.	60	60	997	1,058	-	4	4	3	6	1											
Conn.	214	260	2,699	3,070	-	-	21	16	20	12											
MID. ATLANTIC	4,463	5,687	30,402	25,388	87	282	34	46	7	17											
Upstate N.Y.	531	714	N	N	46	163	28	33	-	-											
N.Y. City	2,110	3,149	15,862	11,369	22	88	-	6	2	5											
N.J.	967	986	4,263	4,837	9	9	6	7	5	11											
Pa.	855	838	10,277	9,182	10	22	N	N	-	1											
E.N. CENTRAL	1,289	1,510	34,849	41,631	47	93	89	104	42	70											
Ohio	209	287	9,140	11,357	16	35	33	21	8	14											
Ind.	169	292	4,444	4,460	8	20	15	26	10	20											
Ill.	594	598	11,813	10,819	6	26	21	38	7	7											
Mich.	252	251	9,452	9,364	17	12	20	19	11	13											
Wis.	65	82	U	5,631	-	-	N	N	6	16											
W.N. CENTRAL	389	345	13,328	14,581	38	68	98	50	38	46											
Minn.	69	55	2,755	2,968	14	19	30	18	21	21											
Iowa	44	20	1,213	1,818	8	14	11	7	4	6											
Mo.	154	175	5,099	5,027	5	7	12	9	9	16											
N. Dak.	4	4	325	429	4	7	3	1	-	1											
S. Dak.	11	9	674	702	2	9	3	1	4	1											
Nebr.	34	34	1,217	1,255	4	11	32	6	-	-											
Kans.	73	48	2,045	2,382	1	1	7	8	-	1											
S. ATLANTIC	5,239	4,979	52,557	45,654	132	71	70	29	34	35											
Del.	72	57	1,201	1,074	-	-	2	-	-	1											
Md.	560	572	4,374	3,512	6	6	4	10	-	6											
D.C.	208	412	N	N	4	3	-	-	-	-											
Va.	266	368	5,860	4,061	6	1	20	-	11	17											
W. Va.	26	44	888	1,023	-	1	3	1	1	-											
N.C.	356	333	9,664	9,518	3	N	15	9	10	5											
S.C.	485	313	7,932	7,817	-	-	7	1	3	-											
Ga.	826	610	12,211	10,252	74	19	6	2	-	-											
Fla.	2,440	2,270	10,427	8,397	39	41	13	6	9	6											
E.S. CENTRAL	844	784	16,597	16,460	8	15	39	37	14	22											
Ky.	128	101	2,800	2,595	2	5	13	10	-	-											
Tenn.	339	268	6,078	5,344	4	6	14	19	7	14											
Ala.	214	232	3,811	4,063	1	N	9	5	6	7											
Miss.	163	183	3,908	4,458	1	4	3	3	1	1											
W.S. CENTRAL	2,091	2,463	31,893	35,913	30	13	19	23	11	6											
Ark.	70	81	2,440	1,447	-	3	5	1	3	1											
La.	410	412	7,084	5,239	20	5	3	-	3	1											
Okla.	54	134	3,265	4,355	1	3	6	3	5	4											
Tex.	1,557	1,836	19,104	24,872	9	2	5	19	-	-											
MOUNTAIN	723	706	13,510	13,241	30	57	44	50	22	39											
Mont.	4	13	559	515	4	1	3	2	-	-											
Idaho	11	14	501	800	2	14	1	3	2	1											
Wyo.	3	1	333	287	-	-	3	-	3	-											
Colo.	144	126	3,233	3,439	4	2	16	11	8	9											
N. Mex.	37	111	1,633	1,614	11	25	2	9	1	6											
Ariz.	355	283	5,409	4,549	7	9	9	8	4	9											
Utah	70	57	769	923	-	-	8	11	2	8											
Nev.	99	101	1,073	1,114	2	6	2	6	2	6											
PACIFIC	2,658	2,764	34,932	39,668	114	168	66	100	42	87											
Wash.	153	196	5,131	4,663	-	-	20	20	16	30											
Oreg.	63	87	2,445	2,127	12	16	17	24	12	22											
Calif.	2,394	2,428	25,584	31,086	102	151	29	55	13	32											
Alaska	6	12	804	821	-	-	-	1	-	-											
Hawaii	42	41	968	971	-	1	-	-	1	3											
Guam	1	-	-	156	-	-	N	N	-	-											
P.R.	625	830	U	U	-	-	6	4	U	U											
V.I.	13	17	N	N	-	-	N	N	U	U											
Amer. Samoa	-	-	U	U	-	-	N	N	U	U											
C.N.M.I.	-	-	N	N	-	-	N	N	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


