
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2005 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	13	122	-	2	145	257	-	-	-												
NEW ENGLAND	-	3	-	-	2	17	-	-	-												
Maine	-	-	-	-	2	-	-	-	-												
N.H.	-	-	-	-	-	-	-	-	-												
Vt.	-	-	-	-	-	17	-	-	-												
Mass.	-	-	-	-	-	-	-	-	-												
R.I.	-	1	-	-	-	-	-	-	-												
Conn.	-	2	-	-	-	-	-	-	-												
MID. ATLANTIC	-	30	-	-	1	1	-	-	-												
Upstate N.Y.	-	-	-	-	-	-	-	-	-												
N.Y. City	-	30	-	-	-	-	-	-	-												
N.J.	-	-	-	-	-	-	-	-	-												
Pa.	-	-	-	-	1	1	-	-	-												
E.N. CENTRAL	3	3	-	1	31	116	-	-	-												
Ohio	1	-	-	1	31	43	-	-	-												
Ind.	2	1	-	-	-	-	-	-	-												
Ill.	-	-	-	-	-	-	-	-	-												
Mich.	-	-	-	-	-	66	-	-	-												
Wis.	-	2	-	-	-	7	-	-	-												
W.N. CENTRAL	-	-	-	-	2	-	-	-	-												
Minn.	-	-	-	-	-	-	-	-	-												
Iowa	-	-	-	-	N	N	-	-	-												
Mo.	-	-	-	-	-	-	-	-	-												
N. Dak.	-	-	-	-	-	-	-	-	-												
S. Dak.	-	-	-	-	2	-	-	-	-												
Nebr.	-	-	-	-	-	-	-	-	-												
Kans.	-	-	-	-	-	-	-	-	-												
S. ATLANTIC	-	25	-	-	51	45	-	-	-												
Del.	-	-	-	-	-	-	-	-	-												
Md.	-	-	-	-	-	-	-	-	-												
D.C.	-	-	-	-	-	-	-	-	-												
Va.	-	-	-	-	-	-	-	-	-												
W. Va.	-	-	-	-	51	44	-	-	-												
N.C.	-	-	-	-	-	-	-	-	-												
S.C.	-	1	-	-	-	1	-	-	-												
Ga.	-	24	-	-	-	-	-	-	-												
Fla.	-	-	-	-	-	-	-	-	-												
E.S. CENTRAL	-	1	-	-	-	-	-	-	-												
Ky.	-	-	-	-	-	-	-	-	-												
Tenn.	-	-	-	-	-	-	-	-	-												
Ala.	-	1	-	-	-	-	-	-	-												
Miss.	-	-	-	-	-	-	-	-	-												
W.S. CENTRAL	-	57	-	-	3	72	-	-	-												
Ark.	-	-	-	-	-	-	-	-	-												
La.	-	-	-	-	-	-	-	-	-												
Okla.	-	1	-	-	-	-	-	-	-												
Tex.	-	56	-	-	3	72	-	-	-												
MOUNTAIN	-	1	-	-	55	6	-	-	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	-	-	-	1	3	-	-	-												
Colo.	-	-	-	-	54	-	-	-	-												
N. Mex.	-	-	-	-	-	1	-	-	-												
Ariz.	-	-	-	-	-	-	-	-	-												
Utah	-	1	-	-	-	2	-	-	-												
Nev.	-	-	-	-	-	-	-	-	-												
PACIFIC	10	2	-	1	-	-	-	-	-												
Wash.	5	-	-	-	-	-	-	-	-												
Oreg.	1	-	-	-	-	-	-	-	-												
Calif.	-	-	-	1	-	-	-	-	-												
Alaska	-	-	-	-	-	-	-	-	-												
Hawaii	4	2	-	-	-	-	-	-	-												
Guam	-	1	-	-	-	4	-	-	-												
P.R.	-	-	-	-	-	9	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


