
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 6, 1999 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	399	633	7	60	69	131	545	686	1	5	63										
NEW ENGLAND	21	36	-	1	-	6	81	141	-	-	13										
Maine	3	3	-	-	-	-	-	4	-	-	-										
N.H.	-	1	-	1	-	3	17	14	-	-	-										
Vt.	2	1	-	-	-	-	10	24	-	-	-										
Mass.	15	14	-	-	-	3	54	96	-	-	1										
R.I.	1	3	-	-	-	-	-	-	-	-	-										
Conn.	-	14	-	-	-	-	-	3	-	-	12										
MID. ATLANTIC	43	66	1	6	6	48	80	74	-	-	41										
Upstate N.Y.	8	16	-	2	2	33	57	49	-	-	37										
N.Y. City	13	10	-	-	4	-	-	4	-	-	-										
N.J.	13	18	-	-	-	-	-	6	-	-	4										
Pa.	9	22	1	4	-	15	23	15	-	-	-										
E.N. CENTRAL	60	106	3	5	9	8	67	77	-	-	-										
Ohio	29	39	1	2	6	6	56	31	-	-	-										
Ind.	7	19	-	-	-	-	2	4	-	-	-										
Ill.	17	23	-	-	-	-	-	1	-	-	-										
Mich.	7	10	2	3	3	2	9	11	-	-	-										
Wis.	-	15	-	-	-	-	-	30	-	-	-										
W.N. CENTRAL	26	48	1	2	5	-	5	49	-	-	-										
Minn.	2	-	-	-	4	-	-	28	-	-	-										
Iowa	9	9	1	2	1	-	3	10	-	-	-										
Mo.	6	24	-	-	-	-	1	5	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	4	4	-	-	-	-	1	-	-	-	-										
Nebr.	2	1	-	-	-	-	-	2	-	-	-										
Kans.	3	10	-	-	-	-	-	4	-	-	-										
S. ATLANTIC	76	95	1	12	12	5	52	54	-	3	1										
Del.	1	1	-	-	-	-	-	-	-	-	-										
Md.	12	13	-	2	-	-	17	11	-	-	-										
D.C.	1	-	-	1	-	-	-	-	-	-	-										
Va.	5	10	1	2	2	-	7	-	-	-	-										
W. Va.	1	3	-	-	-	-	-	-	-	-	-										
N.C.	8	18	-	1	5	2	18	30	-	3	1										
S.C.	11	10	-	2	3	1	4	5	-	-	-										
Ga.	14	29	-	-	-	-	-	-	-	-	-										
Fla.	23	11	-	4	2	2	6	8	-	-	-										
E.S. CENTRAL	33	52	-	1	-	4	14	13	-	-	-										
Ky.	10	9	-	-	-	-	1	-	-	-	-										
Tenn.	11	18	-	-	-	3	9	4	-	-	-										
Ala.	8	21	-	1	-	1	4	9	-	-	-										
Miss.	4	4	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	21	35	-	9	13	3	18	19	1	2	2										
Ark.	7	6	-	-	-	-	3	3	-	-	-										
La.	6	10	-	-	-	-	-	-	-	-	-										
Okla.	7	15	-	1	-	-	2	-	-	-	-										
Tex.	1	4	-	8	13	3	13	16	1	2	2										
MOUNTAIN	39	46	-	4	4	21	124	134	-	-	5										
Mont.	-	2	-	-	-	-	-	1	-	-	-										
Idaho	5	2	-	-	-	6	72	62	-	-	-										
Wyo.	1	3	U	-	1	U	1	-	U	-	-										
Colo.	8	12	-	2	-	3	8	19	-	-	-										
N. Mex.	7	6	N	N	N	-	7	39	-	-	1										
Ariz.	13	17	-	-	1	11	18	7	-	-	1										
Utah	3	3	-	1	-	-	16	3	-	-	2										
Nev.	2	1	-	1	2	1	2	3	-	-	1										
PACIFIC	80	149	1	20	20	36	104	125	-	-	1										
Wash.	10	20	-	-	1	31	42	47	-	-	-										
Oreg.	10	31	N	N	N	-	3	8	-	-	-										
Calif.	53	95	1	18	12	5	58	70	-	-	1										
Alaska	3	1	-	1	2	-	1	-	-	-	-										
Hawaii	4	2	-	1	5	-	-	-	-	-	-										
Guam	-	-	U	-	1	U	-	-	U	-	-										
P.R.	1	-	-	-	-	-	-	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


