
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 3, 1996 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	2	25	12	41	68	19	78	252	-	11	7										
NEW ENGLAND	1	3	-	-	-	-	7	34	-	2	1										
Maine	-	-	-	-	-	-	1	5	-	-	-										
N.H.	-	-	-	-	-	-	1	-	-	-	-										
Vt.	-	-	-	-	-	-	1	2	-	-	-										
Mass.	1	1	-	-	-	-	4	26	-	-	1										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	-	-	-	-	-	-	-	1	-	2	-										
MID. ATLANTIC	-	-	-	1	9	2	5	10	-	-	-										
Upstate N.Y.	-	-	-	1	2	2	5	5	-	-	-										
N.Y. City	-	-	-	-	1	-	-	3	-	-	-										
N.J.	-	-	-	-	-	-	-	2	-	-	-										
Pa.	-	-	-	-	6	-	-	-	-	-	-										
E.N. CENTRAL	-	-	1	12	14	8	26	19	-	-	-										
Ohio	-	-	-	5	7	5	19	16	-	-	-										
Ind.	-	-	-	-	-	1	1	-	-	-	-										
Ill.	-	-	-	-	-	-	-	-	-	-	-										
Mich.	-	-	1	7	7	2	6	2	-	-	-										
Wis.	-	-	-	-	-	-	-	1	-	-	-										
W.N. CENTRAL	-	-	-	2	8	-	-	9	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	-	-	-	1	-	-	1	-	-	-										
Mo.	-	-	-	-	7	-	-	3	-	-	-										
N. Dak.	-	-	-	2	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	5	-	-	-										
S. ATLANTIC	-	-	1	2	9	2	8	33	-	-	-										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	-	-	-	-	2	1	5	-	-	-	-										
D.C.	-	-	-	-	-	-	-	1	-	-	-										
Va.	-	-	-	-	3	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	-	-	-	-	3	-	-	30	-	-	-										
S.C.	-	-	-	1	-	1	2	1	-	-	-										
Ga.	-	-	1	1	-	-	1	-	-	-	-										
Fla.	-	-	-	-	1	-	-	-	-	-	-										
E.S. CENTRAL	-	-	2	3	3	-	1	3	-	-	-										
Ky.	-	-	-	-	-	-	-	-	-	-	-										
Tenn.	-	-	-	-	-	-	-	-	-	-	-										
Ala.	-	-	2	3	2	-	1	3	-	-	-										
Miss.	-	-	-	-	1	-	-	-	N	N	N										
W.S. CENTRAL	-	-	-	1	1	1	2	2	-	-	-										
Ark.	-	-	-	-	1	-	1	-	-	-	-										
La.	-	-	-	1	-	1	1	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	-	-	-	2	-	-	-										
MOUNTAIN	-	22	-	6	2	4	14	101	-	-	-										
Mont.	-	-	-	-	-	-	-	2	-	-	-										
Idaho	-	-	-	-	-	1	1	36	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	15	-	-	-	-	-	15	-	-	-										
N. Mex.	-	3	N	N	N	1	8	3	-	-	-										
Ariz.	-	4	-	-	-	2	2	45	-	-	-										
Utah	-	-	-	-	1	-	-	-	-	-	-										
Nev.	-	-	-	6	1	-	3	-	-	-	-										
PACIFIC	1	-	8	14	22	2	15	41	-	9	6										
Wash.	-	-	1	1	1	2	3	-	-	-	-										
Oreg.	-	-	N	N	N	U	12	-	U	-	-										
Calif.	-	-	3	7	19	-	-	39	-	9	6										
Alaska	-	-	1	1	2	-	-	-	-	-	-										
Hawaii	1	-	3	5	-	-	-	2	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


