
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2002 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Congenital) cummulative for 2002
Syphilis (Congenital) cummulative for 2001
Tuberculosis cummulative for 2002
Tuberculosis cummulative for 2001
Typhoid Fever cummulative for 2002
Typhoid Fever cummulative for 2001

tab delimited data:
test
UNITED STATES	478	519	-	52	392	775	11	25													
NEW ENGLAND	6	2	-	-	14	21	3	3													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	1	-	-													
Mass.	6	-	-	-	3	13	2	3													
R.I.	-	-	-	-	5	-	-	-													
Conn.	-	2	-	-	6	7	1	-													
MID. ATLANTIC	23	42	-	9	80	104	2	12													
Upstate N.Y.	1	1	-	5	2	16	-	2													
N.Y. City	13	24	-	-	52	43	2	1													
N.J.	7	3	-	4	-	32	-	9													
Pa.	2	14	-	-	26	13	-	-													
E.N. CENTRAL	88	74	-	8	78	84	2	3													
Ohio	10	5	-	-	17	16	1	1													
Ind.	6	11	-	-	11	11	-	-													
Ill.	26	31	-	7	44	40	-	1													
Mich.	43	25	-	1	-	9	-	1													
Wis.	3	2	-	-	6	8	1	-													
W.N. CENTRAL	1	11	-	1	37	23	-	1													
Minn.	-	10	-	-	19	16	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	1	1	-	-	18	5	-	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	1	-	-													
Nebr.	-	-	-	-	-	1	-	-													
Kans.	-	-	-	1	-	-	-	-													
S. ATLANTIC	118	179	-	14	25	143	2	4													
Del.	1	-	-	-	-	-	-	-													
Md.	9	28	-	1	2	7	-	2													
D.C.	5	1	-	-	-	10	-	-													
Va.	4	12	-	-	7	7	-	-													
W. Va.	-	-	-	-	5	4	-	-													
N.C.	41	50	-	2	7	7	-	-													
S.C.	15	27	-	3	2	16	-	-													
Ga.	14	22	-	4	2	31	1	2													
Fla.	29	39	-	4	-	61	1	-													
E.S. CENTRAL	78	58	-	2	27	40	-	-													
Ky.	1	5	-	-	8	4	-	-													
Tenn.	26	24	-	1	-	7	-	-													
Ala.	44	16	-	1	15	24	-	-													
Miss.	7	13	-	-	4	5	-	-													
W.S. CENTRAL	76	80	-	9	5	163	-	1													
Ark.	-	8	-	2	3	13	-	-													
La.	19	14	-	-	-	-	-	-													
Okla.	8	11	-	1	2	1	-	-													
Tex.	49	47	-	6	-	149	-	1													
MOUNTAIN	41	21	-	2	18	27	1	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	-	-	-	-	-	-	-													
Wyo.	-	-	-	-	1	-	-	-													
Colo.	-	2	-	-	2	9	1	-													
N. Mex.	6	1	-	-	4	3	-	-													
Ariz.	32	12	-	2	9	7	-	-													
Utah	2	4	-	-	2	-	-	-													
Nev.	-	2	-	-	-	8	-	-													
PACIFIC	47	52	-	7	108	170	1	1													
Wash.	5	12	-	-	16	19	-	-													
Oreg.	-	2	-	-	4	8	-	-													
Calif.	41	36	-	7	64	119	1	1													
Alaska	-	-	-	-	9	7	-	-													
Hawaii	1	2	-	-	15	17	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	41	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	1	U	-	U	8	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


