
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 24, 2005 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	30,568	40,725	894,839	902,089	5,017	6,013	7,401	3,513													
NEW ENGLAND	1,141	1,327	30,767	29,488	-	-	329	165													
Maine	19	48	2,213	2,068	N	N	26	20													
N.H.	26	42	1,809	1,706	-	-	35	30													
Vt.	7	16	916	1,115	-	-	39	25													
Mass.	561	451	14,028	13,080	-	-	138	59													
R.I.	105	132	3,103	3,365	-	-	13	4													
Conn.	423	638	8,698	8,154	N	N	78	27													
MID. ATLANTIC	6,597	10,045	113,840	110,565	-	-	3,463	567													
Upstate N.Y.	891	1,986	23,107	22,574	N	N	2,998	178													
N.Y. City	3,522	4,875	36,674	33,492	-	-	131	136													
N.J.	956	1,766	17,480	17,254	N	N	65	46													
Pa.	1,228	1,418	36,579	37,245	N	N	269	207													
E.N. CENTRAL	2,929	3,217	150,181	159,173	11	14	1,464	1,033													
Ohio	518	585	39,843	38,962	N	N	770	221													
Ind.	348	389	18,976	18,137	N	N	83	75													
Ill.	1,504	1,476	45,222	46,586	-	-	145	157													
Mich.	439	612	28,305	36,563	11	14	108	156													
Wis.	120	155	17,835	18,925	N	N	358	424													
W.N. CENTRAL	690	801	54,658	55,794	5	6	580	413													
Minn.	176	216	10,116	11,453	3	N	148	133													
Iowa	72	63	7,096	6,827	N	N	108	88													
Mo.	299	323	21,909	20,864	1	3	247	77													
N. Dak.	9	17	1,174	1,735	N	N	1	12													
S. Dak.	13	11	2,618	2,494	-	-	30	43													
Nebr.	27	58	4,891	5,091	1	3	9	29													
Kans.	94	113	6,854	7,330	N	N	37	31													
S. ATLANTIC	9,183	12,273	166,156	168,633	2	-	730	517													
Del.	134	157	3,343	2,918	N	N	6	-													
Md.	1,370	1,449	17,934	19,351	2	-	41	25													
D.C.	474	990	3,660	3,440	-	-	18	15													
Va.	441	613	19,501	21,284	-	-	66	58													
W. Va.	51	89	2,635	2,723	N	N	17	6													
N.C.	636	1,126	29,812	28,846	N	N	92	76													
S.C.	413	745	19,357	18,215	-	-	19	23													
Ga.	1,701	1,508	28,184	30,381	-	-	126	176													
Fla.	3,963	5,596	41,730	41,475	N	N	345	138													
E.S. CENTRAL	1,546	1,884	66,728	60,444	-	5	212	148													
Ky.	198	217	8,165	6,392	N	N	146	45													
Tenn.	675	774	23,208	22,515	N	N	40	48													
Ala.	385	464	15,520	13,142	-	-	22	25													
Miss.	288	429	19,835	18,395	-	5	4	30													
W.S. CENTRAL	3,543	4,684	102,053	108,501	2	3	183	137													
Ark.	173	185	8,368	7,804	-	1	6	16													
La.	650	1,004	14,677	21,438	2	2	82	7													
Okla.	229	195	10,201	10,257	N	N	43	22													
Tex.	2,491	3,300	68,807	69,002	N	N	52	92													
MOUNTAIN	1,172	1,393	51,037	55,894	3,450	3,626	135	170													
Mont.	15	7	2,089	2,492	N	N	23	34													
Idaho	15	19	2,674	2,748	N	N	15	28													
Wyo.	3	16	1,133	1,066	3	2	3	4													
Colo.	260	294	12,535	13,969	N	N	49	59													
N. Mex.	115	182	5,502	8,839	14	22	11	20													
Ariz.	473	508	17,198	16,463	3,392	3,517	11	17													
Utah	55	64	4,239	3,741	9	25	14	6													
Nev.	236	303	5,667	6,576	32	60	9	2													
PACIFIC	3,767	5,101	159,419	153,597	1,547	2,359	305	363													
Wash.	352	367	18,137	17,273	N	N	48	46													
Oreg.	193	277	8,864	8,405	-	-	67	31													
Calif.	3,105	4,274	123,523	118,869	1,547	2,359	186	284													
Alaska	25	48	3,763	3,814	-	-	3	-													
Hawaii	92	135	5,132	5,236	-	-	1	2													
Guam	2	1	-	803	-	-	-	-													
P.R.	814	636	3,659	3,551	N	N	N	N													
V.I.	10	19	196	335	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


