
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending August 6, 2011 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2010
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2010
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2011
Syphillis, primary & secondary cummulative for 2010

tab delimited data:
test
UNITED STATES	122	298	937	9,048	10,138	10	23	101	668	1,248	85	258	363	7,030	7,878						
NEW ENGLAND	-	11	79	368	578	-	1	5	28	74	-	8	18	221	276						
Conn.	-	0	49	94	236	-	0	3	6	21	-	1	8	32	50						
Maine	-	2	13	87	83	-	0	1	3	6	-	0	3	10	14						
Mass.	-	0	3	21	52	-	0	3	8	36	-	5	11	137	174						
N.H.	-	2	8	69	76	-	0	1	5	4	-	0	3	13	13						
R.I.	-	1	8	46	73	-	0	1	1	4	-	0	7	24	23						
Vt.	-	1	6	51	58	-	0	2	5	3	-	0	2	5	2						
MID. ATLANTIC	2	32	81	932	1,047	-	3	27	82	162	10	31	46	844	1,014						
N.J.	-	13	35	439	468	-	1	4	28	40	-	5	12	132	146						
N.Y. (Upstate)	-	2	10	57	104	-	1	9	32	80	3	3	20	108	78						
N.Y. City	2	14	42	436	475	-	0	14	22	42	2	15	31	400	569						
Pa.	N	0	0	N	N	N	0	0	N	N	5	7	13	204	221						
E.N. CENTRAL	8	66	113	2,017	2,056	-	4	10	114	186	1	31	53	844	1,160						
Ill.	N	0	0	N	N	N	0	0	N	N	-	13	23	335	555						
Ind.	-	15	32	438	465	-	0	4	19	37	1	3	14	96	100						
Mich.	1	15	29	455	475	-	1	4	25	58	-	4	10	125	159						
Ohio	7	26	45	831	798	-	2	7	58	65	-	9	21	259	315						
Wis.	-	9	24	293	318	-	0	3	12	26	-	1	4	29	31						
W.N. CENTRAL	2	5	35	95	531	2	0	5	6	72	-	7	18	169	185						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	2	12	15						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	3	13	11						
Minn.	-	0	24	-	400	-	0	5	-	59	-	3	10	69	65						
Mo.	N	0	0	N	N	N	0	0	N	N	-	2	9	70	88						
Nebr.	2	2	9	77	90	2	0	1	6	11	-	0	2	5	5						
N. Dak.	-	0	18	18	41	-	0	1	-	2	-	0	1	-	-						
S. Dak.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	1						
S. ATLANTIC	86	71	170	2,511	2,744	5	7	22	187	343	50	63	178	1,848	1,783						
Del.	-	1	6	34	24	-	0	1	-	-	-	0	4	13	4						
D.C.	-	1	3	28	52	-	0	1	4	7	-	3	8	106	88						
Fla.	7	23	68	927	1,019	1	3	13	85	139	1	22	44	656	641						
Ga.	18	22	54	644	866	-	2	7	43	103	11	12	130	333	369						
Md.	19	10	32	376	348	2	1	4	25	39	13	8	17	263	164						
N.C.	N	0	0	N	N	N	0	0	N	N	13	7	19	217	257						
S.C.	-	8	25	304	349	-	1	3	18	39	9	3	10	129	82						
Va.	N	0	0	N	N	N	0	0	N	N	3	4	16	129	175						
W. Va.	42	0	48	198	86	2	0	6	12	16	-	0	2	2	3						
E.S. CENTRAL	6	19	36	613	694	-	1	4	38	68	5	15	34	412	510						
Ala.	N	0	0	N	N	N	0	0	N	N	-	4	11	108	144						
Ky.	N	0	0	N	N	N	0	0	N	N	5	2	16	67	78						
Miss.	N	0	0	N	N	N	0	0	N	N	-	3	16	91	125						
Tenn.	6	19	36	613	694	-	1	4	38	68	-	5	12	146	163						
W.S. CENTRAL	11	31	368	1,226	1,232	3	4	30	114	165	4	35	71	955	1,200						
Ark.	-	3	26	152	116	-	0	3	12	11	3	3	10	116	145						
La.	-	3	11	107	65	-	0	2	9	16	-	7	36	190	265						
Okla.	N	0	0	N	N	N	0	0	N	N	1	1	6	30	56						
Tex.	11	26	333	967	1,051	3	3	27	93	138	-	23	33	619	734						
MOUNTAIN	7	32	72	1,180	1,185	-	3	8	90	162	3	12	23	301	346						
