
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 10, 2004 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	3,016	7,028	9,859	14	7	30	16	-	-											
NEW ENGLAND	-	64	146	594	-	-	1	4	-	-											
Maine	-	-	-	4	N	N	-	-	-	-											
N.H.	-	1	-	14	-	-	-	-	-	-											
Vt.	-	-	23	10	-	-	1	1	-	-											
Mass.	-	1	-	184	-	-	-	3	-	-											
R.I.	-	5	123	44	-	-	-	-	-	-											
Conn.	-	57	-	338	N	N	-	-	-	-											
MID. ATLANTIC	-	905	1,251	1,031	-	-	2	3	-	-											
Upstate N.Y.	-	51	115	23	N	N	2	-	-	-											
N.Y. City	-	430	560	392	-	-	-	2	-	-											
N.J.	-	72	215	230	-	-	-	-	-	-											
Pa.	-	352	361	386	N	N	-	1	-	-											
E.N. CENTRAL	-	278	1,113	2,544	-	-	3	5	-	-											
Ohio	-	61	22	772	-	-	2	-	-	-											
Ind.	-	42	239	305	N	N	-	-	-	-											
Ill.	-	81	298	1,058	-	-	-	1	-	-											
Mich.	-	89	515	154	-	-	1	-	-	-											
Wis.	-	5	39	255	-	-	-	4	-	-											
W.N. CENTRAL	-	36	202	643	-	-	-	3	-	-											
Minn.	-	-	-	161	N	N	-	-	-	-											
Iowa	-	13	-	30	N	N	-	1	-	-											
Mo.	-	22	171	271	-	-	-	1	-	-											
N. Dak.	-	-	7	2	N	N	-	-	-	-											
S. Dak.	-	1	24	23	-	-	-	1	-	-											
Nebr.	-	-	-	33	-	-	-	-	-	-											
Kans.	-	-	-	123	N	N	-	-	-	-											
S. ATLANTIC	-	643	1,707	1,442	-	-	15	1	-	-											
Del.	-	-	47	44	N	N	-	-	-	-											
Md.	-	12	313	113	-	-	1	-	-	-											
D.C.	-	157	-	83	-	-	-	-	-	-											
Va.	-	137	548	189	-	-	-	-	-	-											
W. Va.	-	-	44	32	N	N	-	-	-	-											
N.C.	-	3	529	337	N	N	7	-	-	-											
S.C.	-	35	-	36	-	-	-	-	-	-											
Ga.	-	155	9	195	-	-	5	-	-	-											
Fla.	-	144	217	413	N	N	2	1	-	-											
E.S. CENTRAL	-	17	774	593	N	N	2	-	-	-											
Ky.	-	5	-	86	N	N	-	-	-	-											
Tenn.	-	-	396	94	N	N	2	-	-	-											
Ala.	-	12	184	139	-	-	-	-	-	-											
Miss.	-	-	194	274	N	N	-	-	-	-											
W.S. CENTRAL	-	572	878	1,064	-	-	-	-	-	-											
Ark.	-	-	92	72	-	-	-	-	-	-											
La.	-	-	-	37	N	N	-	-	-	-											
Okla.	-	1	232	45	N	N	-	-	-	-											
Tex.	-	571	554	910	-	-	-	-	-	-											
MOUNTAIN	-	120	359	689	-	7	-	-	-	-											
Mont.	-	6	-	34	N	N	-	-	-	-											
Idaho	-	-	26	48	N	N	-	-	-	-											
Wyo.	-	1	-	13	-	-	-	-	-	-											
Colo.	-	22	1	168	N	N	-	-	-	-											
N. Mex.	-	-	20	29	-	-	-	-	-	-											
Ariz.	-	78	312	273	-	6	-	-	-	-											
Utah	-	6	-	24	-	-	-	-	-	-											
Nev.	-	7	-	100	-	1	-	-	-	-											
PACIFIC	-	381	598	1,259	14	-	7	-	-	-											
Wash.	-	31	158	123	N	N	-	-	-	-											
Oreg.	-	35	-	191	-	-	-	-	-	-											
Calif.	-	312	423	876	14	-	7	-	-	-											
Alaska	-	3	6	2	-	-	-	-	-	-											
Hawaii	-	-	11	67	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	6	N	N	N	N	-	-											
V.I.	-	-	-	3	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


