
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2013 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	112	264	398	499	1,131	2	4	12	5	8	4	51	228	19	68						
NEW ENGLAND	1	4	12	7	11	-	0	1	-	-	-	0	3	-	-						
Conn.	-	1	3	2	4	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	-	-	-	0	0	-	-	-	0	1	-	-						
Mass.	-	2	9	2	7	-	0	0	-	-	-	0	3	-	-						
N.H.	-	0	1	1	-	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	5	-	-	-	0	0	-	-	-	0	3	-	-						
Vt.	1	0	1	2	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	1	40	87	31	318	-	0	2	1	1	-	1	5	2	8						
N.J.	-	11	47	-	202	-	0	0	-	-	-	0	1	-	-						
N.Y. (Upstate)	-	13	37	-	39	-	0	1	-	-	-	0	3	-	-						
N.Y. City	-	9	21	24	65	-	0	0	-	-	-	0	3	-	2						
Pa.	1	2	6	7	12	-	0	2	1	1	-	1	4	2	6						
E.N. CENTRAL	71	36	118	191	158	-	0	2	-	1	-	4	15	3	7						
Ill.	-	5	16	1	15	-	0	1	-	-	-	2	12	-	3						
Ind.	-	1	17	3	8	-	0	1	-	1	-	1	5	2	2						
Mich.	2	4	14	15	33	-	0	0	-	-	-	0	1	-	-						
Ohio	69	25	103	168	95	-	0	0	-	-	-	0	3	1	1						
Wis.	-	2	17	4	7	-	0	0	-	-	-	0	1	-	1						
W.N. CENTRAL	2	8	32	22	34	-	0	6	-	-	-	5	33	-	4						
Iowa	-	1	11	6	1	-	0	0	-	-	-	0	1	-	-						
Kans.	-	2	9	2	17	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	2	1	7	5	13	-	0	5	-	-	-	5	33	-	4						
Nebr.	-	1	22	8	2	-	0	1	-	-	-	0	1	-	-						
N. Dak.	-	0	1	1	1	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	17	54	102	85	191	2	2	9	4	3	3	13	146	9	23						
Del.	-	0	4	1	-	-	0	0	-	-	-	0	2	-	1						
D.C.	-	0	3	-	3	-	0	0	-	-	-	0	1	-	-						
Fla.	5	31	66	31	104	-	0	1	-	-	1	0	3	1	2						
Ga.	4	12	21	33	58	2	1	5	4	2	-	0	0	-	-						
Md.	2	5	16	5	9	-	0	1	-	-	-	0	3	-	2						
N.C.	2	2	10	8	8	-	0	4	-	-	-	0	133	-	5						
S.C.	2	1	2	2	2	-	0	1	-	1	-	1	6	2	1						
Va.	2	1	6	5	7	-	0	2	-	-	2	4	35	6	12						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	3	20	37	21	160	-	0	2	-	-	1	12	57	5	7						
Ala.	2	5	20	13	46	-	0	1	-	-	1	3	13	1	1						
Ky.	-	5	21	-	65	-	0	1	-	-	-	0	7	-	-						
Miss.	-	5	13	6	30	-	0	2	-	-	-	0	4	-	-						
Tenn.	1	3	9	2	19	-	0	1	-	-	-	10	49	4	6						
W.S. CENTRAL	13	46	81	68	156	-	0	1	-	-	-	11	72	-	5						
Ark.	1	1	7	7	8	-	0	1	-	-	-	8	65	-	4						
La.	2	4	10	8	24	-	0	0	-	-	-	0	2	-	1						
Okla.	1	7	27	19	25	-	0	1	-	-	-	0	26	-	-						
Tex.	9	31	76	34	99	-	0	1	-	-	-	0	4	-	-						
MOUNTAIN	1	11	32	18	37	-	0	1	-	3	-	0	5	-	11						
Ariz.	1	6	15	5	21	-	0	1	-	3	-	0	3	-	7						
Colo.	-	2	19	2	3	-	0	1	-	-	-	0	1	-	-						
Idaho	-	0	2	-	1	-	0	0	-	-	-	0	2	-	2						
Mont.	-	0	2	-	3	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	9	6	1	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	2	7	4	4	-	0	0	-	-	-	0	1	-	-						
Utah	-	0	4	1	4	-	0	0	-	-	-	0	1	-	2						
Wyo.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	3	21	57	56	66	-	0	2	-	-	-	0	1	-	3						
Alaska	-	0	2	-	2	N	0	0	N	N	N	0	0	N	N						
Calif.	1	15	57	48	56	-	0	2	-	-	-	0	1	-	3						
Hawaii	-	0	3	-	1	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	10	1	7	-	0	0	-	-	-	0	1	-	-						
Wash.	2	2	19	7	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	3	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	N	-	-	N	N	N	-	-	N	N						
P.R.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


