
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 15, 2004 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2004
Hepatitis (Viral Acute), Type A cummulative for 2003

tab delimited data:
test
UNITED STATES	788	674	7	10	41	50	87	82	1,951	2,270											
NEW ENGLAND	70	48	1	1	4	3	2	3	345	89											
Maine	7	2	-	-	-	-	-	1	8	1											
N.H.	12	5	-	-	2	-	-	-	6	6											
Vt.	4	6	-	-	-	-	-	-	5	4											
Mass.	29	23	1	1	-	3	2	1	291	43											
R.I.	2	2	-	-	-	-	-	1	6	9											
Conn.	16	10	-	-	2	-	-	-	29	26											
MID. ATLANTIC	149	113	-	-	3	1	22	16	226	478											
Upstate N.Y.	55	32	-	-	3	1	3	3	31	37											
N.Y. City	27	20	-	-	-	-	6	4	75	176											
N.J.	25	25	-	-	-	-	2	3	45	81											
Pa.	42	36	-	-	-	-	11	6	75	184											
E.N. CENTRAL	115	112	-	1	10	4	16	22	175	216											
Ohio	55	29	-	-	2	-	9	6	19	36											
Ind.	20	18	-	-	4	2	1	-	15	13											
Ill.	19	47	-	-	-	-	5	13	63	69											
Mich.	9	7	-	1	4	2	-	-	61	72											
Wis.	12	11	-	-	-	-	1	3	17	26											
W.N. CENTRAL	40	45	1	-	2	5	3	4	62	59											
Minn.	14	18	-	-	2	5	-	-	10	14											
Iowa	1	-	1	-	-	-	-	-	18	13											
Mo.	13	17	-	-	-	-	2	4	19	16											
N. Dak.	3	1	-	-	-	-	-	-	1	-											
S. Dak.	-	1	-	-	-	-	-	-	2	-											
Nebr.	4	-	-	-	-	-	-	-	7	3											
Kans.	5	8	-	-	-	-	1	-	5	13											
S. ATLANTIC	216	137	-	-	9	6	18	9	377	531											
Del.	11	-	-	-	-	-	4	-	6	4											
Md.	35	31	-	-	2	4	-	-	59	50											
D.C.	-	-	-	-	-	-	-	-	3	17											
Va.	17	15	-	-	-	-	1	3	29	35											
W. Va.	8	3	-	-	-	-	3	-	2	5											
N.C.	24	10	-	-	3	-	-	-	25	26											
S.C.	2	2	-	-	-	-	-	-	13	22											
Ga.	69	28	-	-	-	-	10	4	145	214											
Fla.	50	48	-	-	4	2	-	2	95	158											
E.S. CENTRAL	27	40	-	1	-	2	7	4	64	62											
Ky.	-	3	-	-	-	1	-	-	9	11											
Tenn.	18	21	-	-	-	1	5	3	39	31											
Ala.	9	16	-	1	-	-	2	1	6	9											
Miss.	-	-	-	-	-	-	-	-	10	11											
W.S. CENTRAL	29	35	1	-	3	4	1	3	134	220											
Ark.	-	4	-	-	-	1	-	-	31	12											
La.	4	12	-	-	-	1	1	3	5	21											
Okla.	24	19	-	-	3	2	-	-	15	4											
Tex.	1	-	1	-	-	-	-	-	83	183											
MOUNTAIN	109	87	2	5	10	13	14	11	184	151											
Mont.	-	-	-	-	-	-	-	-	3	2											
Idaho	3	1	-	-	-	-	1	1	9	7											
Wyo.	-	-	-	-	-	-	-	-	1	1											
Colo.	31	15	-	-	-	-	5	4	27	20											
N. Mex.	19	12	-	-	3	3	3	1	4	8											
Ariz.	42	48	-	5	6	6	1	3	112	85											
Utah	8	7	2	-	-	2	3	2	23	11											
Nev.	6	4	-	-	1	2	1	-	5	17											
PACIFIC	33	57	2	2	-	12	4	10	384	464											
Wash.	3	3	2	-	-	2	1	1	21	24											
Oreg.	21	18	-	-	-	-	-	2	26	28											
Calif.	3	32	-	2	-	10	2	7	327	405											
Alaska	1	-	-	-	-	-	1	-	3	4											
Hawaii	5	4	-	-	-	-	-	-	7	3											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	7	32											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


