
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 27, 1999 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	608	827	11	86	107	75	916	998	1	6	104										
NEW ENGLAND	32	45	-	1	-	1	99	212	-	-	16										
Maine	3	4	-	-	-	-	-	4	-	-	-										
N.H.	-	1	-	1	-	-	18	17	-	-	-										
Vt.	2	1	-	-	-	-	10	25	-	-	-										
Mass.	22	19	-	-	-	1	65	161	-	-	1										
R.I.	2	3	-	-	-	-	2	-	-	-	-										
Conn.	3	17	-	-	-	-	4	5	-	-	15										
MID. ATLANTIC	57	83	-	10	9	-	126	110	-	-	58										
Upstate N.Y.	9	21	U	2	2	U	97	70	U	-	53										
N.Y. City	18	10	-	-	5	-	-	6	-	-	1										
N.J.	15	19	-	-	-	-	-	6	-	-	4										
Pa.	15	33	-	8	2	-	29	28	-	-	-										
E.N. CENTRAL	91	128	3	10	14	4	97	122	-	-	-										
Ohio	47	48	3	6	7	4	83	34	-	-	-										
Ind.	7	24	U	-	-	U	2	34	U	-	-										
Ill.	26	28	-	-	-	-	-	5	-	-	-										
Mich.	11	13	-	4	7	-	12	13	-	-	-										
Wis.	-	15	-	-	-	-	-	36	-	-	-										
W.N. CENTRAL	70	66	-	2	9	1	13	76	-	-	-										
Minn.	18	3	-	-	4	-	-	39	-	-	-										
Iowa	15	10	U	2	3	U	5	15	U	-	-										
Mo.	26	30	-	-	1	-	6	11	-	-	-										
N. Dak.	-	-	-	-	1	-	-	-	-	-	-										
S. Dak.	5	5	-	-	-	1	2	2	-	-	-										
Nebr.	2	3	-	-	-	-	-	3	-	-	-										
Kans.	4	15	-	-	-	-	-	6	-	-	-										
S. ATLANTIC	108	115	4	17	13	8	70	68	1	2	1										
Del.	2	1	-	-	-	-	-	-	-	-	-										
Md.	17	14	-	3	-	1	22	15	-	1	-										
D.C.	1	-	-	1	-	-	-	-	-	-	-										
Va.	14	14	-	2	2	-	7	-	-	-	-										
W. Va.	1	3	-	-	-	-	-	1	-	-	-										
N.C.	14	19	2	3	6	1	22	34	1	1	1										
S.C.	15	15	-	2	3	-	6	6	-	-	-										
Ga.	14	33	U	-	-	U	4	-	U	-	-										
Fla.	30	16	2	6	2	6	9	12	-	-	-										
E.S. CENTRAL	46	67	-	1	1	-	14	14	-	-	-										
Ky.	10	11	U	-	-	U	1	1	U	-	-										
Tenn.	18	24	-	-	-	-	9	4	-	-	-										
Ala.	13	24	-	1	1	-	4	9	-	-	-										
Miss.	5	8	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	30	50	2	11	21	1	27	43	-	4	22										
Ark.	11	9	-	-	-	1	4	4	-	-	-										
La.	7	16	-	-	-	-	-	-	-	-	-										
Okla.	10	17	-	1	-	-	2	6	-	-	-										
Tex.	2	8	2	10	21	-	21	33	-	4	22										
MOUNTAIN	51	53	-	7	8	12	155	176	-	-	5										
Mont.	-	2	-	-	-	-	1	1	-	-	-										
Idaho	5	3	-	-	-	6	81	66	-	-	-										
Wyo.	2	3	-	-	1	-	1	-	-	-	-										
Colo.	16	13	-	2	1	2	21	40	-	-	-										
N. Mex.	7	7	N	N	N	1	10	47	-	-	1										
Ariz.	16	18	-	-	2	1	20	14	-	-	1										
Utah	3	6	-	4	-	2	19	4	-	-	2										
Nev.	2	1	U	1	4	U	2	4	U	-	1										
PACIFIC	123	220	2	27	32	48	315	177	-	-	2										
Wash.	16	23	-	-	4	44	174	62	-	-	-										
Oreg.	19	63	N	N	N	-	3	17	-	-	-										
Calif.	81	130	2	23	19	4	137	95	-	-	1										
Alaska	3	1	-	1	2	-	1	-	-	-	-										
Hawaii	4	3	-	3	7	-	-	3	-	-	1										
Guam	-	-	U	-	2	U	-	-	U	-	-										
P.R.	2	2	-	-	1	-	-	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


