
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 11, 1998 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	585	643	11,327	14,306	4,103	4,754	-	26	-	13	39	78									
NEW ENGLAND	33	36	145	339	69	87	-	1	-	1	2	11									
Maine	2	3	13	42	2	6	-	-	-	-	-	-									
N.H.	5	5	8	18	10	5	-	-	-	-	-	1									
Vt.	2	3	13	7	1	5	-	-	-	-	-	-									
Mass.	22	22	44	158	17	38	-	1	-	1	2	9									
R.I.	2	2	9	47	39	9	-	-	-	-	-	-									
Conn.	-	1	58	67	-	24	-	-	-	-	-	1									
MID. ATLANTIC	82	88	728	1,180	589	683	-	9	-	2	11	20									
Upstate N.Y.	34	23	175	164	165	128	-	2	-	-	2	5									
N.Y. City	15	23	188	528	143	269	-	-	-	-	-	7									
N.J.	28	28	161	181	105	131	-	7	-	1	8	3									
Pa.	5	14	204	307	176	155	-	-	-	1	1	5									
E.N. CENTRAL	93	108	1,433	1,527	409	800	-	11	-	3	14	8									
Ohio	35	59	184	204	42	44	-	-	-	1	1	-									
Ind.	25	10	93	149	39	60	-	2	-	1	3	-									
Ill.	29	25	246	392	81	151	-	-	-	-	-	6									
Mich.	-	14	808	669	231	239	-	9	-	1	10	2									
Wis.	4	-	102	113	16	306	-	-	-	-	-	-									
W.N. CENTRAL	51	30	906	1,060	221	269	-	-	-	-	-	11									
Minn.	37	21	71	90	18	23	-	-	-	-	-	2									
Iowa	1	3	374	176	33	21	-	-	-	-	-	-									
Mo.	8	3	365	570	138	196	-	-	-	-	-	1									
N. Dak.	-	-	3	9	4	2	-	-	-	-	-	-									
S. Dak.	-	2	17	14	1	-	-	-	-	-	-	8									
Nebr.	-	1	15	43	7	8	-	-	-	-	-	-									
Kans.	5	-	61	158	20	19	-	-	-	-	-	-									
S. ATLANTIC	123	102	978	776	600	555	-	2	-	5	7	3									
Del.	-	-	2	16	-	3	-	-	-	1	1	-									
Md.	40	43	179	119	92	85	-	-	-	1	1	1									
D.C.	-	-	30	14	6	21	-	-	-	-	-	1									
Va.	12	7	135	100	54	65	-	-	-	2	2	-									
W. Va.	4	3	1	6	3	9	-	-	-	-	-	-									
N.C.	15	17	51	106	113	123	-	-	-	-	-	1									
S.C.	4	3	17	67	13	60	-	-	-	-	-	-									
Ga.	24	20	264	189	96	57	-	-	-	1	1	-									
Fla.	24	9	299	159	223	132	-	2	-	-	2	-									
E.S. CENTRAL	34	37	194	351	202	363	-	-	-	-	-	1									
Ky.	4	4	13	45	22	23	-	-	-	-	-	-									
Tenn.	23	23	133	214	147	243	-	-	-	-	-	-									
Ala.	7	8	48	53	33	38	-	-	-	-	-	1									
Miss.	U	2	U	39	U	59	U	U	U	U	U	-									
W.S. CENTRAL	31	29	2,126	2,941	669	580	-	-	-	-	-	4									
Ark.	-	2	49	127	46	45	-	-	-	-	-	-									
La.	14	6	41	113	47	67	-	-	-	-	-	-									
Okla.	15	19	307	873	41	18	-	-	-	-	-	-									
Tex.	2	2	1,729	1,828	535	450	-	-	-	-	-	4									
MOUNTAIN	68	65	1,799	2,125	449	458	-	-	-	-	-	7									
Mont.	-	-	59	51	3	5	-	-	-	-	-	-									
Idaho	-	1	148	78	18	15	-	-	-	-	-	-									
Wyo.	1	1	23	20	2	14	-	-	-	-	-	-									
Colo.	14	10	136	238	54	88	-	-	-	-	-	-									
N. Mex.	5	6	87	166	189	151	-	-	-	-	-	-									
Ariz.	38	23	1,158	1,006	119	100	-	-	-	-	-	5									
Utah	4	3	119	347	39	54	-	-	-	-	-	-									
Nev.	6	21	69	219	25	31	U	-	U	-	-	2									
PACIFIC	70	148	3,018	4,007	895	959	-	3	-	2	5	13									
Wash.	4	2	573	285	64	41	-	-	-	1	1	-									
Oreg.	30	24	211	201	59	59	-	-	-	-	-	-									
Calif.	28	116	2,197	3,421	761	840	-	3	-	1	4	10									
Alaska	1	1	14	23	6	11	-	-	-	-	-	-									
Hawaii	7	5	23	77	5	8	-	-	-	-	-	3									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	24	183	247	403	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	6	1	1	28	28	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


