
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending May 7, 2005 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	2,716	3,912	57	80	8,148	8,989	-	-	-												
NEW ENGLAND	85	128	5	10	124	342	-	-	-												
Maine	6	8	-	-	101	43	-	-	-												
N.H.	3	6	-	-	-	-	-	-	-												
Vt.	-	-	-	-	22	287	-	-	-												
Mass.	59	72	4	9	1	12	-	-	-												
R.I.	3	15	-	1	-	-	-	-	-												
Conn.	14	27	1	-	-	-	-	-	-												
MID. ATLANTIC	658	612	15	23	1,777	22	-	-	-												
Upstate N.Y.	74	68	3	2	-	-	-	-	-												
N.Y. City	351	319	2	7	-	-	-	-	-												
N.J.	144	131	3	10	-	-	-	-	-												
Pa.	89	94	7	4	1,777	22	-	-	-												
E.N. CENTRAL	403	359	3	4	2,747	3,026	-	-	-												
Ohio	85	59	-	1	668	786	-	-	-												
Ind.	45	45	-	-	N	N	-	-	-												
Ill.	185	170	1	-	11	-	-	-	-												
Mich.	62	61	1	3	1,847	1,926	-	-	-												
Wis.	26	24	1	-	221	314	-	-	-												
W.N. CENTRAL	149	125	1	2	69	118	-	-	-												
Minn.	59	45	1	1	-	-	-	-	-												
Iowa	11	13	-	-	N	N	-	-	-												
Mo.	41	37	-	1	3	2	-	-	-												
N. Dak.	2	2	-	-	10	68	-	-	-												
S. Dak.	5	4	-	-	56	48	-	-	-												
Nebr.	15	6	-	-	-	-	-	-	-												
Kans.	16	18	-	-	-	-	-	-	N												
S. ATLANTIC	571	832	8	8	801	1,081	-	-	-												
Del.	-	8	-	-	2	4	-	-	-												
Md.	63	70	1	2	-	-	-	-	-												
D.C.	25	6	-	-	15	17	-	-	-												
Va.	81	56	1	2	100	284	-	-	-												
W. Va.	8	7	-	-	507	539	-	-	N												
N.C.	55	75	1	2	-	N	-	-	-												
S.C.	69	66	-	-	177	237	-	-	-												
Ga.	44	231	2	-	-	-	-	-	-												
Fla.	226	313	3	2	-	-	-	-	-												
E.S. CENTRAL	158	166	1	2	-	-	-	-	-												
Ky.	37	24	1	-	N	N	-	-	-												
Tenn.	76	44	-	2	-	-	-	-	-												
Ala.	45	65	-	-	-	-	-	-	-												
Miss.	-	33	-	-	-	-	-	-	-												
W.S. CENTRAL	71	632	3	7	1,342	3,176	-	-	-												
Ark.	30	46	-	-	-	-	-	-	-												
La.	-	-	-	-	90	34	-	-	-												
Okla.	41	49	-	-	-	-	-	-	-												
Tex.	-	537	3	7	1,252	3,142	-	-	-												
MOUNTAIN	52	171	3	3	1,288	1,224	-	-	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	1	-	-	39	15	-	-	-												
Colo.	8	45	-	1	909	930	-	-	-												
N. Mex.	3	14	-	-	78	33	-	-	-												
Ariz.	36	67	1	1	-	-	-	-	-												
Utah	5	14	1	1	262	246	-	-	-												
Nev.	-	30	1	-	-	-	-	-	-												
PACIFIC	569	887	18	21	-	-	-	-	-												
Wash.	75	68	1	1	N	N	-	-	-												
Oreg.	35	32	2	-	-	-	-	-	-												
Calif.	405	741	11	15	-	-	-	-	-												
Alaska	11	10	-	-	-	-	-	-	-												
Hawaii	43	36	4	5	-	-	-	-	-												
Guam	-	14	-	-	-	34	-	-	-												
P.R.	-	21	-	-	68	116	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


