
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 2, 2005 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	4,599	6,293	98	135	13,037	12,514	6	159	6												
NEW ENGLAND	152	206	11	14	935	1,806	-	-	-												
Maine	8	11	1	-	206	177	-	-	-												
N.H.	4	7	-	-	159	-	-	-	-												
Vt.	-	-	-	-	32	403	-	-	-												
Mass.	103	118	7	12	538	49	-	-	-												
R.I.	14	25	-	1	-	-	-	-	-												
Conn.	23	45	3	1	U	1,177	-	-	-												
MID. ATLANTIC	967	960	26	35	2,861	59	-	3	-												
Upstate N.Y.	121	119	5	2	-	-	-	-	-												
N.Y. City	500	493	6	13	-	-	-	2	-												
N.J.	221	204	8	11	-	-	-	-	-												
Pa.	125	144	7	9	2,861	59	-	1	-												
E.N. CENTRAL	617	552	5	15	3,845	3,952	1	1	-												
Ohio	129	98	-	3	867	995	-	-	-												
Ind.	64	68	-	-	120	N	1	-	-												
Ill.	283	244	1	7	24	1	-	-	-												
Mich.	103	104	2	4	2,579	2,478	-	1	-												
Wis.	38	38	2	1	255	478	-	-	-												
W.N. CENTRAL	213	227	2	3	205	129	2	4	3												
Minn.	88	82	2	2	-	-	-	-	-												
Iowa	17	19	-	-	N	N	-	2	-												
Mo.	59	65	-	1	131	2	1	1	-												
N. Dak.	2	3	-	-	10	72	-	-	-												
S. Dak.	6	5	-	-	64	55	1	-	3												
Nebr.	13	16	-	-	-	-	-	-	-												
Kans.	28	37	-	-	-	-	-	1	N												
S. ATLANTIC	1,018	1,280	13	16	1,049	1,474	-	4	-												
Del.	2	13	-	-	10	4	-	-	-												
Md.	119	122	3	5	-	-	-	-	-												
D.C.	28	4	-	-	18	18	-	-	-												
Va.	130	102	3	3	209	343	-	-	-												
W. Va.	12	12	-	-	635	826	-	-	N												
N.C.	101	132	2	3	-	N	-	-	-												
S.C.	100	104	-	-	177	283	-	-	-												
Ga.	151	320	2	2	-	-	-	-	-												
Fla.	375	471	3	3	-	-	-	4	-												
E.S. CENTRAL	251	283	1	6	-	-	-	3	-												
Ky.	52	51	1	2	N	N	-	-	-												
Tenn.	106	100	-	4	-	-	-	-	-												
Ala.	93	99	-	-	-	-	-	2	-												
Miss.	-	33	-	-	-	-	-	1	-												
W.S. CENTRAL	429	1,042	3	10	2,505	3,599	1	5	-												
Ark.	49	63	-	-	-	-	-	1	-												
La.	-	-	-	-	101	46	-	-	-												
Okla.	70	79	-	-	-	-	-	-	-												
Tex.	310	900	3	10	2,404	3,553	1	4	-												
MOUNTAIN	158	261	3	6	1,637	1,495	1	118	2												
Mont.	6	4	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	1	-	-	43	22	-	-	-												
Colo.	27	66	-	1	1,168	1,178	-	4	-												
N. Mex.	8	19	-	-	97	U	1	-	1												
Ariz.	104	106	1	2	-	-	-	113	1												
Utah	13	20	1	1	329	295	-	-	-												
Nev.	-	45	1	2	-	-	-	1	-												
PACIFIC	794	1,482	34	30	-	-	1	21	1												
Wash.	109	116	2	2	N	N	-	-	-												
Oreg.	51	41	2	-	-	-	-	-	-												
Calif.	564	1,257	24	22	-	-	1	21	1												
Alaska	14	15	-	-	-	-	-	-	-												
Hawaii	56	53	6	6	-	-	-	-	-												
Guam	-	36	-	-	-	85	-	-	-												
P.R.	-	49	-	-	106	247	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


