
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 14, 2004 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	2,295	7,286	886	4,809	485	844	359	803	32	58											
NEW ENGLAND	101	101	26	39	19	51	-	14	-	-											
Maine	4	5	-	2	1	-	-	-	-	-											
N.H.	-	4	-	-	-	1	-	-	N	N											
Vt.	3	3	-	-	-	2	-	2	-	-											
Mass.	70	69	20	29	16	28	N	N	N	N											
R.I.	4	4	-	2	2	-	-	-	-	-											
Conn.	20	16	6	6	-	20	-	12	U	U											
MID. ATLANTIC	228	364	100	213	57	114	20	14	7	10											
Upstate N.Y.	45	36	39	17	22	29	7	5	3	8											
N.Y. City	62	128	25	54	3	16	U	U	U	U											
N.J.	35	76	17	59	8	25	N	N	N	N											
Pa.	86	124	19	83	24	44	13	9	4	2											
E.N. CENTRAL	310	448	77	183	87	158	88	53	19	34											
Ohio	112	140	28	39	38	31	78	46	16	24											
Ind.	17	19	3	7	1	6	10	7	3	1											
Ill.	63	174	22	88	-	50	-	-	-	-											
Mich.	68	60	15	27	45	52	N	N	N	N											
Wis.	50	55	9	22	3	19	N	N	-	9											
W.N. CENTRAL	143	150	37	85	28	37	27	35	3	6											
Minn.	31	36	7	3	-	11	-	-	3	5											
Iowa	29	40	2	2	N	N	N	N	N	N											
Mo.	40	39	11	39	10	11	1	-	-	-											
N. Dak.	4	2	1	-	3	1	-	1	-	1											
S. Dak.	8	5	1	8	3	4	-	-	-	-											
Nebr.	10	9	1	24	1	4	-	-	N	N											
Kans.	21	19	14	9	11	6	26	34	N	N											
S. ATLANTIC	685	5,183	290	3,498	157	285	198	658	1	-											
Del.	1	7	1	51	-	1	-	-	N	N											
Md.	51	70	17	101	26	25	-	1	-	-											
D.C.	-	-	4	-	-	-	-	-	1	-											
Va.	51	40	10	24	6	1	N	N	N	N											
W. Va.	1	1	-	-	1	-	4	5	-	-											
N.C.	102	150	24	111	11	17	N	N	U	U											
S.C.	35	39	15	14	1	1	11	9	N	N											
Ga.	140	207	61	348	83	9	97	32	N	N											
Fla.	304	4,669	158	2,849	29	231	86	611	N	N											
E.S. CENTRAL	120	197	36	96	19	10	11	10	-	-											
Ky.	12	28	2	12	6	2	3	-	N	N											
Tenn.	37	63	21	22	13	8	8	10	N	N											
Ala.	49	69	10	45	-	-	-	-	N	N											
Miss.	22	37	3	17	-	-	-	-	-	-											
W.S. CENTRAL	65	246	64	307	22	68	8	16	2	7											
Ark.	22	26	6	1	2	1	1	1	-	-											
La.	7	37	10	48	-	-	7	15	1	1											
Okla.	24	16	37	52	9	8	N	N	1	2											
Tex.	12	167	11	206	11	59	N	N	-	4											
MOUNTAIN	236	150	122	79	28	71	7	3	-	1											
Mont.	7	4	1	-	-	-	-	-	-	-											
Idaho	24	11	-	1	1	4	N	N	N	N											
Wyo.	2	3	1	1	3	-	3	-	-	-											
Colo.	26	58	10	19	9	18	-	-	-	-											
N. Mex.	18	14	17	21	9	13	3	3	-	-											
Ariz.	129	32	80	31	4	34	-	-	N	N											
Utah	17	12	7	2	2	2	-	-	-	1											
Nev.	13	16	6	4	-	-	1	-	-	-											
PACIFIC	407	447	134	309	68	50	-	-	-	-											
Wash.	25	26	5	2	-	-	-	-	N	N											
Oreg.	31	23	7	8	N	N	N	N	N	N											
Calif.	310	369	116	292	50	35	N	N	N	N											
Alaska	16	12	-	2	-	-	-	-	N	N											
Hawaii	25	17	6	5	18	15	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	5	44	1	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


