
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending November 19, 2005 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,828	1,756	4	12	96	108	179	157													
NEW ENGLAND	145	163	-	1	10	10	5	2													
Maine	6	12	-	-	-	-	1	-													
N.H.	8	18	-	-	-	2	-	1													
Vt.	9	8	-	-	-	-	2	1													
Mass.	70	74	-	1	3	4	1	-													
R.I.	7	6	-	-	2	1	-	-													
Conn.	45	45	-	-	5	3	1	-													
MID. ATLANTIC	378	368	-	2	1	5	39	36													
Upstate N.Y.	109	116	-	2	-	5	9	5													
N.Y. City	69	78	-	-	-	-	11	15													
N.J.	77	68	-	-	-	-	10	3													
Pa.	123	106	-	-	1	-	9	13													
E.N. CENTRAL	263	331	1	-	4	8	19	47													
Ohio	102	90	-	-	-	2	9	15													
Ind.	57	48	-	-	4	4	-	1													
Ill.	62	117	-	-	-	-	7	21													
Mich.	19	20	1	-	-	2	2	4													
Wis.	23	56	-	-	-	-	1	6													
W.N. CENTRAL	99	97	-	2	3	3	9	11													
Minn.	40	43	-	1	3	3	2	1													
Iowa	1	1	-	1	-	-	-	-													
Mo.	33	37	-	-	-	-	5	7													
N. Dak.	2	4	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	9	5	-	-	-	-	1	2													
Kans.	14	7	-	-	-	-	-	1													
S. ATLANTIC	433	392	1	1	26	26	31	26													
Del.	-	-	-	-	-	-	-	-													
Md.	63	61	-	-	5	6	-	-													
D.C.	-	3	-	-	-	-	-	1													
Va.	40	39	-	-	-	-	2	5													
W. Va.	25	16	-	-	1	4	6	-													
N.C.	71	54	1	1	8	6	-	1													
S.C.	30	13	-	-	-	-	3	1													
Ga.	86	100	-	-	-	-	14	17													
Fla.	118	106	-	-	12	10	6	1													
E.S. CENTRAL	101	64	-	1	1	1	19	9													
Ky.	8	7	-	-	1	1	2	-													
Tenn.	75	42	-	-	-	-	13	7													
Ala.	18	13	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	92	72	1	1	8	9	7	1													
Ark.	5	2	-	-	1	1	-	-													
La.	30	13	1	-	2	-	7	1													
Okla.	55	56	-	-	5	8	-	-													
Tex.	2	1	-	1	-	-	-	-													
MOUNTAIN	198	174	-	4	15	25	34	18													
Mont.	-	-	-	-	-	-	-	-													
Idaho	5	5	-	-	-	-	-	2													
Wyo.	6	1	-	-	-	1	1	-													
Colo.	39	43	-	-	1	-	9	5													
N. Mex.	20	37	-	1	4	8	2	6													
Ariz.	97	59	-	-	7	11	12	2													
Utah	17	16	-	2	1	2	7	2													
Nev.	14	13	-	1	2	3	3	1													
PACIFIC	119	95	1	-	28	21	16	7													
Wash.	4	1	-	-	-	-	3	1													
Oreg.	29	42	-	-	-	-	5	3													
Calif.	50	38	1	-	28	21	2	1													
Alaska	26	5	-	-	-	-	6	1													
Hawaii	10	9	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	3	2	-	-	-	-	1	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


