
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2001 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2001
Malaria cummulative for 2000
Rabies, Animal cummulative for 2001
Rabies, Animal cummulative for 2000
Salmonellosis, NETSS cummulative for 2001
Salmonellosis, NETSS cummulative for 2000
Salmonellosis, PHLIS cummulative for 2001
Salmonellosis, PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	38	47	194	268	898	1,696	371	1,605													
NEW ENGLAND	3	2	32	34	97	99	30	97													
Maine	-	-	4	7	7	8	-	-													
N.H.	-	-	-	-	7	8	4	5													
Vt.	-	-	7	2	6	1	7	2													
Mass.	-	2	9	14	62	64	-	58													
R.I.	-	-	4	1	-	1	9	8													
Conn.	3	-	8	10	15	17	10	24													
MID. ATLANTIC	1	6	40	41	52	243	68	262													
Upstate N.Y.	1	2	31	34	27	22	15	59													
N.Y. City	-	2	U	U	24	72	51	77													
N.J.	-	1	9	5	-	108	2	48													
Pa.	-	1	-	2	1	41	-	78													
E.N. CENTRAL	10	5	2	-	143	264	60	127													
Ohio	2	1	-	-	78	68	12	54													
Ind.	1	-	-	-	7	8	8	26													
Ill.	-	4	-	-	28	104	-	-													
Mich.	7	-	2	-	30	33	23	32													
Wis.	-	-	-	-	-	51	17	15													
W.N. CENTRAL	1	2	20	27	60	70	49	90													
Minn.	-	-	9	9	3	1	15	31													
Iowa	-	-	6	2	8	7	1	9													
Mo.	1	1	2	2	27	33	27	23													
N. Dak.	-	-	-	1	-	1	1	2													
S. Dak.	-	-	-	7	7	4	4	6													
Nebr.	-	-	-	-	7	8	-	5													
Kans.	-	1	3	6	8	16	1	14													
S. ATLANTIC	12	11	68	83	224	201	46	267													
Del.	-	-	-	-	8	7	5	8													
Md.	5	6	18	22	26	55	16	39													
D.C.	1	-	-	-	6	-	U	U													
Va.	4	3	19	25	31	17	-	33													
W. Va.	-	-	7	8	1	8	6	5													
N.C.	1	2	12	21	80	63	-	42													
S.C.	-	-	3	3	14	32	19	30													
Ga.	-	-	-	-	-	-	-	87													
Fla.	1	-	9	4	58	19	-	23													
E.S. CENTRAL	-	1	1	10	89	98	19	67													
Ky.	-	-	-	1	18	16	11	10													
Tenn.	-	-	1	9	9	14	7	32													
Ala.	-	1	-	-	53	33	-	20													
Miss.	-	-	-	-	9	35	1	5													
W.S. CENTRAL	1	1	4	47	21	159	33	189													
Ark.	-	-	-	-	16	10	-	13													
La.	1	1	-	-	-	25	19	38													
Okla.	-	-	4	5	5	8	3	13													
Tex.	-	-	-	42	-	116	11	125													
MOUNTAIN	1	2	7	13	59	142	36	126													
Mont.	-	-	1	5	4	4	-	-													
Idaho	1	-	-	-	4	13	-	8													
Wyo.	-	-	-	6	2	1	1	-													
Colo.	-	1	-	-	1	30	13	19													
N. Mex.	-	-	-	-	17	8	10	15													
Ariz.	-	-	6	2	17	34	2	54													
Utah	-	1	-	-	6	35	10	30													
Nev.	-	-	-	-	8	17	-	-													
PACIFIC	9	17	20	13	153	420	30	380													
Wash.	-	-	-	-	1	5	-	50													
Oreg.	2	1	-	-	16	25	-	38													
Calif.	7	15	10	13	132	358	22	268													
Alaska	-	-	10	-	4	7	-	7													
Hawaii	-	1	-	-	-	25	8	17													
Guam	-	-	-	-	-	-	U	U													
P.R.	-	1	7	2	5	14	U	U													
V.I.	U	U	U	U	U	U	U	U													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	U	U	U	U	U	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


