
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending March 9, 2002 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2002
Legionellosis cummulative for 2001
Listeriosis cummulative for 2002
Listeriosis cummulative for 2001
Lyme Disease cummulative for 2002
Lyme Disease cummulative for 2001
Malaria cummulative for 2002
Malaria cummulative for 2001
Measles Total cummulative for 2002
Measles Total cummulative for 2001

tab delimited data:
test
UNITED STATES	118	138	57	76	625	818	168	222	1	37											
NEW ENGLAND	5	2	7	7	30	126	9	19	-	4											
Maine	-	-	1	-	-	-	1	-	-	-											
N.H.	1	-	2	-	10	2	4	-	-	-											
Vt.	-	1	-	-	1	1	-	-	-	1											
Mass.	2	1	1	5	16	45	-	9	-	3											
R.I.	-	-	-	-	3	-	-	-	-	-											
Conn.	2	-	3	2	-	78	4	10	-	-											
MID. ATLANTIC	17	30	8	10	470	570	35	53	-	2											
Upstate N.Y.	6	5	3	3	331	149	7	5	-	1											
N.Y. City	-	3	2	3	20	6	18	29	-	-											
N.J.	1	4	-	2	23	107	6	12	-	-											
Pa.	10	18	3	2	96	308	4	7	-	1											
E.N. CENTRAL	44	45	10	11	11	24	14	39	-	2											
Ohio	28	17	6	1	11	4	7	4	-	-											
Ind.	3	3	-	-	-	-	-	7	-	-											
Ill.	-	8	-	3	-	3	-	10	-	2											
Mich.	13	11	2	5	-	-	6	11	-	-											
Wis.	-	6	2	2	U	17	1	7	-	-											
W.N. CENTRAL	4	10	1	2	9	6	16	5	-	2											
Minn.	1	1	-	-	2	4	7	1	-	-											
Iowa	-	2	-	-	3	-	2	1	-	-											
Mo.	2	4	1	1	4	2	4	3	-	2											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	1	-	-	-	-	-	-	-	-	-											
Nebr.	-	2	-	-	-	-	-	-	-	-											
Kans.	-	1	-	1	-	-	3	-	-	-											
S. ATLANTIC	27	18	8	8	75	61	53	48	1	3											
Del.	3	-	-	-	5	4	1	1	-	-											
Md.	5	6	1	1	47	51	19	16	-	3											
D.C.	-	1	-	-	3	2	2	4	-	-											
Va.	2	2	-	1	-	2	3	8	-	-											
W. Va.	N	N	-	1	-	-	-	-	-	-											
N.C.	3	2	1	-	5	2	5	1	-	-											
S.C.	2	-	2	-	1	-	2	1	-	-											
Ga.	3	2	3	2	-	-	11	10	-	-											
Fla.	9	5	1	3	14	-	10	7	1	-											
E.S. CENTRAL	2	8	3	4	1	2	3	8	-	-											
Ky.	1	2	-	1	-	2	-	2	-	-											
Tenn.	-	2	2	2	1	-	1	3	-	-											
Ala.	1	2	1	1	-	-	1	3	-	-											
Miss.	-	2	-	-	-	-	1	-	-	-											
W.S. CENTRAL	-	2	2	9	2	16	2	3	-	1											
Ark.	-	-	-	1	-	-	-	-	-	-											
La.	-	1	-	-	1	1	2	1	-	-											
Okla.	-	-	2	-	-	-	-	1	-	-											
Tex.	-	1	-	8	1	15	-	1	-	1											
MOUNTAIN	11	5	5	5	5	-	7	12	-	1											
Mont.	1	-	-	-	-	-	-	1	-	-											
Idaho	2	-	-	-	-	-	-	1	-	1											
Wyo.	3	-	-	-	-	-	-	-	-	-											
Colo.	2	3	1	1	2	-	2	6	-	-											
N. Mex.	1	-	-	1	1	-	-	1	-	-											
Ariz.	-	1	3	1	2	-	2	1	-	-											
Utah	2	-	1	-	-	-	2	1	-	-											
Nev.	-	1	-	2	-	-	1	1	-	-											
PACIFIC	8	18	13	20	22	13	29	35	-	22											
Wash.	-	4	1	-	-	-	1	1	-	15											
Oreg.	N	N	1	2	1	1	-	2	-	2											
Calif.	8	14	11	18	21	12	25	29	-	3											
Alaska	-	-	-	-	-	-	1	1	-	-											
Hawaii	-	-	-	-	N	N	2	2	-	2											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	2	-	-	N	N	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


