
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 10, 2004 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	12,488	201,418	225,306	1,329	968	626	597	7	57											
NEW ENGLAND	-	429	7,664	7,412	-	-	33	35	-	-											
Maine	-	13	436	528	N	N	5	2	-	-											
N.H.	-	7	437	418	-	-	9	3	-	-											
Vt.	-	5	326	296	-	-	4	5	-	-											
Mass.	-	186	3,917	2,864	-	-	9	19	-	-											
R.I.	-	29	936	823	-	-	1	4	-	-											
Conn.	-	189	1,612	2,483	N	N	5	2	-	-											
MID. ATLANTIC	-	2,857	28,089	26,587	-	-	110	74	2	-											
Upstate N.Y.	-	144	5,693	4,540	N	N	24	15	-	-											
N.Y. City	-	1,585	8,553	9,174	-	-	23	26	-	-											
N.J.	-	424	3,383	3,866	-	-	7	3	-	-											
Pa.	-	704	10,460	9,007	N	N	56	30	2	-											
E.N. CENTRAL	-	1,180	32,071	41,351	4	2	123	110	1	-											
Ohio	-	154	6,199	11,474	-	-	42	16	1	-											
Ind.	-	178	4,041	4,640	N	N	18	6	-	-											
Ill.	-	553	8,672	13,465	-	-	8	17	-	-											
Mich.	-	235	10,177	7,240	4	2	33	23	-	-											
Wis.	-	60	2,982	4,532	-	-	22	48	-	-											
W.N. CENTRAL	-	194	11,717	13,087	2	1	69	40	1	-											
Minn.	-	41	2,201	2,912	N	N	27	22	-	-											
Iowa	-	27	-	1,295	N	N	10	7	-	-											
Mo.	-	83	5,086	4,732	1	1	15	2	1	-											
N. Dak.	-	-	324	354	N	N	-	-	-	-											
S. Dak.	-	4	684	629	-	-	7	7	-	-											
Nebr.	-	18	1,404	1,225	1	-	1	2	-	-											
Kans.	-	21	2,018	1,940	N	N	9	-	-	-											
S. ATLANTIC	-	3,597	33,405	40,913	-	1	140	182	2	57											
Del.	-	58	811	813	N	N	-	1	-	-											
Md.	-	193	5,257	4,374	-	1	7	6	-	-											
D.C.	-	380	942	930	-	-	1	-	-	-											
Va.	-	297	1,245	4,298	-	-	16	7	-	-											
W. Va.	-	20	761	655	N	N	2	-	-	-											
N.C.	-	437	7,510	6,434	N	N	27	10	-	-											
S.C.	-	213	5,204	3,876	-	-	5	1	2	-											
Ga.	-	493	1,298	8,509	-	-	48	28	-	-											
Fla.	-	1,506	10,377	11,024	N	N	34	129	-	57											
E.S. CENTRAL	-	493	12,922	14,840	N	N	31	33	-	-											
Ky.	-	57	1,443	2,272	N	N	7	7	-	-											
Tenn.	-	221	5,797	5,180	N	N	12	11	-	-											
Ala.	-	110	3,077	3,893	-	-	8	12	-	-											
Miss.	-	105	2,605	3,495	N	N	4	3	-	-											
W.S. CENTRAL	-	1,284	27,707	27,940	1	1	20	11	1	-											
Ark.	-	35	2,135	1,755	1	-	8	2	-	-											
La.	-	136	6,886	5,145	N	N	-	-	1	-											
Okla.	-	51	2,534	2,414	N	N	8	2	-	-											
Tex.	-	1,062	16,152	18,626	-	1	4	7	-	-											
MOUNTAIN	-	460	11,482	13,932	828	696	33	22	-	-											
Mont.	-	7	263	574	N	N	3	2	-	-											
Idaho	-	5	871	731	N	N	2	4	-	-											
Wyo.	-	4	285	273	-	-	2	1	-	-											
Colo.	-	105	2,109	3,542	N	N	18	5	-	-											
N. Mex.	-	42	1,245	2,056	6	-	1	1	-	-											
Ariz.	-	217	4,787	4,345	799	684	5	2	-	-											
Utah	-	22	653	755	5	1	1	5	-	-											
Nev.	-	58	1,269	1,656	18	11	1	2	-	-											
PACIFIC	-	1,994	36,361	39,244	492	267	67	90	-	-											
Wash.	-	161	4,621	4,064	N	N	4	-	-	-											
Oreg.	-	87	1,630	2,054	-	-	7	8	-	-											
Calif.	-	1,705	29,132	30,764	492	267	55	82	-	-											
Alaska	-	9	967	950	-	-	-	-	-	-											
Hawaii	-	32	11	1,412	-	-	1	-	-	-											
Guam	-	1	-	-	-	-	-	-	-	-											
P.R.	-	325	494	566	N	N	N	N	-	-											
V.I.	-	9	20	93	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


