
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 20, 2007 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	37	97	261	4,081	4,385	16	29	108	1,239	1,049											
NEW ENGLAND	11	5	28	338	296	-	2	11	95	95											
Conn.	10	0	23	109	77	-	0	6	12	28											
Maine	-	0	3	22	16	-	0	1	2	-											
Mass.	-	3	12	153	151	-	1	6	63	55											
N.H.	-	0	4	32	34	-	0	2	8	8											
R.I.	1	0	12	6	6	-	0	2	8	4											
Vt.	-	0	2	16	12	-	0	1	2	-											
MID. ATLANTIC	6	17	41	758	791	1	4	37	207	146											
N.J.	-	3	10	107	128	-	1	4	25	54											
N.Y. (Upstate)	4	5	27	249	255	1	2	15	87	72											
N.Y. City	-	4	13	177	140	-	1	35	95	20											
Pa.	2	5	11	225	268	N	0	0	N	N											
E.N. CENTRAL	2	16	33	680	834	3	5	14	187	273											
Ill.	-	5	13	185	254	-	1	6	47	70											
Ind.	-	2	12	102	100	1	0	10	16	47											
Mich.	1	4	10	167	175	-	1	4	59	63											
Ohio	1	4	14	197	206	2	1	7	53	53											
Wis.	-	0	6	29	99	-	0	2	12	40											
W.N. CENTRAL	-	5	32	275	293	3	2	8	93	94											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	48	-	0	1	1	11											
Minn.	-	0	29	137	136	3	1	6	64	58											
Mo.	-	2	6	67	63	-	0	2	17	12											
Nebr.	-	0	3	23	26	-	0	2	10	10											
N. Dak.	-	0	2	13	10	-	0	2	1	3											
S. Dak.	-	0	2	7	10	-	0	0	-	-											
S. ATLANTIC	8	22	52	1,033	987	4	4	14	226	63											
Del.	-	0	1	10	10	-	0	0	-	-											
D.C.	-	0	3	8	14	-	0	1	-	1											
Fla.	3	6	16	256	243	3	1	5	55	-											
Ga.	2	5	13	205	205	-	0	5	44	-											
Md.	1	4	10	175	183	1	1	6	51	51											
N.C.	1	1	22	142	140	-	0	0	-	-											
S.C.	-	1	7	83	55	-	0	4	38	-											
Va.	1	2	11	131	112	-	0	4	31	-											
W. Va.	-	0	3	23	25	-	0	4	7	11											
E.S. CENTRAL	4	4	13	175	176	-	1	6	74	16											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	2	1	3	35	39	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	16											
Tenn.	2	3	13	140	137	-	1	6	71	-											
W.S. CENTRAL	4	6	90	258	335	4	4	43	179	178											
Ark.	-	0	2	17	24	-	0	2	10	19											
La.	-	0	4	16	16	-	0	4	27	20											
Okla.	-	1	23	60	86	2	1	13	43	43											
Tex.	4	3	64	165	209	2	2	27	99	96											
MOUNTAIN	2	9	23	451	573	1	4	12	152	164											
Ariz.	-	4	11	176	297	1	2	7	90	91											
Colo.	1	3	9	128	99	-	1	4	36	43											
Idaho	1	0	2	16	8	-	0	1	2	2											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	4	48	111	-	0	4	19	26											
Utah	-	2	7	76	54	-	0	2	4	-											
Wyo.	-	0	1	5	4	-	0	0	-	-											
PACIFIC	-	3	9	113	100	-	0	4	26	20											
Alaska	-	0	3	30	N	-	0	2	24	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	83	100	-	0	2	2	20											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


