
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 1, 2006 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shiga toxin-producing E. coli(STEC)† cummulative for 2005
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2006
Shigellosis cummulative for 2005
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcal disease, invasive, group A cummulative for 2005

tab delimited data:
test
UNITED STATES	26	50	297	653	928	63	262	1,013	4,289	6,045	36	85	283	2,739	2,728						
NEW ENGLAND	-	3	17	48	82	-	5	30	115	124	9	5	9	121	167						
Conn.	-	0	16	16	22	-	0	24	24	24	U	0	3	U	66						
Maine	-	0	5	-	14	-	0	3	2	6	-	0	2	10	7						
Mass.	-	1	7	26	31	-	4	11	79	77	-	3	6	73	69						
N.H.	-	0	2	5	6	-	0	4	4	4	9	0	3	27	9						
R.I.	-	0	2	1	2	-	0	6	4	7	-	0	3	3	7						
Vt.	-	0	2	2	7	-	0	4	2	6	-	0	2	8	9						
MID. ATLANTIC	5	5	107	48	107	4	16	72	279	569	9	13	43	464	588						
N.J.	-	1	7	-	26	-	4	15	58	158	-	1	6	13	122						
N.Y. (Upstate)	-	2	103	20	40	3	4	60	104	137	7	4	32	187	174						
N.Y. City	-	0	3	10	6	-	5	14	78	234	-	2	10	67	115						
Pa.	-	1	8	-	35	1	2	48	39	40	2	5	13	197	177						
E.N. CENTRAL	4	10	38	150	178	3	20	96	407	441	6	16	42	531	590						
Ill.	-	1	10	15	47	-	7	26	108	113	-	4	10	110	201						
Ind.	-	1	6	20	24	-	2	56	68	41	1	2	11	75	58						
Mich.	-	1	8	27	33	-	3	10	85	130	1	3	11	143	143						
Ohio	4	3	14	53	42	3	3	11	86	35	4	4	19	170	124						
Wis.	-	3	15	35	32	-	3	10	60	122	-	1	4	33	64						
