
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 31, 2003 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	439	615	70	29	52	5	5,740	7,263	124,637	144,701											
NEW ENGLAND	26	49	10	4	6	1	411	659	2,712	3,285											
Maine	3	2	1	-	-	-	51	66	87	34											
N.H.	6	5	-	-	-	-	15	20	43	55											
Vt.	-	2	-	-	-	-	35	47	33	42											
Mass.	7	28	2	2	6	1	188	343	1,070	1,416											
R.I.	1	4	-	-	-	-	44	44	403	399											
Conn.	9	8	7	2	-	-	78	139	1,076	1,339											
MID. ATLANTIC	26	50	3	-	14	2	1,083	1,583	14,169	17,222											
Upstate N.Y.	18	30	1	-	9	-	334	430	2,986	3,428											
N.Y. City	3	4	-	-	-	-	432	609	4,565	5,219											
N.J.	5	16	-	-	-	-	98	184	3,260	3,249											
Pa.	N	N	2	-	5	2	219	360	3,358	5,326											
E.N. CENTRAL	99	171	8	6	7	-	963	1,226	26,501	30,349											
Ohio	25	26	8	2	7	-	340	325	8,938	9,074											
Ind.	16	15	-	-	-	-	-	-	2,656	2,994											
Ill.	17	58	-	2	-	-	220	375	7,239	9,967											
Mich.	21	28	-	2	-	-	261	330	5,500	5,896											
Wis.	20	44	-	-	-	-	142	196	2,168	2,418											
W.N. CENTRAL	61	79	5	5	9	-	576	679	6,553	7,316											
Minn.	21	25	4	4	-	-	216	234	982	1,266											
Iowa	9	18	-	-	-	-	83	96	411	496											
Mo.	18	16	N	N	N	N	147	187	3,353	3,517											
N. Dak.	1	-	-	-	2	-	12	6	23	31											
S. Dak.	2	3	-	-	-	-	20	25	75	99											
Nebr.	6	10	1	1	-	-	51	60	631	674											
Kans.	4	7	-	-	6	-	47	71	1,078	1,233											
S. ATLANTIC	49	55	24	10	-	-	968	1,069	31,473	37,023											
Del.	-	2	N	N	N	N	14	21	501	691											
Md.	-	4	-	-	-	-	46	42	3,225	3,632											
D.C.	1	-	-	-	-	-	14	18	839	1,141											
Va.	18	12	2	-	-	-	114	81	3,525	4,289											
W. Va.	1	1	-	-	-	-	10	12	343	405											
N.C.	5	9	6	-	-	-	N	N	6,103	7,036											
S.C.	-	-	-	-	-	-	45	25	3,234	3,686											
Ga.	10	17	2	5	-	-	368	330	6,377	6,943											
Fla.	14	10	14	5	-	-	357	540	7,326	9,200											
E.S. CENTRAL	22	26	-	-	4	-	129	128	10,756	12,602											
Ky.	8	6	-	-	4	-	N	N	1,460	1,455											
Tenn.	9	15	-	-	-	-	51	59	3,166	3,873											
Ala.	4	1	-	-	-	-	78	69	3,429	4,416											
Miss.	1	4	-	-	-	-	-	-	2,701	2,858											
W.S. CENTRAL	38	25	11	-	8	1	96	55	17,049	20,202											
Ark.	2	1	-	-	-	-	52	54	1,593	1,791											
La.	-	1	-	-	-	-	3	-	4,024	4,903											
Okla.	3	3	-	-	-	-	41	-	1,525	1,898											
Tex.	33	20	11	-	8	1	-	1	9,907	11,610											
MOUNTAIN	51	49	7	2	4	1	493	517	4,005	4,518											
Mont.	1	8	-	-	-	-	25	31	55	39											
Idaho	13	5	4	-	-	-	59	27	36	36											
Wyo.	1	2	-	1	-	-	7	8	19	26											
Colo.	16	13	1	-	4	1	147	179	1,024	1,472											
N. Mex.	1	4	2	1	-	-	17	65	411	616											
Ariz.	9	5	N	N	N	N	83	69	1,613	1,445											
Utah	9	6	-	-	-	-	110	84	176	89											
Nev.	1	6	-	-	-	-	45	54	671	795											
PACIFIC	67	111	2	2	-	-	1,021	1,347	11,419	12,184											
Wash.	18	11	1	-	-	-	83	166	1,210	1,229											
Oreg.	10	29	1	2	-	-	130	153	405	341											
Calif.	38	49	-	-	-	-	756	951	9,447	10,121											
Alaska	1	4	-	-	-	-	35	34	221	256											
Hawaii	-	18	-	-	-	-	17	43	136	237											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	1	-	-	-	-	10	7	44	200											
V.I.	-	-	-	-	-	-	-	-	-	19											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


