
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 4, 2008 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	37	94	259	4,087	4,236	21	36	166	1,168	1,310											
NEW ENGLAND	4	6	31	303	325	-	2	14	55	99											
Conn.	4	0	26	94	95	-	0	11	-	12											
Maine	-	0	3	22	22	-	0	1	1	2											
Mass.	-	3	8	138	162	-	1	5	39	66											
N.H.	-	0	2	20	24	-	0	1	7	9											
R.I.	-	0	9	17	6	-	0	2	7	8											
Vt.	-	0	2	12	16	-	0	1	1	2											
MID. ATLANTIC	4	18	43	840	786	4	4	19	148	230											
N.J.	-	3	11	133	141	-	1	6	30	43											
N.Y. (Upstate)	2	6	17	278	242	4	2	14	77	79											
N.Y. City	-	3	10	154	187	-	1	12	41	108											
Pa.	2	6	16	275	216	N	0	0	N	N											
E.N. CENTRAL	4	19	42	787	814	3	6	23	211	228											
Ill.	-	5	16	206	246	-	1	6	46	57											
Ind.	1	2	11	113	98	1	0	14	30	14											
Mich.	1	3	10	140	169	-	1	5	55	60											
Ohio	2	5	14	226	192	1	1	5	47	48											
Wis.	-	2	10	102	109	1	1	3	33	49											
W.N. CENTRAL	4	5	39	319	285	4	2	16	110	69											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	34	28	-	0	3	14	-											
Minn.	4	0	35	154	137	4	0	13	48	39											
Mo.	-	1	10	71	74	-	1	2	29	19											
Nebr.	-	0	3	31	23	-	0	3	7	10											
N. Dak.	-	0	5	10	14	-	0	2	5	1											
S. Dak.	-	0	2	19	9	-	0	1	7	-											
S. ATLANTIC	13	19	34	770	1,021	6	6	13	178	237											
Del.	-	0	2	6	9	-	0	0	-	-											
D.C.	-	0	4	23	17	-	0	1	1	2											
Fla.	6	5	11	208	247	3	1	4	50	50											
Ga.	6	4	14	197	195	3	1	5	53	55											
Md.	-	1	6	27	174	-	0	4	5	50											
N.C.	1	2	10	118	140	N	0	0	N	N											
S.C.	-	1	5	54	87	-	1	4	39	38											
Va.	-	3	12	110	130	-	0	6	25	35											
W. Va.	-	0	3	27	22	-	0	1	5	7											
E.S. CENTRAL	-	4	9	142	173	-	2	11	71	76											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	33	33	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	16	5											
Tenn.	-	3	7	109	140	-	1	9	55	71											
W.S. CENTRAL	1	8	85	364	253	4	5	66	202	182											
Ark.	-	0	2	5	17	-	0	2	5	11											
La.	-	0	2	12	14	-	0	2	10	30											
Okla.	1	2	19	93	58	3	1	7	55	39											
Tex.	-	6	65	254	164	1	3	58	132	102											
MOUNTAIN	7	11	22	443	465	-	5	12	180	176											
Ariz.	2	3	9	160	181	-	2	8	91	87											
Colo.	5	2	8	127	114	-	1	4	51	37											
Idaho	-	0	2	11	15	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	2	8	2	N	0	0	N	N											
N. Mex.	-	2	8	84	79	-	0	3	15	28											
Utah	-	1	5	47	69	-	0	3	15	21											
Wyo.	-	0	2	6	5	-	0	1	1	-											
PACIFIC	-	3	10	119	114	-	0	2	13	13											
Alaska	-	0	4	31	22	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	10	88	92	-	0	2	13	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	1	-	14	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


