
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2013 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	51	260	395	138	437	-	3	10	-	3	2	51	228	5	22						
NEW ENGLAND	-	3	12	2	6	-	0	1	-	-	-	0	3	-	-						
Conn.	-	1	3	-	2	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	-	-	-	0	0	-	-	-	0	1	-	-						
Mass.	-	2	9	2	4	-	0	0	-	-	-	0	3	-	-						
N.H.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	5	-	-	-	0	0	-	-	-	0	1	-	-						
Vt.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	-	43	87	8	125	-	0	2	-	1	-	1	5	-	4						
N.J.	-	14	47	-	80	-	0	0	-	-	-	0	1	-	-						
N.Y. (Upstate)	-	13	37	-	3	-	0	1	-	-	-	0	3	-	-						
N.Y. City	-	10	21	8	36	-	0	0	-	-	-	0	3	-	1						
Pa.	-	2	6	-	6	-	0	2	-	1	-	0	4	-	3						
E.N. CENTRAL	30	35	117	65	80	-	0	2	-	1	-	4	15	-	1						
Ill.	-	5	16	-	7	-	0	1	-	-	-	2	12	-	1						
Ind.	-	1	17	-	5	-	0	1	-	1	-	1	5	-	-						
Mich.	2	4	14	3	15	-	0	0	-	-	-	0	1	-	-						
Ohio	28	21	103	62	50	-	0	0	-	-	-	0	3	-	-						
Wis.	-	2	16	-	3	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	-	9	32	2	13	-	0	6	-	-	-	5	33	-	2						
Iowa	-	1	11	2	-	-	0	0	-	-	-	0	1	-	-						
Kans.	-	2	9	-	6	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	1	7	-	6	-	0	5	-	-	-	5	33	-	2						
Nebr.	-	1	22	-	1	-	0	1	-	-	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	7	54	101	18	72	-	1	9	-	-	1	13	146	3	5						
Del.	-	0	4	-	-	-	0	0	-	-	-	0	2	-	1						
D.C.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
Fla.	7	31	66	11	46	-	0	1	-	-	-	0	3	-	1						
Ga.	-	13	21	4	20	-	1	5	-	-	-	0	0	-	-						
Md.	-	4	16	1	3	-	0	1	-	-	-	0	3	-	-						
N.C.	-	2	10	2	-	-	0	4	-	-	-	1	133	-	-						
S.C.	-	1	2	-	2	-	0	1	-	-	-	1	6	1	-						
Va.	-	1	6	-	1	-	0	2	-	-	1	4	35	2	3						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	1	21	42	6	54	-	0	3	-	-	1	12	57	2	3						
Ala.	-	6	20	5	20	-	0	1	-	-	-	2	12	-	-						
Ky.	-	5	21	-	19	-	0	1	-	-	-	0	7	-	-						
Miss.	-	5	13	-	10	-	0	2	-	-	-	0	4	-	-						
Tenn.	1	3	9	1	5	-	0	1	-	-	1	10	49	2	3						
W.S. CENTRAL	11	45	79	16	42	-	0	1	-	-	-	11	72	-	1						
Ark.	-	1	7	1	-	-	0	1	-	-	-	8	65	-	-						
La.	-	4	10	-	10	-	0	0	-	-	-	0	2	-	1						
Okla.	5	7	27	7	4	-	0	1	-	-	-	0	26	-	-						
Tex.	6	31	58	8	28	-	0	1	-	-	-	0	4	-	-						
MOUNTAIN	-	11	32	1	13	-	0	2	-	1	-	0	5	-	5						
Ariz.	-	5	15	-	7	-	0	2	-	1	-	0	3	-	4						
Colo.	-	2	19	1	1	-	0	1	-	-	-	0	1	-	-						
Idaho	-	0	2	-	-	-	0	0	-	-	-	0	2	-	-						
Mont.	-	0	2	-	1	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	8	-	1	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	1	7	-	2	-	0	0	-	-	-	0	1	-	-						
Utah	-	0	4	-	1	-	0	0	-	-	-	0	1	-	1						
Wyo.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	2	20	57	20	32	-	0	2	-	-	-	0	2	-	1						
Alaska	-	0	2	-	2	N	0	0	N	N	N	0	0	N	N						
Calif.	1	15	57	19	27	-	0	2	-	-	-	0	1	-	1						
