
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending April 5, 2008 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2008
5-year weekly average†
Total cases reported for year 2007
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	-	-	1	-	-	-		
Botulism:										
foodborne	1	2	0	28	20	19	16	20	CA (1 )	
infant	-	16	1	83	97	85	87	76		
other(wound & unspecified)	-	1	0	24	48	31	30	33		
Brucellosis	1	11	2	128	121	120	114	104	NV (1 )	
Chancroid	-	13	1	30	33	17	30	54		
Cholera	-	-	0	7	9	8	6	2		
Cyclosporiasis §	1	19	2	91	137	543	160	75	FL (1 )	
Diphtheria	-	-	-	-	-	-	-	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	-	0	44	67	80	112	108		
eastern equine	-	-	-	4	8	21	6	14		
Powassan	-	-	-	1	1	1	1	-		
St. Louis	-	-	0	7	10	13	12	41		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis/Anaplasmosis §,**:										
Ehrlichia chaffeensis	1	22	1	734	578	506	338	321	MD (1 )	
Ehrlichia ewingii	-	1	-	-	-	-	-	-		
Anaplasma phagocytophilum	-	6	2	731	646	786	537	362		
undetermined	-	1	0	162	231	112	59	44		
Haemophilus influenzae ††, invasive disease (age &lt;5 yrs):										
serotype B	1	10	0	23	29	9	19	32	AZ (1 )	
nonserotype B	-	38	3	174	175	135	135	117		
unknown serotype	4	65	4	190	179	217	177	227	KS (1 ), MD (1 ), FL (1 ), AZ (1 )	
Hansen disease §	1	17	2	73	66	87	105	95	CA (1 )	
Hantavirus pulmonary syndrome §	-	2	0	32	40	26	24	26		
Hemolytic uremic syndrome, post-diarrheal §	-	15	2	276	288	221	200	178		
Hepatitis C viral, acute	8	163	16	847	766	652	720	1,102	NY (1 ), MD (2 ), FL (1 ), CO (1 ), WA (1 ), CA (2 )	
HIV infection, pediatric (age &lt;13 yrs) §§	-	-	4	-	-	380	436	504		
