
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 6, 2007 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2007
Giardiasis cummulative for 2006
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2007
Gonorrhea cummulative for 2006
Haemophilus influenzae, invasive, All ages, all serotypes† current week
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2007
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2006

tab delimited data:
test
UNITED STATES	67	301	516	67	212	2,308	6,539	8,039	2,308	5,286	15	39	58	15	45						
NEW ENGLAND	1	19	44	1	12	64	95	166	64	81	-	2	12	-	1						
Conn.	-	0	25	-	-	4	22	118	4	5	-	0	8	-	-						
Maine	1	3	14	1	-	1	2	8	1	1	-	0	4	-	-						
Mass.	-	8	18	-	10	58	46	86	58	51	-	1	7	-	1						
N.H.	-	0	9	-	1	1	3	9	1	4	-	0	2	-	-						
R.I.	-	1	17	-	-	-	9	19	-	19	-	0	2	-	-						
Vt.	-	3	12	-	1	-	1	4	-	1	-	0	2	-	-						
MID. ATLANTIC	8	62	101	8	46	322	648	858	322	407	1	8	14	1	13						
N.J.	-	7	13	-	9	44	104	160	44	79	-	0	0	-	-						
N.Y. (Upstate)	8	25	47	8	2	58	119	215	58	19	-	3	8	-	1						
N.Y. City	-	15	29	-	17	215	175	377	215	85	1	2	6	1	6						
Pa.	-	15	32	-	18	5	225	401	5	224	-	3	8	-	6						
E.N. CENTRAL	6	49	93	6	49	385	1,235	1,928	385	1,057	3	5	13	3	10						
Ill.	-	9	24	-	10	-	356	520	-	347	-	0	6	-	2						
Ind.	-	0	0	-	-	146	161	249	146	141	-	1	10	-	-						
Mich.	1	14	38	1	17	198	262	880	198	136	-	0	5	-	1						
Ohio	5	15	32	5	5	41	287	703	41	286	3	2	6	3	5						
Wis.	-	9	40	-	17	-	132	172	-	147	-	0	3	-	2						
W.N. CENTRAL	2	25	118	2	12	91	366	449	91	225	-	2	10	-	2						
Iowa	-	6	15	-	3	-	36	62	-	41	-	0	1	-	-						
Kans.	-	3	11	-	2	8	39	81	8	-	-	0	2	-	1						
Minn.	-	1	87	-	-	-	59	105	-	16	-	0	9	-	-						
Mo.	-	9	28	-	4	81	192	254	81	155	-	0	6	-	1						
Nebr.	-	2	9	-	1	-	27	56	-	4	-	0	2	-	-						
N. Dak.	-	0	2	-	-	1	2	6	1	-	-	0	2	-	-						
S. Dak.	2	2	6	2	2	1	6	15	1	9	-	0	0	-	-						
S. ATLANTIC	24	51	93	24	26	598	1,606	2,145	598	1,494	7	10	21	7	11						
Del.	-	0	4	-	1	26	28	44	26	37	-	0	1	-	-						
D.C.	-	1	4	-	2	-	36	59	-	37	-	0	2	-	-						
Fla.	13	21	44	13	12	247	456	551	247	338	2	3	9	2	3						
Ga.	11	11	26	11	5	1	349	576	1	3	5	2	5	5	5						
Md.	-	4	11	-	5	112	125	190	112	190	-	1	5	-	2						
N.C.	N	0	0	N	N	-	314	766	-	707	-	0	9	-	-						
S.C.	-	2	7	-	-	179	150	704	179	154	-	1	3	-	1						
Va.	-	8	28	-	1	30	127	249	30	20	-	1	7	-	-						
W. Va.	-	0	6	-	-	3	18	41	3	8	-	0	4	-	-						
E.S. CENTRAL	1	10	42	1	6	70	576	867	70	365	-	2	7	-	1						
Ala.	-	6	30	-	6	8	190	313	8	96	-	0	5	-	1						
Ky.	N	0	0	N	N	12	59	268	12	69	-	0	1	-	-						
Miss.	-	0	0	-	-	-	139	435	-	65	-	0	1	-	-						
Tenn.	1	4	12	1	-	50	190	238	50	135	-	1	4	-	-						
W.S. CENTRAL	-	6	15	-	-	513	899	1,265	513	701	1	1	5	1	-						
Ark.	-	2	8	-	-	64	81	142	64	76	-	0	2	-	-						
La.	-	0	6	-	-	26	130	354	26	106	-	0	3	-	-						
Okla.	-	2	11	-	-	128	88	185	128	32	1	1	4	1	-						
Tex.	N	0	0	N	N	295	579	918	295	487	-	0	0	-	-						
MOUNTAIN	10	30	68	10	18	66	217	428	66	235	2	4	9	2	5						
Ariz.	1	3	9	1	2	66	91	198	66	64	-	1	6	-	1						
Colo.	6	9	33	6	3	-	41	85	-	83	2	1	4	2	4						
Idaho	-	3	12	-	3	-	3	20	-	5	-	0	1	-	-						
Mont.	-	2	11	-	1	-	3	20	-	1	-	0	0	-	-						
Nev.	-	1	9	-	1	-	23	135	-	19	-	0	1	-	-						
N. Mex.	-	1	6	-	1	-	32	65	-	53	-	0	2	-	-						
Utah	3	7	25	3	6	-	17	26	-	4	-	0	4	-	-						
Wyo.	-	1	4	-	1	-	2	6	-	6	-	0	1	-	-						
PACIFIC	15	57	99	15	43	199	786	968	199	721	1	2	8	1	2						
Alaska	-	1	17	-	1	4	10	24	4	1	1	0	2	1	-						
Calif.	8	40	68	8	28	145	651	834	145	625	-	0	5	-	-						
Hawaii	-	1	4	-	1	2	17	26	2	18	-	0	1	-	-						
Oreg.	7	8	14	7	13	-	28	49	-	17	-	1	6	-	2						
Wash.	-	7	20	-	-	48	76	142	48	60	-	0	1	-	-						
Amer. Samoa	U	0	0	U	U	U	0	2	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	1	12	-	-	5	5	16	5	2	-	0	0	-	-						
V.I.	U	0	0	U	U	U	1	5	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for H. influenzae (age <5 yrs serotype b, nonserotype b, and unknown serotype) are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


