
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 29, 2000 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	796	957	2	120	134	53	1,290	1,999	6	25	32										
NEW ENGLAND	49	52	-	2	3	9	346	180	-	5	7										
Maine	3	3	-	-	-	-	9	-	-	-	-										
N.H.	3	9	-	-	1	3	52	30	-	1	-										
Vt.	2	3	-	-	-	5	74	9	-	-	-										
Mass.	31	29	-	-	2	1	193	133	-	3	7										
R.I.	3	2	-	1	-	-	6	3	-	-	-										
Conn.	7	6	U	1	-	U	12	5	U	1	-										
MID. ATLANTIC	75	90	-	7	15	2	113	427	-	2	3										
Upstate N.Y.	16	25	-	5	2	2	71	371	-	2	2										
N.Y. City	17	28	-	-	3	-	-	10	-	-	-										
N.J.	20	14	-	-	-	-	-	10	-	-	1										
Pa.	22	23	U	2	10	U	42	36	U	-	-										
E.N. CENTRAL	134	167	-	14	16	2	177	169	-	-	-										
Ohio	28	59	-	6	6	-	131	93	-	-	-										
Ind.	20	15	-	-	-	-	12	8	-	-	-										
Ill.	35	55	-	3	4	1	14	27	-	-	-										
Mich.	39	19	-	5	6	1	10	18	-	-	-										
Wis.	12	19	-	-	-	-	10	23	-	-	-										
W.N. CENTRAL	65	114	-	10	4	10	57	38	-	2	6										
Minn.	3	26	-	-	-	10	31	-	-	-	-										
Iowa	12	21	-	4	3	-	10	13	-	-	-										
Mo.	42	44	-	1	1	-	7	10	-	-	-										
N. Dak.	1	-	-	-	-	-	1	-	-	-	-										
S. Dak.	4	5	-	-	-	-	1	2	-	-	-										
Nebr.	1	7	-	2	-	-	2	1	-	-	6										
Kans.	2	11	U	3	-	U	5	12	U	2	-										
S. ATLANTIC	125	134	1	17	26	2	97	91	6	12	2										
Del.	-	2	-	-	-	-	1	-	-	-	-										
Md.	12	25	-	4	4	1	29	33	-	-	1										
D.C.	-	1	U	-	1	U	-	-	U	-	-										
Va.	19	20	U	4	8	U	10	12	U	-	-										
W. Va.	3	2	-	-	-	-	-	1	-	-	-										
N.C.	25	18	1	3	5	1	29	22	6	6	1										
S.C.	9	19	-	6	2	-	15	7	-	6	-										
Ga.	22	24	-	-	-	-	13	6	-	-	-										
Fla.	35	23	-	-	6	-	-	10	-	-	-										
E.S. CENTRAL	57	77	-	3	3	2	29	44	-	4	-										
Ky.	12	15	-	-	-	-	16	12	-	1	-										
Tenn.	26	29	-	2	-	2	4	22	-	-	-										
Ala.	16	21	-	1	1	-	8	8	-	3	-										
Miss.	3	12	-	-	2	-	1	2	-	-	-										
W.S. CENTRAL	51	78	-	1	15	1	7	52	-	-	5										
Ark.	5	16	-	1	-	1	7	4	-	-	-										
La.	13	33	-	-	2	-	-	2	-	-	-										
Okla.	17	17	-	-	1	-	-	3	-	-	-										
Tex.	16	12	-	-	12	-	-	43	-	-	5										
MOUNTAIN	51	73	1	9	8	11	272	232	-	-	7										
Mont.	1	-	U	1	-	U	1	1	U	-	-										
Idaho	6	8	-	-	-	-	35	87	-	-	-										
Wyo.	-	2	-	-	-	-	-	2	-	-	-										
Colo.	12	20	-	1	3	5	149	58	-	-	-										
N. Mex.	7	8	-	1	N	2	50	13	-	-	-										
Ariz.	16	25	-	-	-	3	29	42	-	-	6										
Utah	7	5	1	4	4	1	5	27	-	-	1										
Nev.	2	5	-	2	1	-	3	2	-	-	-										
PACIFIC	189	172	-	57	44	14	192	766	-	-	2										
Wash.	15	24	-	2	1	14	78	394	-	-	-										
Oreg.	24	32	N	N	N	U	24	10	U	-	-										
Calif.	144	107	U	51	37	U	81	342	U	-	2										
Alaska	3	5	-	3	1	-	5	3	-	-	-										
Hawaii	3	4	-	1	5	-	4	17	-	-	-										
Guam	-	-	U	-	1	U	-	1	U	-	-										
P.R.	2	7	-	-	-	-	-	4	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


