
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2008 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	49	81	168	340	461	10	35	102	106	149											
NEW ENGLAND	-	5	28	3	34	-	1	7	2	23											
Conn.	-	0	22	-	2	-	0	2	-	2											
Maine	-	0	3	1	3	-	0	1	-	-											
Mass.	-	2	12	-	21	-	1	4	-	16											
N.H.	-	0	4	2	4	-	0	2	2	2											
R.I.	-	0	1	-	-	-	0	1	-	2											
Vt.	-	0	1	-	4	-	0	1	-	1											
MID. ATLANTIC	14	16	40	73	84	-	5	38	11	25											
N.J.	-	2	12	3	13	-	1	5	1	7											
N.Y. (Upstate)	8	5	20	34	15	-	2	13	10	12											
N.Y. City	-	4	13	5	25	-	1	35	-	6											
Pa.	6	5	11	31	31	N	0	0	N	N											
E.N. CENTRAL	5	14	34	56	117	4	4	17	19	30											
Ill.	-	4	13	4	42	-	1	6	-	4											
Ind.	-	2	10	9	8	-	0	11	2	2											
Mich.	-	3	10	14	22	-	1	5	5	12											
Ohio	5	4	14	29	40	4	1	5	12	8											
Wis.	-	0	5	-	5	-	0	2	-	4											
W.N. CENTRAL	4	5	32	21	22	1	3	15	10	4											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	2	0	3	6	5	-	0	1	2	-											
Minn.	-	0	29	-	-	-	1	14	-	-											
Mo.	2	2	4	10	14	1	0	2	6	4											
Nebr.	-	0	3	3	1	-	0	3	2	-											
N. Dak.	-	0	3	-	-	-	0	1	-	-											
S. Dak.	-	0	2	2	2	-	0	0	-	-											
S. ATLANTIC	11	23	49	104	98	-	6	14	18	26											
Del.	-	0	1	-	1	-	0	0	-	-											
D.C.	-	0	3	-	-	-	0	0	-	-											
Fla.	4	6	16	34	23	-	1	5	4	1											
Ga.	5	4	12	30	20	-	0	5	-	9											
Md.	-	4	9	22	23	-	1	5	10	8											
N.C.	-	1	22	2	13	-	0	0	-	-											
S.C.	2	1	7	7	7	-	1	4	4	2											
Va.	-	3	11	9	9	-	0	3	-	6											
W. Va.	-	0	3	-	2	-	0	1	-	-											
E.S. CENTRAL	1	4	13	10	23	-	2	11	1	11											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	2	6	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	2											
Tenn.	1	3	13	8	17	-	2	9	1	9											
W.S. CENTRAL	8	6	29	24	20	4	5	33	14	11											
Ark.	-	0	2	-	3	-	0	1	1	2											
La.	-	0	4	-	3	-	0	4	-	4											
Okla.	2	1	5	8	8	3	1	4	7	3											
Tex.	6	4	24	16	6	1	2	29	6	2											
MOUNTAIN	5	9	21	41	52	-	4	12	25	16											
Ariz.	4	4	10	26	21	-	2	8	19	12											
Colo.	-	3	8	8	11	-	1	4	3	2											
Idaho	1	0	2	2	2	-	0	1	1	-											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	-	-	-	0	1	1	-											
N. Mex.	-	1	4	-	8	-	0	4	-	1											
Utah	-	1	6	5	9	-	0	2	1	1											
Wyo.	-	0	1	-	1	-	0	0	-	-											
PACIFIC	1	3	7	8	11	1	0	4	6	3											
Alaska	-	0	3	1	1	1	0	4	6	3											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	2	5	7	10	-	0	1	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	4	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


