
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 4, 2007 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	33	93	261	3,351	3,662	14	29	108	970	825											
NEW ENGLAND	-	6	27	284	235	2	3	11	76	71											
Conn.	-	0	23	91	61	-	0	6	-	23											
Maine	-	0	3	20	14	-	0	1	1	-											
Mass.	-	3	12	131	122	2	2	6	58	42											
N.H.	-	1	4	27	25	-	0	2	7	6											
R.I.	-	0	12	-	4	-	0	3	8	-											
Vt.	-	0	2	15	9	-	0	1	2	-											
MID. ATLANTIC	4	16	41	639	687	3	4	20	117	121											
N.J.	-	2	9	80	116	-	1	4	19	45											
N.Y. (Upstate)	3	5	27	217	222	3	2	15	75	63											
N.Y. City	-	4	12	152	123	-	1	3	23	13											
Pa.	1	5	11	190	226	N	0	0	N	N											
E.N. CENTRAL	7	17	32	586	728	-	5	14	156	217											
Ill.	-	4	13	142	222	-	1	6	37	60											
Ind.	3	2	17	96	86	-	0	10	14	32											
Mich.	1	4	10	148	152	-	1	4	55	51											
Ohio	3	4	14	174	185	-	1	7	42	44											
Wis.	-	1	6	26	83	-	0	2	8	30											
W.N. CENTRAL	1	5	32	229	238	-	2	8	72	62											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	45	-	0	1	1	10											
Minn.	-	0	29	116	111	-	1	6	51	34											
Mo.	-	2	6	51	45	-	0	2	13	11											
Nebr.	1	0	3	17	21	-	0	2	6	5											
N. Dak.	-	0	2	10	8	-	0	2	1	2											
S. Dak.	-	0	2	7	8	-	0	0	-	-											
S. ATLANTIC	9	21	52	829	805	2	3	14	187	53											
Del.	-	0	2	7	7	-	0	0	-	-											
D.C.	-	0	3	8	9	-	0	1	-	-											
Fla.	5	6	16	198	182	1	0	5	41	-											
Ga.	2	5	12	156	171	-	0	5	45	-											
Md.	-	4	10	149	152	-	1	6	44	44											
N.C.	-	0	22	119	121	-	0	0	-	-											
S.C.	1	1	7	71	53	1	0	3	25	-											
Va.	1	2	11	101	90	-	0	3	27	-											
W. Va.	-	0	3	20	20	-	0	4	5	9											
E.S. CENTRAL	2	4	13	147	150	-	1	6	60	15											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	31	35	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	15											
Tenn.	2	3	13	116	115	-	0	6	57	-											
W.S. CENTRAL	6	6	90	214	272	7	4	43	147	138											
Ark.	-	0	2	16	21	-	0	2	7	17											
La.	-	0	4	16	13	-	0	4	23	16											
Okla.	1	2	23	53	71	2	1	13	37	26											
Tex.	5	3	64	129	167	5	1	27	80	79											
MOUNTAIN	3	10	20	336	483	-	4	12	132	133											
Ariz.	-	4	11	101	247	-	2	7	76	75											
Colo.	2	3	9	115	84	-	1	4	32	33											
Idaho	1	0	2	9	7	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	5	36	94	-	0	4	17	22											
Utah	-	2	7	68	48	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	1	3	9	87	64	-	1	4	23	15											
Alaska	1	0	3	22	N	-	0	2	21	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	65	64	-	0	2	2	15											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


