
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending December 24, 2011 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	1	7	109	681	631	12	15	57	785	1,733	-	2	13	106	91						
NEW ENGLAND	-	0	1	4	8	-	3	28	273	120	-	0	1	2	2						
Conn.	-	0	0	-	-	-	0	2	-	41	-	0	0	-	-						
Maine	-	0	1	1	4	-	0	3	24	17	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	172	-	-	0	0	-	-						
N.H.	-	0	1	2	3	-	0	4	22	20	-	0	1	1	2						
R.I.	-	0	1	1	1	-	0	15	47	40	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	1	8	2	-	0	0	-	-						
MID. ATLANTIC	-	1	7	58	85	11	5	31	361	277	-	0	2	10	15						
N.J.	-	0	1	-	52	-	0	2	-	75	-	0	0	-	1						
N.Y. (Upstate)	-	0	7	47	26	11	3	27	305	190	-	0	2	10	11						
N.Y. City	-	0	2	11	5	-	1	5	52	11	-	0	0	-	-						
Pa.	-	0	0	-	2	-	0	1	4	1	-	0	0	-	3						
E.N. CENTRAL	-	0	5	31	44	-	0	2	22	511	-	1	6	46	46						
Ill.	-	0	4	21	16	-	0	2	10	9	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	4	36	15						
Mich.	-	0	2	4	2	-	0	0	-	4	-	0	2	5	-						
Ohio	-	0	1	6	7	-	0	1	9	2	-	0	1	1	-						
Wis.	-	0	0	-	19	-	0	1	3	496	-	0	1	2	28						
W.N. CENTRAL	-	1	19	162	120	-	0	8	35	733	-	0	11	14	10						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	2	5	6	-	0	1	2	1	-	0	1	1	-						
Minn.	-	0	12	-	-	-	0	1	1	720	-	0	11	-	-						
Mo.	-	1	19	155	112	-	0	7	29	12	-	0	7	13	10						
Nebr.	-	0	1	1	2	-	0	1	1	-	-	0	0	-	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	1	-	-	0	1	2	-	-	0	0	-	-						
S. ATLANTIC	-	2	33	239	251	1	1	8	67	64	-	0	2	13	6						
Del.	-	0	2	15	17	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	15	8	1	0	3	11	3	-	0	0	-	-						
Ga.	-	0	3	18	20	-	0	2	9	1	-	0	1	2	1						
Md.	-	0	3	27	22	-	0	2	6	15	-	0	1	1	2						
N.C.	-	0	17	66	99	-	0	6	20	28	-	0	0	-	-						
S.C.	-	0	1	2	5	-	0	0	-	1	-	0	1	1	-						
Va.	-	1	13	96	77	-	0	3	20	12	-	0	1	8	3						
W. Va.	-	0	0	-	3	-	0	0	-	-	-	0	1	1	-						
E.S. CENTRAL	-	1	8	74	88	-	0	2	16	20	-	0	3	14	9						
Ala.	-	0	2	4	12	-	0	1	4	7	N	0	0	N	N						
Ky.	-	0	3	14	16	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	3	3	-	0	1	1	2	-	0	0	-	1						
Tenn.	-	0	5	53	57	-	0	2	11	11	-	0	3	14	7						
W.S. CENTRAL	1	0	87	113	33	-	0	9	8	8	-	0	0	-	1						
Ark.	1	0	13	52	14	-	0	3	6	4	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	59	15	-	0	7	2	2	-	0	0	-	-						
Tex.	-	0	1	2	3	-	0	1	-	2	-	0	0	-	1						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	5	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	4	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	1	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	0	-	2	-	0	1	3	-	-	0	1	2	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	2	-	0	0	-	-	-	0	1	2	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	3	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2011 are provisional and subject to change.
