
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 12, 2005 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	34,502	789,736	795,913	4,029	5,024	6,399	3,198													
NEW ENGLAND	778	1,129	27,307	26,018	-	-	308	161													
Maine	11	23	1,952	1,806	N	N	25	18													
N.H.	20	39	1,601	1,509	-	-	30	30													
Vt.	4	14	830	976	-	-	36	23													
Mass.	368	425	12,443	11,562	-	-	128	59													
R.I.	68	114	2,733	2,936	-	-	13	4													
Conn.	307	514	7,748	7,229	N	N	76	27													
MID. ATLANTIC	4,352	7,360	99,634	97,469	-	-	2,817	518													
Upstate N.Y.	800	837	19,892	19,593	N	N	2,411	163													
N.Y. City	2,327	4,039	31,993	29,948	-	-	117	123													
N.J.	574	1,229	15,603	15,231	N	N	52	43													
Pa.	651	1,255	32,146	32,697	N	N	237	189													
E.N. CENTRAL	1,938	2,816	129,383	141,068	10	13	1,364	964													
Ohio	312	540	34,848	34,799	N	N	737	206													
Ind.	236	326	17,431	16,132	N	N	74	70													
Ill.	983	1,274	38,652	41,379	-	-	128	147													
Mich.	322	535	22,370	31,958	10	13	96	139													
Wis.	85	141	16,082	16,800	N	N	329	402													
W.N. CENTRAL	463	710	48,981	49,183	5	6	537	366													
Minn.	123	190	9,516	10,245	3	N	130	120													
Iowa	50	57	6,176	6,015	N	N	103	79													
Mo.	198	296	19,364	18,131	1	3	239	64													
N. Dak.	5	15	1,011	1,558	N	N	1	10													
S. Dak.	10	8	2,405	2,201	-	-	24	37													
Nebr.	18	44	4,423	4,554	1	3	8	27													
Kans.	59	100	6,086	6,479	N	N	32	29													
S. ATLANTIC	6,473	10,881	150,697	149,659	2	-	623	473													
Del.	100	131	2,946	2,526	N	N	4	-													
Md.	812	1,292	15,976	16,340	2	-	33	20													
D.C.	467	785	3,322	3,077	-	-	10	14													
Va.	307	565	18,039	19,227	-	-	60	55													
W. Va.	36	71	2,300	2,437	N	N	13	6													
N.C.	531	1,014	26,862	25,533	N	N	77	72													
S.C.	386	640	18,170	16,166	-	-	17	22													
Ga.	1,103	1,375	26,412	27,787	-	-	106	166													
Fla.	2,731	5,008	36,670	36,566	N	N	303	118													
E.S. CENTRAL	1,093	1,646	58,604	52,085	-	5	189	133													
Ky.	135	212	7,635	5,059	N	N	129	42													
Tenn.	434	684	20,723	19,357	N	N	38	41													
Ala.	295	381	12,954	11,731	-	-	18	22													
Miss.	229	369	17,292	15,938	-	5	4	28													
W.S. CENTRAL	2,206	4,000	91,659	96,581	1	3	174	123													
Ark.	72	183	7,535	6,936	-	1	5	15													
La.	436	799	14,205	19,275	1	2	77	5													
Okla.	167	169	9,236	9,343	N	N	40	21													
Tex.	1,531	2,849	60,683	61,027	N	N	52	82													
MOUNTAIN	789	1,233	44,776	48,734	2,763	3,108	111	155													
Mont.	4	5	1,844	2,150	N	N	16	34													
Idaho	9	17	2,253	2,380	N	N	11	26													
Wyo.	2	14	997	911	3	2	3	3													
Colo.	163	278	11,521	12,556	N	N	44	53													
N. Mex.	72	164	4,394	7,814	14	21	5	17													
Ariz.	329	454	14,712	14,159	2,709	3,007	8	15													
Utah	33	53	3,729	3,247	5	22	15	5													
Nev.	177	248	5,326	5,517	32	56	9	2													
PACIFIC	2,313	4,727	138,695	135,116	1,248	1,889	276	305													
Wash.	229	348	16,097	15,272	N	N	43	33													
Oreg.	136	249	6,462	7,238	-	-	64	29													
Calif.	1,874	3,981	109,994	104,606	1,248	1,889	165	241													
Alaska	14	43	3,433	3,333	-	-	3	-													
Hawaii	60	106	2,709	4,667	-	-	1	2													
Guam	1	1	-	803	-	-	-	-													
P.R.	537	614	3,193	2,908	N	N	N	N													
V.I.	10	18	196	299	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


