
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 14, 2005 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	954	849	2	4	47	45	92	91													
NEW ENGLAND	58	82	-	1	4	6	3	-													
Maine	3	7	-	-	-	-	1	-													
N.H.	3	12	-	-	-	2	-	-													
Vt.	6	4	-	-	-	-	2	-													
Mass.	23	40	-	1	-	2	-	-													
R.I.	6	2	-	-	2	-	-	-													
Conn.	17	17	-	-	2	2	-	-													
MID. ATLANTIC	272	175	-	-	-	3	30	25													
Upstate N.Y.	46	59	-	-	-	3	4	4													
N.Y. City	26	34	-	-	-	-	6	8													
N.J.	35	33	-	-	-	-	5	2													
Pa.	165	49	-	-	-	-	15	11													
E.N. CENTRAL	111	151	-	-	1	7	6	23													
Ohio	58	54	-	-	-	2	5	9													
Ind.	34	21	-	-	1	4	1	1													
Ill.	4	46	-	-	-	-	-	10													
Mich.	10	9	-	-	-	1	-	3													
Wis.	5	21	-	-	-	-	-	-													
W.N. CENTRAL	39	43	-	-	2	2	6	5													
Minn.	17	14	-	-	2	2	-	-													
Iowa	-	1	-	-	-	-	-	1													
Mo.	17	17	-	-	-	-	4	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	3	4	-	-	-	-	1	-													
Kans.	1	4	-	-	-	-	-	-													
S. ATLANTIC	230	198	-	-	13	10	14	14													
Del.	-	-	-	-	-	-	-	-													
Md.	32	38	-	-	4	2	-	-													
D.C.	-	-	-	-	-	-	-	-													
Va.	18	17	-	-	-	-	-	1													
W. Va.	14	8	-	-	1	3	2	-													
N.C.	37	24	-	-	5	3	-	-													
S.C.	10	5	-	-	-	-	1	-													
Ga.	59	56	-	-	-	-	6	13													
Fla.	60	50	-	-	3	2	5	-													
E.S. CENTRAL	45	28	-	-	1	-	10	6													
Ky.	4	-	-	-	1	-	1	-													
Tenn.	32	19	-	-	-	-	6	4													
Ala.	9	9	-	-	-	-	3	2													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	47	35	1	1	3	4	5	1													
Ark.	-	-	-	-	-	-	-	-													
La.	18	9	1	-	1	-	5	1													
Okla.	29	25	-	-	2	4	-	-													
Tex.	-	1	-	1	-	-	-	-													
MOUNTAIN	113	97	-	2	14	9	15	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	4	-	-	-	-	1	2													
Wyo.	1	-	-	-	-	-	-	-													
Colo.	24	22	-	-	-	-	3	2													
N. Mex.	12	21	-	-	4	3	-	4													
Ariz.	51	40	-	-	8	5	3	1													
Utah	10	8	-	2	-	1	6	2													
Nev.	12	2	-	-	2	-	2	1													
PACIFIC	39	40	1	-	9	4	3	5													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	17	22	-	-	-	-	3	2													
Calif.	16	11	1	-	9	4	-	1													
Alaska	1	2	-	-	-	-	-	1													
Hawaii	5	4	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


