
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 11, 1998 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,584	2,057	7	251	361	92	2,252	2,720	9	274	91										
NEW ENGLAND	69	127	-	1	7	10	393	560	-	35	1										
Maine	4	12	-	-	-	-	5	6	-	-	-										
N.H.	4	12	-	-	-	5	39	65	-	-	-										
Vt.	1	2	-	-	-	2	38	174	-	-	-										
Mass.	34	66	-	1	2	2	292	292	-	6	1										
R.I.	3	9	-	-	4	-	3	12	-	-	-										
Conn.	23	26	-	-	1	1	16	11	-	29	-										
MID. ATLANTIC	146	210	-	16	43	4	284	217	2	113	27										
Upstate N.Y.	37	58	-	3	9	4	144	78	2	106	5										
N.Y. City	16	37	-	4	3	-	6	52	-	2	22										
N.J.	40	42	-	1	7	-	5	11	-	4	-										
Pa.	53	73	-	8	24	-	129	76	-	1	-										
E.N. CENTRAL	236	307	-	43	41	9	205	259	-	-	5										
Ohio	86	110	-	19	16	1	73	77	-	-	-										
Ind.	41	33	-	5	4	5	66	30	-	-	-										
Ill.	58	90	-	2	8	1	15	34	-	-	1										
Mich.	27	46	-	17	11	2	34	31	-	-	-										
Wis.	24	28	-	-	2	-	17	87	-	-	4										
W.N. CENTRAL	130	151	-	20	12	19	188	157	-	25	-										
Minn.	24	24	-	10	5	15	115	101	-	-	-										
Iowa	20	34	-	6	6	1	40	8	-	-	-										
Mo.	50	69	-	3	-	2	15	25	-	2	-										
N. Dak.	2	1	-	1	-	-	-	1	-	-	-										
S. Dak.	6	4	-	-	-	1	5	3	-	-	-										
Nebr.	4	5	-	-	1	-	5	4	-	-	-										
Kans.	24	14	-	-	-	-	8	15	-	23	-										
S. ATLANTIC	285	345	1	35	41	8	135	234	1	8	29										
Del.	1	5	-	-	-	1	2	-	-	-	-										
Md.	23	35	-	-	1	-	26	80	-	-	-										
D.C.	-	5	-	-	-	-	1	2	-	-	-										
Va.	23	34	-	5	6	-	6	25	-	-	1										
W. Va.	9	14	-	-	-	-	1	4	-	-	-										
N.C.	40	64	1	9	7	4	48	68	-	5	22										
S.C.	41	38	-	4	10	-	15	11	-	-	6										
Ga.	62	63	-	1	5	-	6	6	-	-	-										
Fla.	86	87	-	16	12	3	30	38	1	3	-										
E.S. CENTRAL	112	149	-	1	19	3	54	52	-	-	1										
Ky.	17	38	-	-	3	-	20	13	-	-	-										
Tenn.	43	49	-	1	3	-	18	20	-	-	-										
Ala.	52	45	-	-	6	3	16	13	-	-	1										
Miss.	U	17	U	U	7	U	U	6	U	U	-										
W.S. CENTRAL	186	192	4	38	43	17	161	96	6	75	3										
Ark.	23	25	-	-	-	6	24	7	-	-	-										
La.	38	38	3	8	11	-	1	11	-	-	-										
Okla.	29	23	-	-	-	-	13	13	-	-	-										
Tex.	96	106	1	30	32	11	123	65	6	75	3										
MOUNTAIN	90	120	1	23	46	19	506	698	-	5	5										
Mont.	3	7	-	-	-	1	2	8	-	-	-										
Idaho	4	8	-	3	2	5	194	435	-	-	1										
Wyo.	4	1	-	1	1	-	7	5	-	-	-										
Colo.	19	31	1	5	3	1	99	184	-	-	-										
N. Mex.	16	19	N	N	N	2	66	33	-	1	-										
Ariz.	31	30	-	5	29	8	99	19	-	1	4										
Utah	10	11	-	3	6	2	27	4	-	2	-										
Nev.	3	13	U	6	5	U	12	10	U	1	-										
PACIFIC	330	456	1	74	109	3	326	447	-	13	20										
Wash.	41	54	-	5	12	-	148	192	-	9	5										
Oreg.	56	91	N	N	N	3	23	22	-	-	-										
Calif.	228	308	1	54	80	-	149	217	-	2	8										
Alaska	1	1	-	2	5	-	2	3	-	-	-										
Hawaii	4	2	-	13	12	-	4	13	-	2	7										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	5	8	-	1	4	-	2	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	2	4	U	1	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


