
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 1, 2009 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	39	102	239	3,532	3,715	9	35	122	1,066	1,127											
NEW ENGLAND	-	5	28	178	279	-	1	12	26	56											
Conn.	-	0	21	53	78	-	0	11	-	-											
Maine	-	0	2	13	20	-	0	1	2	1											
Mass.	-	2	10	60	132	-	1	2	15	42											
N.H.	-	1	4	30	17	-	0	2	7	7											
R.I.	-	0	2	9	20	-	0	2	-	6											
Vt.	-	0	3	13	12	-	0	1	2	-											
MID. ATLANTIC	6	19	42	716	772	3	5	33	162	144											
N.J.	-	2	6	83	142	-	1	4	28	42											
N.Y. (Upstate)	2	7	25	241	245	3	2	17	76	65											
N.Y. City	-	4	12	139	141	-	0	31	58	37											
Pa.	4	6	18	253	244	N	0	2	N	N											
E.N. CENTRAL	4	17	42	741	733	1	6	18	167	205											
Ill.	-	5	12	181	198	-	1	5	19	60											
Ind.	-	3	23	184	96	-	0	13	32	21											
Mich.	1	3	11	109	125	-	1	5	44	54											
Ohio	3	4	13	170	201	-	1	6	48	36											
Wis.	-	2	10	97	113	1	1	4	24	34											
W.N. CENTRAL	8	6	37	290	272	-	2	11	91	56											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	37	32	N	0	1	N	N											
Minn.	7	0	34	125	127	-	0	10	50	13											
Mo.	-	2	8	65	64	-	0	4	27	26											
Nebr.	-	1	3	32	25	-	0	1	5	6											
N. Dak.	-	0	4	11	8	-	0	3	4	5											
S. Dak.	1	0	3	20	16	-	0	2	5	6											
S. ATLANTIC	15	22	47	774	739	1	6	16	206	217											
Del.	-	0	1	9	6	-	0	0	-	-											
D.C.	-	0	2	-	8	N	0	0	N	N											
Fla.	6	6	12	185	167	-	1	6	48	39											
Ga.	4	5	13	184	168	1	2	6	50	58											
Md.	1	3	12	122	134	-	1	4	45	43											
N.C.	3	2	12	79	93	N	0	0	N	N											
S.C.	-	2	5	49	42	-	1	6	33	37											
Va.	-	3	9	116	93	-	0	4	18	35											
W. Va.	1	1	4	30	28	-	0	3	12	5											
E.S. CENTRAL	1	4	10	135	125	-	1	6	42	59											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	23	28	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	8											
Tenn.	1	3	9	112	97	-	1	6	42	51											
W.S. CENTRAL	2	9	79	290	316	3	6	46	182	173											
Ark.	-	0	2	13	7	1	0	4	19	10											
La.	-	0	3	9	13	-	0	3	13	10											
Okla.	-	3	20	98	72	2	1	7	35	47											
Tex.	2	6	59	170	224	-	4	34	115	106											
MOUNTAIN	2	9	22	307	393	1	4	16	158	183											
Ariz.	1	3	7	102	136	1	2	10	82	85											
Colo.	1	3	9	103	100	-	1	4	30	40											
Idaho	-	0	2	4	12	-	0	2	6	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	6	-	0	1	-	3											
N. Mex.	-	2	7	52	97	-	0	4	15	25											
Utah	-	1	6	40	36	-	0	5	25	26											
Wyo.	-	0	1	1	6	-	0	1	-	1											
PACIFIC	1	4	10	101	86	-	1	6	32	34											
Alaska	-	1	4	27	19	-	0	5	27	22											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	3	8	74	67	-	0	2	5	12											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


