
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 22, 2000 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	-	1,726	12,729	38,109	25	60	32	57	13	45											
NEW ENGLAND	-	124	833	1,143	2	2	7	7	3	7											
Maine	-	-	67	7	1	-	-	1	-	-											
N.H.	-	3	44	71	-	-	2	-	3	-											
Vt.	-	-	31	22	1	1	-	-	-	-											
Mass.	-	121	441	483	-	1	2	6	-	4											
R.I.	-	-	-	119	-	-	-	-	-	-											
Conn.	-	-	250	441	-	-	3	-	-	3											
MID. ATLANTIC	-	401	415	4,021	1	6	-	1	-	-											
Upstate N.Y.	-	18	N	N	1	-	-	1	-	-											
N.Y. City	-	234	-	2,163	-	5	-	-	-	-											
N.J.	-	76	41	677	-	-	-	-	-	-											
Pa.	-	73	374	1,181	-	1	N	N	-	-											
E.N. CENTRAL	-	45	2,859	5,972	5	12	4	17	-	6											
Ohio	-	1	291	2,480	4	2	1	12	-	2											
Ind.	-	-	229	586	-	-	-	2	-	2											
Ill.	-	16	1,023	1,416	-	1	-	1	-	1											
Mich.	-	22	702	773	1	1	3	2	-	-											
Wis.	-	6	614	717	-	8	N	N	-	1											
W.N. CENTRAL	-	21	508	1,861	1	2	5	9	7	7											
Minn.	-	3	116	474	-	1	-	2	1	5											
Iowa	-	4	29	29	-	-	1	3	-	1											
Mo.	-	3	282	752	1	1	4	-	5	1											
N. Dak.	-	-	-	43	-	-	-	-	-	-											
S. Dak.	-	-	68	80	-	-	-	-	-	-											
Nebr.	-	1	13	216	-	-	-	2	-	-											
Kans.	-	10	-	267	-	-	-	2	1	-											
S. ATLANTIC	-	486	2,084	8,287	-	2	2	5	-	7											
Del.	-	-	138	144	-	-	-	-	-	-											
Md.	-	79	120	782	-	1	-	1	-	-											
D.C.	-	1	106	N	-	1	-	-	U	U											
Va.	-	42	481	857	-	-	-	-	-	2											
W. Va.	-	-	-	103	-	-	-	-	-	1											
N.C.	-	66	1,041	1,235	-	-	2	2	-	2											
S.C.	-	33	135	2,010	-	-	-	1	-	1											
Ga.	-	2	63	1,637	-	-	-	-	U	U											
Fla.	-	263	-	1,519	-	-	-	1	-	1											
E.S. CENTRAL	-	80	462	1,936	-	-	1	7	-	3											
Ky.	-	15	316	368	-	-	-	2	U	U											
Tenn.	-	36	-	683	-	-	-	3	-	2											
Ala.	-	29	146	652	-	-	-	1	-	1											
Miss.	-	-	-	233	-	-	1	1	-	-											
W.S. CENTRAL	-	517	1,499	4,829	-	2	2	-	1	3											
Ark.	-	19	132	229	-	-	2	-	-	1											
La.	-	14	-	1,094	-	-	-	-	1	1											
Okla.	-	6	257	492	-	-	-	-	-	-											
Tex.	-	478	1,110	3,014	-	2	-	-	-	1											
MOUNTAIN	-	36	1,058	1,892	4	2	6	4	1	4											
Mont.	-	-	-	-	-	-	4	-	-	-											
Idaho	-	4	64	98	-	1	-	-	-	-											
Wyo.	-	-	36	37	-	-	1	1	-	1											
Colo.	-	26	196	357	-	-	-	2	1	1											
N. Mex.	-	-	-	312	-	-	-	-	-	-											
Ariz.	-	3	432	788	2	1	-	-	-	-											
Utah	-	-	217	109	N	N	-	1	-	2											
Nev.	-	3	113	191	-	-	1	-	-	-											
PACIFIC	-	16	3,011	8,168	12	32	5	7	1	8											
Wash.	-	2	677	596	N	N	-	-	1	2											
Oreg.	-	-	145	221	-	2	-	3	-	3											
Calif.	-	4	2,087	7,059	12	30	5	4	-	3											
Alaska	-	-	102	104	-	-	-	-	-	-											
Hawaii	-	10	-	188	-	-	-	-	-	-											
Guam	-	-	-	29	-	-	N	N	U	U											
P.R.	-	1	81	U	-	-	-	-	U	U											
V.I.	-	-	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


