
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending November 8, 2008 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	150	155	849	7,265	8,442	45	94	147	4,148	5,453	47	33	195	2,028	1,849						
NEW ENGLAND	-	14	49	559	1,320	11	7	20	328	485	-	0	1	2	8						
Conn.	-	0	4	34	78	8	3	17	183	205	-	0	0	-	-						
Maine	-	1	5	33	74	1	1	5	50	79	N	0	0	N	N						
Mass.	-	11	33	420	1,024	N	0	0	N	N	-	0	1	1	7						
N.H.	-	0	4	31	73	-	1	3	35	49	-	0	1	1	1						
R.I.	-	0	25	29	22	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	12	49	2	1	6	60	152	-	0	0	-	-						
MID. ATLANTIC	27	19	43	811	1,111	12	22	50	1,173	905	2	1	5	65	72						
N.J.	-	0	9	4	198	-	0	0	-	-	-	0	2	2	27						
N.Y. (Upstate)	8	7	24	382	490	12	9	20	455	474	-	0	2	16	6						
N.Y. City	-	1	6	46	126	-	0	2	13	42	-	0	2	23	24						
Pa.	19	8	23	379	297	-	14	35	705	389	2	0	2	24	15						
E.N. CENTRAL	29	22	189	1,215	1,387	2	3	28	240	399	1	1	13	126	57						
Ill.	-	4	18	211	169	-	1	21	103	112	-	1	10	84	37						
Ind.	-	1	15	87	53	-	0	2	10	12	-	0	3	7	5						
Mich.	3	5	14	222	266	2	1	8	70	199	-	0	1	3	4						
Ohio	26	8	176	631	588	-	1	7	57	76	1	0	4	31	10						
Wis.	-	1	7	64	311	N	0	0	N	N	-	0	1	1	1						
W.N. CENTRAL	43	14	142	759	595	8	3	12	172	243	1	5	36	482	354						
Iowa	-	1	9	68	135	-	0	5	27	30	-	0	2	6	15						
Kans.	-	1	10	44	95	-	0	7	-	99	-	0	0	-	12						
Minn.	-	2	131	200	157	7	0	10	61	32	-	0	4	-	1						
Mo.	19	4	20	274	82	1	0	9	48	38	-	4	35	453	307						
Nebr.	24	2	21	157	62	-	0	0	-	-	1	0	4	20	14						
N. Dak.	-	0	5	1	7	-	0	8	24	21	-	0	0	-	-						
S. Dak.	-	0	3	15	57	-	0	2	12	23	-	0	1	3	5						
S. ATLANTIC	8	15	50	737	843	8	37	101	1,806	1,992	30	12	70	785	867						
Del.	-	0	3	15	11	-	0	0	-	-	-	0	4	26	16						
D.C.	-	0	1	5	9	-	0	0	-	-	-	0	2	7	3						
Fla.	4	4	20	248	194	-	0	77	124	128	1	0	3	17	15						
Ga.	-	1	6	59	33	-	6	42	288	268	-	1	8	67	56						
Md.	3	2	9	102	105	-	8	17	382	387	-	1	7	60	59						
N.C.	-	0	38	79	282	8	9	16	412	442	28	1	55	414	545						
S.C.	1	2	22	96	69	-	0	0	-	46	-	1	8	49	61						
Va.	-	3	10	127	111	-	12	24	527	646	1	2	15	139	107						
W. Va.	-	0	2	6	29	-	1	11	73	75	-	0	1	6	5						
E.S. CENTRAL	3	6	13	270	428	-	2	7	93	144	-	3	22	280	268						
Ala.	1	1	5	42	85	-	0	0	-	-	-	1	8	83	92						
Ky.	-	1	8	79	27	-	0	4	43	18	-	0	1	1	5						
Miss.	-	2	7	82	241	-	0	1	2	2	-	0	3	6	20						
Tenn.	2	1	6	67	75	-	0	6	48	124	-	2	18	190	151						
W.S. CENTRAL	15	24	198	1,238	937	-	1	40	85	974	12	2	153	252	186						
Ark.	-	1	11	48	157	-	1	6	47	28	-	0	14	50	99						
La.	-	1	7	67	20	-	0	0	-	6	-	0	1	5	4						
Okla.	-	0	26	32	6	-	0	32	36	45	12	0	132	158	47						
Tex.	15	20	179	1,091	754	-	0	20	2	895	-	1	8	39	36						
MOUNTAIN	1	15	37	661	967	-	1	8	71	88	1	0	3	32	34						
Ariz.	-	3	10	172	194	N	0	0	N	N	1	0	2	13	9						
Colo.	-	3	13	131	261	-	0	0	-	-	-	0	1	1	3						
Idaho	1	0	5	28	37	-	0	1	-	11	-	0	1	1	4						
Mont.	-	1	11	77	41	-	0	2	8	19	-	0	1	3	1						
Nev.	-	0	7	18	37	-	0	4	5	13	-	0	2	2	-						
N. Mex.	-	0	5	31	70	-	0	3	24	11	-	0	1	2	5						
Utah	-	5	27	188	304	-	0	6	13	16	-	0	0	-	-						
Wyo.	-	0	2	16	23	-	0	3	21	18	-	0	2	10	12						
PACIFIC	24	21	303	1,015	854	4	4	13	180	223	-	0	1	4	3						
Alaska	10	2	19	185	86	-	0	4	13	41	N	0	0	N	N						
Calif.	-	7	129	299	399	4	3	12	154	171	-	0	1	1	1						
Hawaii	-	0	2	11	18	-	0	0	-	-	N	0	0	N	N						
Oreg.	2	3	9	154	111	-	0	4	13	11	-	0	1	3	2						
Wash.	12	5	169	366	240	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	-	1	5	56	47	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


