
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending February 16, 2002 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2002
Legionellosis cummulative for 2001
Listeriosis cummulative for 2002
Listeriosis cummulative for 2001
Lyme Disease cummulative for 2002
Lyme Disease cummulative for 2001
Malaria cummulative for 2002
Malaria cummulative for 2001
Measles Total cummulative for 2002
Measles Total cummulative for 2001

tab delimited data:
test
UNITED STATES	76	98	30	45	361	582	104	153	-	23											
NEW ENGLAND	3	2	1	4	16	80	8	15	-	4											
Maine	-	-	1	-	-	-	1	-	-	-											
N.H.	1	-	-	-	7	2	4	-	-	-											
Vt.	-	1	-	-	-	-	-	-	-	1											
Mass.	-	1	-	4	6	29	-	8	-	3											
R.I.	-	-	-	-	3	-	-	-	-	-											
Conn.	2	-	-	-	-	49	3	7	-	-											
MID. ATLANTIC	12	20	5	5	264	407	12	36	-	-											
Upstate N.Y.	3	1	3	1	166	111	3	1	-	-											
N.Y. City	-	2	1	1	-	4	5	19	-	-											
N.J.	-	4	-	2	16	86	2	10	-	-											
Pa.	9	13	1	1	82	206	2	6	-	-											
E.N. CENTRAL	35	37	5	7	7	23	10	30	-	-											
Ohio	25	14	4	1	7	8	7	4	-	-											
Ind.	1	2	-	-	-	-	-	6	-	-											
Ill.	-	6	-	1	-	2	-	9	-	-											
Mich.	9	9	1	3	-	-	3	11	-	-											
Wis.	-	6	-	2	U	13	-	-	-	-											
W.N. CENTRAL	1	6	-	1	6	3	6	4	-	-											
Minn.	-	-	-	-	2	3	-	1	-	-											
Iowa	-	1	-	-	2	-	2	-	-	-											
Mo.	1	3	-	-	2	-	2	3	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	1	-	-	-	-	-	-	-	-											
Kans.	-	1	-	1	-	-	2	-	-	-											
S. ATLANTIC	14	9	6	3	52	47	40	30	-	3											
Del.	3	-	-	-	5	4	-	1	-	-											
Md.	4	5	1	1	37	40	15	12	-	3											
D.C.	-	-	-	-	3	1	2	2	-	-											
Va.	-	2	-	1	-	1	-	8	-	-											
W. Va.	N	N	-	-	-	-	-	-	-	-											
N.C.	1	-	-	-	-	1	4	1	-	-											
S.C.	-	-	2	-	1	-	2	-	-	-											
Ga.	3	1	2	1	-	-	11	4	-	-											
Fla.	3	1	1	-	6	-	6	2	-	-											
E.S. CENTRAL	-	6	2	4	-	2	2	1	-	-											
Ky.	-	2	-	1	-	2	-	-	-	-											
Tenn.	-	-	1	2	-	-	1	1	-	-											
Ala.	-	2	1	1	-	-	1	-	-	-											
Miss.	-	2	-	-	-	-	-	-	-	-											
W.S. CENTRAL	-	2	-	3	1	11	-	2	-	-											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	1	-	-	-	-	-	1	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	1	-	3	1	11	-	1	-	-											
MOUNTAIN	4	4	3	3	2	-	3	8	-	1											
Mont.	-	-	-	-	-	-	-	1	-	-											
Idaho	-	-	-	-	-	-	-	1	-	1											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	1	3	1	1	1	-	2	3	-	-											
N. Mex.	1	-	-	-	1	-	-	-	-	-											
Ariz.	-	1	2	1	-	-	-	1	-	-											
Utah	2	-	-	-	-	-	-	1	-	-											
Nev.	-	-	-	1	-	-	1	1	-	-											
PACIFIC	7	12	8	15	13	9	23	27	-	15											
Wash.	-	1	-	-	-	-	-	-	-	11											
Oreg.	N	N	1	1	1	1	-	2	-	2											
Calif.	7	11	7	14	12	8	20	22	-	1											
Alaska	-	-	-	-	-	-	1	1	-	-											
Hawaii	-	-	-	-	N	N	2	2	-	1											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	2	-	-	N	N	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


