
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 27, 2004 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	192	260	30	61	24	21	3,104	4,340	60,767	73,534											
NEW ENGLAND	12	11	2	4	2	3	267	247	1,548	1,640											
Maine	-	-	-	-	-	-	25	20	64	28											
N.H.	2	3	-	1	-	-	9	15	28	27											
Vt.	-	-	-	-	-	-	16	19	17	22											
Mass.	1	3	1	1	2	3	139	128	750	624											
R.I.	1	1	-	-	-	-	23	21	217	223											
Conn.	8	4	1	2	-	-	55	44	472	716											
MID. ATLANTIC	18	25	1	1	5	2	677	715	8,012	8,977											
Upstate N.Y.	6	4	1	-	2	-	213	147	1,592	1,463											
N.Y. City	4	3	-	-	-	-	217	296	2,444	3,021											
N.J.	-	4	-	-	1	-	49	98	1,100	2,047											
Pa.	8	14	-	1	2	2	198	174	2,876	2,446											
E.N. CENTRAL	41	57	7	10	4	2	394	603	11,170	16,380											
Ohio	12	14	-	7	4	2	173	184	2,315	5,226											
Ind.	9	7	-	-	-	-	-	-	1,426	1,523											
Ill.	5	9	-	-	-	-	59	180	2,911	5,083											
Mich.	8	10	1	-	-	-	118	148	3,658	3,153											
Wis.	7	17	6	3	-	-	44	91	860	1,395											
W.N. CENTRAL	33	32	7	4	6	2	316	343	3,297	3,859											
Minn.	13	12	3	3	-	-	113	92	740	632											
Iowa	4	3	-	-	-	-	44	48	-	212											
Mo.	5	9	4	1	1	-	91	118	1,629	1,997											
N. Dak.	2	1	-	-	3	1	6	12	24	11											
S. Dak.	-	2	-	-	-	-	12	12	59	31											
Nebr.	4	4	-	-	-	-	23	36	255	334											
Kans.	5	1	-	-	2	1	27	25	590	642											
S. ATLANTIC	13	53	9	33	3	10	520	1,427	13,138	17,289											
Del.	-	-	N	N	N	N	12	12	236	310											
Md.	2	-	-	-	-	-	22	26	1,888	1,814											
D.C.	-	-	-	-	-	-	11	5	527	583											
Va.	-	3	3	-	-	-	70	46	472	1,841											
W. Va.	1	-	-	-	-	-	7	5	196	193											
N.C.	-	-	3	6	-	-	N	N	3,662	3,041											
S.C.	-	-	-	-	-	-	10	22	1,962	1,751											
Ga.	5	3	2	2	-	-	133	175	605	3,532											
Fla.	5	47	1	25	3	10	255	1,136	3,590	4,224											
E.S. CENTRAL	8	11	1	-	3	-	70	66	5,466	6,413											
Ky.	4	1	1	-	3	-	N	N	589	806											
Tenn.	2	6	-	-	-	-	28	29	1,760	1,984											
Ala.	1	3	-	-	-	-	42	37	1,783	2,038											
Miss.	1	1	-	-	-	-	-	-	1,334	1,585											
W.S. CENTRAL	9	12	-	2	-	2	62	46	8,988	9,695											
Ark.	1	1	-	-	-	-	32	28	837	840											
La.	-	-	-	-	-	-	7	3	2,786	2,570											
Okla.	3	-	-	-	-	-	23	15	874	780											
Tex.	5	11	-	2	-	2	-	-	4,491	5,505											
MOUNTAIN	32	23	2	6	1	-	294	277	2,447	2,578											
Mont.	2	-	-	-	-	-	6	6	8	32											
Idaho	3	6	1	3	-	-	46	33	14	18											
Wyo.	-	-	-	-	-	-	1	3	11	10											
Colo.	19	7	1	2	1	-	90	76	556	716											
N. Mex.	1	-	-	1	-	-	11	13	152	305											
Ariz.	2	8	N	N	N	N	68	57	1,190	1,031											
Utah	2	2	-	-	-	-	55	58	61	54											
Nev.	3	-	-	-	-	-	17	31	455	412											
PACIFIC	26	36	1	1	-	-	504	616	6,701	6,703											
Wash.	5	11	-	-	-	-	46	36	649	648											
Oreg.	2	4	1	1	-	-	82	74	179	212											
Calif.	15	21	-	-	-	-	352	467	5,737	5,485											
Alaska	-	-	-	-	-	-	9	15	135	124											
Hawaii	4	-	-	-	-	-	15	24	1	234											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	18	2	13	24	68											
V.I.	-	-	-	-	-	-	-	-	4	25											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


