
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 11, 2000 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	199	243	2,070	3,354	795	1,022	-	3	-	-	3	21									
NEW ENGLAND	14	18	43	40	9	31	-	-	-	-	-	1									
Maine	-	2	1	2	1	-	-	-	-	-	-	-									
N.H.	3	2	7	4	5	2	-	-	-	-	-	1									
Vt.	2	3	2	-	2	1	-	-	-	-	-	-									
Mass.	9	10	10	17	1	15	-	-	-	-	-	-									
R.I.	-	-	-	-	-	2	-	-	-	-	-	-									
Conn.	-	1	23	17	-	11	-	-	-	-	-	-									
MID. ATLANTIC	23	39	88	222	72	164	-	-	-	-	-	-									
Upstate N.Y.	13	16	50	51	18	29	-	-	-	-	-	-									
N.Y. City	5	10	38	68	54	49	-	-	-	-	-	-									
N.J.	4	12	-	30	-	22	-	-	-	-	-	-									
Pa.	1	1	-	73	-	64	-	-	-	-	-	-									
E.N. CENTRAL	22	34	234	775	96	104	-	3	-	-	3	-									
Ohio	14	14	80	151	23	21	-	2	-	-	2	-									
Ind.	3	2	3	12	5	4	-	-	-	-	-	-									
Ill.	2	15	44	158	-	-	-	-	-	-	-	-									
Mich.	3	3	101	439	68	72	-	1	-	-	1	-									
Wis.	-	-	6	15	-	7	-	-	-	-	-	-									
W.N. CENTRAL	6	16	233	171	47	53	-	-	-	-	-	-									
Minn.	-	4	20	4	3	3	-	-	-	-	-	-									
Iowa	-	3	26	24	9	9	-	-	-	-	-	-									
Mo.	2	3	124	107	22	28	-	-	-	-	-	-									
N. Dak.	1	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	1	-	-	1	-	-	-	-	-	-	-									
Nebr.	1	1	8	18	4	8	-	-	-	-	-	-									
Kans.	2	4	55	18	8	5	-	-	-	-	-	-									
S. ATLANTIC	58	51	230	238	154	150	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	19	19	28	74	24	40	-	-	-	-	-	-									
D.C.	-	2	-	11	-	5	-	-	-	-	-	-									
Va.	11	5	33	21	25	13	-	-	-	-	-	-									
W. Va.	1	1	22	1	-	-	-	-	-	-	-	-									
N.C.	5	5	52	28	55	44	-	-	-	-	-	-									
S.C.	1	2	3	3	1	19	-	-	-	-	-	-									
Ga.	16	13	27	78	2	23	-	-	-	-	-	-									
Fla.	5	4	65	22	47	6	-	-	-	-	-	-									
E.S. CENTRAL	12	15	70	95	51	86	-	-	-	-	-	-									
Ky.	7	3	4	17	8	7	-	-	-	-	-	-									
Tenn.	3	5	21	42	28	44	-	-	-	-	-	-									
Ala.	2	5	14	23	5	17	-	-	-	-	-	-									
Miss.	-	2	31	13	10	18	-	-	-	-	-	-									
W.S. CENTRAL	14	17	300	580	35	111	-	-	-	-	-	2									
Ark.	-	-	33	7	9	11	-	-	-	-	-	-									
La.	2	6	8	35	17	40	U	-	U	-	-	-									
Okla.	12	9	68	114	9	21	-	-	-	-	-	-									
Tex.	-	2	191	424	-	39	-	-	-	-	-	2									
MOUNTAIN	27	30	138	352	67	87	-	-	-	-	-	-									
Mont.	-	1	1	4	3	1	-	-	-	-	-	-									
Idaho	1	1	7	8	4	4	-	-	-	-	-	-									
Wyo.	-	1	3	1	-	-	-	-	-	-	-	-									
Colo.	9	1	36	67	20	18	-	-	-	-	-	-									
N. Mex.	8	6	19	6	15	27	-	-	-	-	-	-									
Ariz.	7	17	50	216	19	18	U	-	U	-	-	-									
Utah	2	3	12	16	3	7	-	-	-	-	-	-									
Nev.	-	-	10	34	3	12	-	-	-	-	-	-									
PACIFIC	23	23	734	881	264	236	-	-	-	-	-	18									
Wash.	2	-	33	55	7	3	-	-	-	-	-	3									
Oreg.	7	8	49	54	19	17	-	-	-	-	-	8									
Calif.	4	14	649	767	234	206	-	-	-	-	-	7									
Alaska	1	1	3	3	3	6	-	-	-	-	-	-									
Hawaii	9	-	-	2	1	4	-	-	-	-	-	-									
Guam	-	-	-	2	-	2	U	-	U	-	-	-									
P.R.	-	-	15	14	8	21	U	-	U	-	-	-									
V.I.	-	U	-	U	-	U	U	-	U	-	-	U									
Amer. Samoa	-	U	-	U	-	U	U	-	U	-	-	U									
C.N.M.I.	-	U	-	U	-	U	U	-	U	-	-	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


