
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 4, 2006 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	42	105	160	444	883	2	34	98	222	97	325	858	1,454	3,815	3,989						
NEW ENGLAND	15	13	33	65	102	-	0	1	-	-	4	41	76	187	179						
Conn.	5	3	13	18	16	-	0	0	-	-	-	9	42	42	36						
Maine	3	1	4	9	6	N	0	0	N	N	-	3	8	5	13						
Mass.	4	5	22	29	69	-	0	1	-	-	-	21	40	117	104						
N.H.	1	0	3	2	2	-	0	1	-	-	1	2	12	13	13						
R.I.	-	0	4	1	2	-	0	1	-	-	3	0	15	8	4						
Vt.	2	1	7	6	7	-	0	0	-	-	-	1	10	2	9						
MID. ATLANTIC	7	18	40	111	94	1	1	7	2	4	45	94	214	378	481						
N.J.	N	0	0	N	N	-	0	2	-	-	-	16	43	15	100						
N.Y. (Upstate)	5	12	24	57	38	-	0	2	-	-	33	21	178	94	92						
N.Y. City	-	0	3	-	5	-	0	2	1	1	-	24	43	101	147						
Pa.	2	7	22	54	51	1	1	6	1	3	12	31	61	168	142						
E.N. CENTRAL	-	3	19	2	6	-	0	6	1	2	35	93	243	425	487						
Ill.	-	1	4	-	1	-	0	3	-	1	-	29	160	40	134						
Ind.	-	0	3	-	1	-	0	1	-	-	6	10	71	58	25						
Mich.	-	0	4	1	2	-	0	1	-	-	4	18	35	91	109						
Ohio	-	0	13	1	2	-	0	3	1	1	25	23	52	176	112						
Wis.	N	0	3	N	N	-	0	1	-	-	-	15	45	60	107						
W.N. CENTRAL	1	7	23	16	35	-	2	16	4	4	19	43	91	253	253						
Iowa	-	1	10	3	7	-	0	2	-	-	-	7	18	36	54						
Kans.	1	1	5	4	6	-	0	2	-	-	9	7	17	45	22						
Minn.	-	1	5	1	11	-	0	1	-	-	7	11	31	57	59						
Mo.	-	1	7	1	4	-	1	14	4	4	3	14	40	87	73						
Nebr.	-	0	0	-	-	-	0	2	-	-	-	2	8	14	22						
N. Dak.	-	0	4	2	1	-	0	0	-	-	-	0	5	-	3						
S. Dak.	-	1	6	5	6	-	0	2	-	-	-	2	11	14	20						
S. ATLANTIC	14	31	54	192	463	1	16	94	212	68	77	255	509	1,125	1,098						
Del.	-	0	0	-	-	-	0	2	1	-	-	2	9	11	9						
D.C.	-	0	0	-	-	-	0	1	-	-	2	1	7	13	5						
Fla.	2	0	14	26	201	-	0	3	5	2	53	99	230	516	428						
Ga.	-	4	15	16	46	-	1	9	14	1	12	32	77	193	139						
Md.	-	6	16	31	48	1	2	7	7	3	8	14	39	83	83						
