
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 5, 2008 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	38	44	97	901	941	7	8	23	131	184	120	221	286	2,604	2,609						
NEW ENGLAND	-	1	6	11	55	-	0	2	2	5	3	6	14	67	51						
Conn.	-	0	4	-	35	-	0	1	-	4	-	0	6	3	7						
Maine	-	0	2	6	4	-	0	1	1	-	-	0	2	1	1						
Mass.	-	0	0	-	-	-	0	0	-	-	3	3	10	58	33						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	3	3	4						
R.I.	-	0	2	2	8	-	0	1	-	1	-	0	5	2	5						
Vt.	-	0	2	3	8	-	0	1	1	-	-	0	5	-	1						
MID. ATLANTIC	5	2	6	48	61	2	0	2	10	14	29	32	45	443	425						
N.J.	-	0	0	-	-	-	0	0	-	-	3	4	10	61	56						
N.Y. (Upstate)	2	1	4	13	21	-	0	1	2	7	2	3	10	29	30						
N.Y. City	-	0	0	-	-	-	0	0	-	-	19	18	29	284	270						
Pa.	3	1	5	35	40	2	0	2	8	7	5	5	12	69	69						
E.N. CENTRAL	10	13	46	261	253	1	2	14	37	39	29	15	29	218	225						
Ill.	-	2	13	43	52	-	0	6	9	17	-	6	14	27	107						
Ind.	-	3	28	72	36	-	0	11	10	3	1	1	6	36	14						
Mich.	-	0	1	3	-	-	0	1	1	-	25	2	12	54	33						
