
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2002 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2002
Legionellosis cummulative for 2001
Listeriosis cummulative for 2002
Listeriosis cummulative for 2001
Lyme Disease cummulative for 2002
Lyme Disease cummulative for 2001
Malaria cummulative for 2002
Malaria cummulative for 2001
Measles Total cummulative for 2002
Measles Total cummulative for 2001

tab delimited data:
test
UNITED STATES	10	16	1	12	62	75	7	24	-	6											
NEW ENGLAND	-	1	-	2	-	6	1	1	-	-											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	1	-	-	-											
Vt.	-	1	-	-	-	-	-	-	-	-											
Mass.	-	-	-	2	-	6	-	1	-	-											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	-	-	-	-	-	-	-	-											
MID. ATLANTIC	1	2	-	1	39	32	-	4	-	-											
Upstate N.Y.	-	-	-	1	28	1	-	-	-	-											
N.Y. City	-	-	-	-	-	1	-	4	-	-											
N.J.	-	2	-	-	-	26	-	-	-	-											
Pa.	1	-	-	-	11	4	-	-	-	-											
E.N. CENTRAL	7	7	-	3	2	10	-	3	-	-											
Ohio	3	4	-	-	2	4	-	1	-	-											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	1	-	1	-	2	-	2	-	-											
Mich.	4	1	-	1	-	-	-	-	-	-											
Wis.	-	1	-	1	U	4	-	-	-	-											
W.N. CENTRAL	-	1	-	1	1	-	2	1	-	-											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	1	-	-	-											
Mo.	-	-	-	-	1	-	1	1	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	1	-	-	-	-	-	-	-	-											
Kans.	-	-	-	1	-	-	-	-	-	-											
S. ATLANTIC	2	1	-	-	19	17	3	4	-	-											
Del.	1	-	-	-	-	1	-	-	-	-											
Md.	1	1	-	-	19	15	1	3	-	-											
D.C.	-	-	-	-	-	1	1	1	-	-											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	N	N	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	-	-	1	-	-	-											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	-	-	-	-	-	-	-	-	-	-											
Fla.	-	-	-	-	-	-	-	-	-	-											
E.S. CENTRAL	-	1	-	-	-	-	-	-	-	-											
Ky.	-	-	-	-	-	-	-	-	-	-											
Tenn.	-	-	-	-	-	-	-	-	-	-											
Ala.	-	1	-	-	-	-	-	-	-	-											
Miss.	-	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	-	1	-	-	1	6	-	1	-	-											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	1	-	-	-	-	-	1	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	-	1	6	-	-	-	-											
MOUNTAIN	-	1	1	-	-	-	-	1	-	-											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	-	1	1	-	-	-	-	1	-	-											
N. Mex.	-	-	-	-	-	-	-	-	-	-											
Ariz.	-	-	-	-	-	-	-	-	-	-											
Utah	-	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	-	-	-	-	-											
PACIFIC	-	1	-	5	-	4	1	9	-	6											
Wash.	-	-	-	-	-	-	-	-	-	5											
Oreg.	N	N	-	-	-	-	-	1	-	-											
Calif.	-	1	-	5	-	4	1	8	-	-											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	N	N	-	-	-	1											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	N	N	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


