
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 17, 2007 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2007
Chlamydia† cummulative for 2006
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2007
Coccidioidomycosis cummulative for 2006
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2007
Cryptosporidiosis cummulative for 2006

tab delimited data:
test
UNITED STATES	7,547	19,703	22,109	97,021	126,581	55	150	367	887	1,123	23	67	304	268	345						
NEW ENGLAND	486	605	1,188	3,621	3,395	-	0	0	-	-	1	3	22	12	55						
Conn.	-	119	654	301	429	N	0	0	N	N	-	0	3	3	36						
Maine	49	44	72	298	255	-	0	0	-	-	-	0	6	3	4						
Mass.	326	297	604	2,194	1,869	-	0	0	-	-	-	0	14	-	11						
N.H.	31	40	69	277	220	-	0	0	-	-	1	1	5	4	2						
R.I.	62	62	108	406	446	-	0	0	-	-	-	0	5	-	-						
Vt.	18	21	45	145	176	N	0	0	N	N	-	1	5	2	2						
MID. ATLANTIC	1,537	2,398	3,746	13,224	14,877	-	0	0	-	-	1	10	31	28	56						
N.J.	152	383	562	1,392	2,582	N	0	0	N	N	-	0	3	-	1						
N.Y. (Upstate)	484	502	2,447	2,292	1,867	N	0	0	N	N	1	3	13	7	7						
N.Y. City	419	737	1,566	4,580	5,369	N	0	0	N	N	-	2	11	4	16						
Pa.	482	782	1,005	4,960	5,059	N	0	0	N	N	-	4	17	17	32						
E.N. CENTRAL	607	3,116	4,100	12,667	22,584	1	1	3	4	4	5	16	110	52	70						
Ill.	-	1,003	1,352	3,170	7,465	-	0	0	-	-	-	2	22	-	10						
Ind.	-	380	614	2,365	2,886	-	0	0	-	-	1	1	18	2	2						
Mich.	431	668	1,225	4,211	3,432	1	0	3	3	2	1	2	9	11	12						
Ohio	43	656	1,424	1,373	5,880	-	0	2	1	2	3	5	33	28	26						
Wis.	133	368	527	1,548	2,921	N	0	0	N	N	-	5	53	11	20						
W.N. CENTRAL	603	1,186	1,445	6,676	8,500	-	0	1	2	-	1	12	77	41	35						
Iowa	170	163	223	1,146	1,191	N	0	0	N	N	-	2	28	7	3						
Kans.	123	146	280	891	1,208	N	0	0	N	N	-	1	8	5	6						
Minn.	-	247	321	869	1,764	-	0	0	-	-	1	3	21	8	14						
Mo.	219	448	628	2,836	3,044	-	0	1	2	-	-	2	21	7	8						
Nebr.	36	97	180	478	674	N	0	0	N	N	-	1	16	3	3						
N. Dak.	-	29	64	110	272	N	0	0	N	N	-	0	1	-	-						
S. Dak.	55	51	84	346	347	N	0	0	N	N	-	1	7	11	1						
S. ATLANTIC	1,866	3,778	5,632	20,708	23,840	-	0	1	1	2	8	17	67	100	89						
Del.	70	68	107	504	482	N	0	0	N	N	-	0	3	1	-						
D.C.	-	58	155	327	347	-	0	0	-	-	-	0	2	3	4						
Fla.	-	973	1,187	3,300	5,970	N	0	0	N	N	1	7	32	45	30						
Ga.	322	708	2,541	3,839	3,487	N	0	0	N	N	5	5	12	35	26						
Md.	300	345	482	2,477	2,162	-	0	1	1	2	-	0	3	3	4						
N.C.	264	631	1,772	3,658	5,650	-	0	0	-	-	-	0	11	2	20						
S.C.	541	356	2,105	3,399	2,102	N	0	0	N	N	1	1	13	4	1						
Va.	342	461	687	2,897	3,364	N	0	0	N	N	1	1	5	6	4						
W. Va.	27	57	96	307	276	N	0	0	N	N	-	0	3	1	-						
E.S. CENTRAL	739	1,446	2,035	8,717	9,496	-	0	0	-	-	-	3	15	7	6						
Ala.	-	419	761	1,540	3,263	N	0	0	N	N	-	1	12	2	2						
