
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending May 7, 2005 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	1,674	1,927	1,028	984	306	322	2,243	2,555	86	135											
NEW ENGLAND	64	89	10	16	28	40	66	56	-	-											
Maine	2	3	N	N	-	1	1	-	-	-											
N.H.	4	9	-	-	1	N	4	1	-	-											
Vt.	7	4	4	5	3	1	-	-	-	-											
Mass.	45	68	-	5	24	35	55	35	-	-											
R.I.	6	5	6	6	-	3	2	3	-	-											
Conn.	-	-	-	-	U	U	4	17	-	-											
MID. ATLANTIC	377	345	112	75	57	46	295	343	15	18											
Upstate N.Y.	143	109	44	33	35	29	25	26	11	1											
N.Y. City	51	64	U	U	U	U	194	204	3	7											
N.J.	73	68	N	N	11	4	38	68	1	9											
Pa.	110	104	68	42	11	13	38	45	-	1											
E.N. CENTRAL	283	453	258	245	79	83	182	289	12	21											
Ohio	89	121	173	182	38	41	73	87	2	1											
Ind.	39	48	83	63	20	17	17	17	1	1											
Ill.	2	128	2	-	17	-	56	115	1	1											
Mich.	145	126	-	N	-	N	29	57	6	18											
Wis.	8	30	N	N	4	25	7	13	2	-											
W.N. CENTRAL	116	156	23	9	35	32	67	68	-	1											
Minn.	41	72	-	-	17	18	12	10	-	1											
Iowa	N	N	N	N	-	N	1	3	-	-											
Mo.	35	37	21	8	3	8	46	38	-	-											
N. Dak.	2	6	-	-	1	-	-	-	-	-											
S. Dak.	9	8	2	1	-	-	-	-	-	-											
Nebr.	9	10	-	-	4	4	2	5	-	-											
Kans.	20	23	N	N	10	2	6	12	-	-											
S. ATLANTIC	358	379	447	525	38	23	587	641	18	23											
Del.	-	2	1	3	-	N	6	2	-	-											
Md.	92	60	-	-	26	18	108	113	7	3											
D.C.	4	3	13	6	2	4	39	20	-	1											
Va.	27	28	N	N	-	N	30	18	3	1											
W. Va.	8	12	37	50	10	1	2	3	-	-											
N.C.	58	48	N	N	U	U	82	51	3	1											
S.C.	11	38	-	45	-	N	25	50	-	7											
Ga.	68	98	154	140	-	N	48	122	-	1											
Fla.	90	90	242	281	-	N	247	262	5	9											
E.S. CENTRAL	73	100	77	66	3	-	127	129	11	5											
Ky.	17	33	11	17	N	N	11	20	-	-											
Tenn.	56	67	66	49	-	N	53	48	8	1											
Ala.	-	-	-	-	-	N	54	46	3	2											
Miss.	-	-	-	-	3	-	9	15	-	2											
W.S. CENTRAL	77	147	64	32	40	74	418	384	19	30											
Ark.	7	4	6	5	8	4	18	16	-	3											
La.	4	1	58	27	9	19	87	86	2	2											
Okla.	55	26	N	N	14	22	12	8	1	2											
Tex.	11	116	N	N	9	29	301	274	16	23											
MOUNTAIN	289	222	37	16	26	24	113	134	11	8											
Mont.	-	-	-	-	-	-	5	-	-	-											
Idaho	1	4	N	N	-	N	9	9	-	1											
Wyo.	1	5	15	4	-	-	-	1	-	-											
Colo.	114	41	N	N	25	22	13	24	-	-											
N. Mex.	20	47	-	5	-	-	7	35	1	2											
Ariz.	117	108	N	N	-	N	50	58	10	5											
Utah	35	17	21	5	1	2	2	2	-	-											
Nev.	1	-	1	2	-	-	27	5	-	-											
PACIFIC	37	36	-	-	-	-	388	511	-	29											
Wash.	N	N	N	N	N	N	53	26	-	-											
Oreg.	N	N	N	N	-	N	10	14	-	-											
Calif.	-	-	N	N	N	N	320	468	-	29											
Alaska	-	-	-	-	-	N	3	-	-	-											
Hawaii	37	36	-	-	-	-	2	3	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	45	48	5	2											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


