
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 13, 2002 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	339	215	5	15	2	-	15,304	16,861													
NEW ENGLAND	-	2	-	-	-	-	926	1,228													
Maine	-	-	-	-	-	-	72	110													
N.H.	-	-	-	-	-	-	61	95													
Vt.	-	-	-	-	-	-	34	35													
Mass.	-	2	-	-	-	-	513	715													
R.I.	-	-	-	-	-	-	59	64													
Conn.	-	-	-	-	-	-	187	209													
MID. ATLANTIC	19	11	3	6	-	-	1,934	2,291													
Upstate N.Y.	5	-	2	1	-	-	693	516													
N.Y. City	2	1	-	4	-	-	621	627													
N.J.	3	2	1	1	-	-	192	539													
Pa.	9	8	-	-	-	-	428	609													
E.N. CENTRAL	6	13	-	2	-	-	2,474	2,326													
Ohio	4	1	-	-	-	-	682	680													
Ind.	1	1	-	-	-	-	211	230													
Ill.	-	11	-	2	-	-	770	649													
Mich.	1	-	-	-	-	-	440	402													
Wis.	-	-	-	-	-	-	371	365													
W.N. CENTRAL	47	30	-	3	-	-	1,142	980													
Minn.	-	-	-	-	-	-	264	304													
Iowa	1	1	-	1	-	-	195	152													
Mo.	46	27	-	1	-	-	423	237													
N. Dak.	-	-	-	-	-	-	25	15													
S. Dak.	-	2	-	-	-	-	44	70													
Nebr.	-	-	-	-	-	-	51	68													
Kans.	-	-	-	1	-	-	140	134													
S. ATLANTIC	195	89	-	3	-	-	3,721	3,645													
Del.	2	-	-	-	-	-	31	42													
Md.	25	15	-	-	-	-	382	374													
D.C.	-	-	-	-	-	-	40	39													
Va.	12	8	-	-	-	-	401	582													
W. Va.	1	-	-	-	-	-	46	53													
N.C.	102	44	-	-	-	-	528	517													
S.C.	32	13	-	2	-	-	210	360													
Ga.	18	6	-	-	-	-	813	672													
Fla.	3	3	-	1	-	-	1,270	1,006													
E.S. CENTRAL	34	44	-	-	1	-	1,061	955													
Ky.	2	1	-	-	-	-	164	166													
Tenn.	24	35	-	-	1	-	263	249													
Ala.	8	4	-	-	-	-	305	276													
Miss.	-	4	-	-	-	-	329	264													
W.S. CENTRAL	28	19	1	-	-	-	614	2,003													
Ark.	-	4	-	-	-	-	315	259													
La.	-	1	-	-	-	-	118	347													
Okla.	28	14	-	-	-	-	179	147													
Tex.	-	-	1	-	-	-	2	1,250													
MOUNTAIN	8	7	-	-	-	-	1,031	1,014													
Mont.	1	1	-	-	-	-	48	39													
Idaho	-	1	-	-	-	-	60	70													
Wyo.	2	2	-	-	-	-	29	31													
Colo.	1	-	-	-	-	-	261	279													
N. Mex.	-	1	-	-	-	-	143	125													
Ariz.	-	-	-	-	-	-	290	270													
Utah	-	2	-	-	-	-	92	113													
Nev.	4	-	-	-	-	-	108	87													
PACIFIC	2	-	1	1	1	-	2,401	2,419													
Wash.	-	-	-	-	-	-	225	226													
Oreg.	1	-	-	-	-	-	201	145													
Calif.	1	-	1	-	-	-	1,809	1,835													
Alaska	-	-	-	-	-	-	35	25													
Hawaii	-	-	-	1	1	-	131	188													
Guam	-	-	-	-	-	-	-	10													
P.R.	-	-	-	3	-	-	101	484													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	21	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


