
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 28, 2004 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	5,273	105,298	127,443	1,043	502	348	370	4	57											
NEW ENGLAND	-	192	4,060	4,127	-	-	20	21	-	-											
Maine	-	-	181	273	N	N	4	1	-	-											
N.H.	-	3	267	239	-	-	5	2	-	-											
Vt.	-	5	123	172	-	-	2	2	-	-											
Mass.	-	111	2,284	1,574	-	-	7	11	-	-											
R.I.	-	16	646	412	-	-	-	3	-	-											
Conn.	-	57	559	1,457	N	N	2	2	-	-											
MID. ATLANTIC	-	1,540	16,088	18,357	-	-	56	33	1	-											
Upstate N.Y.	-	77	2,644	1,768	N	N	13	7	-	-											
N.Y. City	-	941	4,717	5,012	-	-	8	14	-	-											
N.J.	-	170	1,452	2,391	-	-	1	2	-	-											
Pa.	-	352	7,275	9,186	N	N	34	10	1	-											
E.N. CENTRAL	-	632	16,391	23,775	-	2	72	53	-	-											
Ohio	-	95	1,779	6,405	-	-	26	7	-	-											
Ind.	-	84	2,546	2,768	N	N	7	3	-	-											
Ill.	-	290	4,412	7,639	-	-	4	11	-	-											
Mich.	-	143	6,040	4,389	-	2	18	12	-	-											
Wis.	-	20	1,614	2,574	-	-	17	20	-	-											
W.N. CENTRAL	-	60	5,921	6,716	-	-	36	17	1	-											
Minn.	-	9	755	1,640	N	N	8	8	-	-											
Iowa	-	17	-	396	N	N	5	3	-	-											
Mo.	-	26	2,917	2,600	-	-	10	2	1	-											
N. Dak.	-	-	140	138	N	N	-	-	-	-											
S. Dak.	-	1	332	358	-	-	4	4	-	-											
Nebr.	-	-	582	542	-	-	-	-	-	-											
Kans.	-	7	1,195	1,042	N	N	9	-	-	-											
S. ATLANTIC	-	1,118	16,556	22,125	-	-	64	156	1	57											
Del.	-	30	447	466	N	N	-	1	-	-											
Md.	-	103	2,844	2,358	-	-	6	6	-	-											
D.C.	-	179	367	497	-	-	1	-	-	-											
Va.	-	176	1,245	2,079	-	-	7	-	-	-											
W. Va.	-	6	404	368	N	N	-	-	-	-											
N.C.	-	123	3,294	3,802	N	N	14	3	-	-											
S.C.	-	45	2,412	1,940	-	-	-	1	-	-											
Ga.	-	309	554	4,598	-	-	20	16	-	-											
Fla.	-	147	4,989	6,017	N	N	16	129	1	57											
E.S. CENTRAL	-	80	7,451	8,302	N	N	19	16	-	-											
Ky.	-	28	911	1,335	N	N	5	1	-	-											
Tenn.	-	21	2,853	2,612	N	N	10	7	-	-											
Ala.	-	12	2,025	2,269	-	-	2	6	-	-											
Miss.	-	19	1,662	2,086	N	N	2	2	-	-											
W.S. CENTRAL	-	698	14,519	15,709	-	-	12	8	1	-											
Ark.	-	14	1,133	952	-	-	7	2	-	-											
La.	-	15	3,924	2,911	N	N	-	-	1	-											
Okla.	-	16	1,041	1,050	N	N	4	1	-	-											
Tex.	-	653	8,421	10,796	-	-	1	5	-	-											
MOUNTAIN	-	204	6,034	7,626	820	403	22	11	-	-											
Mont.	-	7	27	270	N	N	1	1	-	-											
Idaho	-	1	477	383	N	N	-	4	-	-											
Wyo.	-	1	156	181	-	-	2	-	-	-											
Colo.	-	23	534	2,051	N	N	14	2	-	-											
N. Mex.	-	14	861	1,198	2	-	1	-	-	-											
Ariz.	-	112	2,841	2,275	805	395	3	1	-	-											
Utah	-	6	365	322	4	1	-	3	-	-											
Nev.	-	40	773	946	9	7	1	-	-	-											
PACIFIC	-	749	18,278	20,706	223	97	47	55	-	-											
Wash.	-	72	2,560	2,274	N	N	-	-	-	-											
Oreg.	-	47	1,180	897	-	-	7	3	-	-											
Calif.	-	618	14,059	16,189	223	97	39	52	-	-											
Alaska	-	6	468	526	-	-	-	-	-	-											
Hawaii	-	6	11	820	-	-	1	-	-	-											
Guam	-	1	-	-	-	-	-	-	-	-											
P.R.	-	145	135	98	N	N	N	N	-	-											
V.I.	-	2	-	52	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


