
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 12, 2005 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	946	1,070	554	562	134	157	1,108	1,334	37	88											
NEW ENGLAND	33	58	2	2	13	18	37	21	-	-											
Maine	2	2	N	N	-	-	1	-	-	-											
N.H.	3	6	-	-	-	N	3	1	-	-											
Vt.	4	-	2	1	1	-	-	-	-	-											
Mass.	21	48	-	-	12	17	32	10	-	-											
R.I.	3	2	-	1	-	1	-	1	-	-											
Conn.	-	-	-	-	U	U	1	9	-	-											
MID. ATLANTIC	175	183	57	35	28	15	127	180	9	16											
Upstate N.Y.	64	56	20	13	18	8	11	7	6	1											
N.Y. City	15	37	U	U	U	U	87	115	1	5											
N.J.	33	40	N	N	2	-	19	31	1	9											
Pa.	63	50	37	22	8	7	10	27	1	1											
E.N. CENTRAL	124	236	111	128	31	43	95	140	2	21											
Ohio	38	60	79	99	20	23	45	41	-	1											
Ind.	26	17	32	29	6	6	10	8	-	5											
Ill.	2	71	-	-	2	-	28	62	1	2											
Mich.	54	68	-	N	-	N	8	23	-	13											
Wis.	4	20	N	N	3	14	4	6	1	-											
W.N. CENTRAL	60	84	12	3	14	14	27	35	-	-											
Minn.	22	36	-	-	6	7	1	5	-	-											
Iowa	N	N	N	N	-	N	-	1	-	-											
Mo.	18	17	11	3	-	3	23	21	-	-											
N. Dak.	1	3	-	-	1	-	-	-	-	-											
S. Dak.	4	5	1	-	-	-	-	-	-	-											
Nebr.	7	6	-	-	2	2	1	5	-	-											
Kans.	8	17	N	N	5	2	2	3	-	-											
S. ATLANTIC	211	191	265	280	17	10	322	329	8	12											
Del.	-	-	-	1	-	N	2	1	-	-											
Md.	72	47	-	-	15	7	68	48	4	3											
D.C.	2	2	2	3	1	3	24	13	-	1											
Va.	7	11	N	N	-	N	15	3	2	1											
W. Va.	6	7	13	20	1	-	2	2	-	-											
N.C.	19	22	N	N	U	U	50	30	1	-											
S.C.	2	2	-	17	-	N	14	26	-	2											
Ga.	41	50	102	83	-	N	12	58	-	1											
Fla.	62	50	148	156	-	N	135	148	1	4											
E.S. CENTRAL	35	52	41	39	-	-	72	73	3	3											
Ky.	9	20	7	8	N	N	5	14	-	-											
Tenn.	26	32	34	31	-	N	23	32	1	1											
Ala.	-	-	-	-	-	N	38	18	2	1											
Miss.	-	-	-	-	-	-	6	9	-	1											
W.S. CENTRAL	29	91	30	24	21	41	198	208	12	20											
Ark.	6	3	6	3	1	2	11	13	-	2											
La.	3	1	24	21	6	10	12	42	-	-											
Okla.	20	13	N	N	8	15	11	5	1	2											
Tex.	-	74	N	N	6	14	164	148	11	16											
MOUNTAIN	191	65	20	11	10	16	55	67	3	1											
Mont.	-	-	-	-	-	-	4	-	-	-											
Idaho	1	1	N	N	-	N	6	5	-	-											
Wyo.	1	3	6	4	-	-	-	1	-	-											
Colo.	81	22	N	N	9	15	1	12	-	-											
N. Mex.	13	28	-	5	-	-	6	21	-	1											
Ariz.	80	3	N	N	-	N	29	24	3	-											
Utah	15	8	13	1	1	1	1	2	-	-											
Nev.	-	-	1	1	-	-	8	2	-	-											
PACIFIC	88	110	16	40	-	-	175	281	-	15											
Wash.	N	N	N	N	N	N	30	12	-	-											
Oreg.	N	N	N	N	-	N	2	9	-	-											
Calif.	67	85	N	N	-	N	141	257	-	15											
Alaska	-	-	-	-	-	N	-	-	-	-											
Hawaii	21	25	16	40	-	-	2	3	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	23	22	3	1											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


