
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 7, 1996 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1996
H. influenzae, Invasive cummulative for 1995
Hepatitis (Viral), Type A cummulative for 1996
Hepatitis (Viral), Type A cummulative for 1995
Hepatitis (Viral), Type B cummulative for 1996
Hepatitis (Viral), Type B cummulative for 1995
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1996
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1996

tab delimited data:
test
UNITED STATES	797	809	18,149	19,523	6,411	6,818	6	388	-	34											
NEW ENGLAND	22	32	247	189	139	165	-	10	-	4											
Maine	-	3	13	20	2	7	-	-	-	-											
N.H.	8	8	11	8	10	17	-	-	-	-											
Vt.	1	2	6	4	10	4	-	1	-	1											
Mass.	11	10	129	78	43	60	-	8	-	3											
R.I.	2	3	13	24	9	8	-	-	-	-											
Conn.	-	6	75	55	65	69	-	1	-	-											
MID. ATLANTIC	129	114	1,068	1,202	935	965	-	20	-	5											
Upstate N.Y.	40	31	284	281	238	262	-	-	-	-											
N.Y. City	25	27	399	591	425	306	-	9	-	3											
N.J.	39	13	231	171	171	250	-	-	-	-											
Pa.	25	43	154	159	101	147	-	11	-	2											
E.N. CENTRAL	122	142	1,547	2,295	683	781	-	5	-	4											
Ohio	74	73	571	1,285	91	82	-	2	-	-											
Ind.	7	18	228	124	114	149	U	-	U	-											
Ill.	29	33	336	474	170	205	-	2	-	1											
Mich.	7	16	299	261	262	291	-	-	-	3											
Wis.	5	2	113	151	46	54	-	1	-	-											
W.N. CENTRAL	38	55	1,585	1,359	302	456	3	21	-	2											
Minn.	23	28	90	126	40	36	2	16	-	2											
Iowa	5	3	260	63	66	34	-	-	-	-											
Mo.	6	17	747	983	145	324	1	4	-	-											
N. Dak.	-	-	75	22	2	4	-	-	-	-											
S. Dak.	1	1	41	37	3	2	-	-	-	-											
Nebr.	1	3	151	37	21	23	U	-	U	-											
Kans.	2	3	221	91	25	33	-	1	-	-											
S. ATLANTIC	184	161	872	771	1,029	884	-	6	-	8											
Del.	2	-	11	8	6	6	-	1	-	-											
Md.	47	55	145	152	216	179	-	2	-	2											
D.C.	5	-	22	18	28	15	-	-	-	-											
Va.	6	21	117	138	98	81	-	-	-	2											
W. Va.	6	6	13	17	18	40	-	-	-	-											
N.C.	22	25	101	80	253	203	U	3	U	1											
S.C.	4	1	42	35	61	37	-	-	-	-											
Ga.	73	48	87	51	8	62	-	-	-	2											
Fla.	19	5	334	272	341	261	-	-	-	1											
E.S. CENTRAL	21	8	990	1,231	570	612	1	1	-	-											
Ky.	4	2	22	35	38	54	-	-	-	-											
Tenn.	8	-	667	1,019	332	481	1	1	-	-											
Ala.	8	5	139	63	46	77	-	-	-	-											
Miss.	1	1	162	114	154	-	-	-	-	-											
W.S. CENTRAL	31	49	3,741	2,488	829	865	1	26	-	2											
Ark.	-	5	351	350	54	41	-	-	-	-											
La.	3	1	109	82	84	148	-	-	-	-											
Okla.	25	20	1,619	672	59	118	-	-	-	-											
Tex.	3	23	1,662	1,384	632	558	1	26	-	2											
MOUNTAIN	78	90	2,912	2,857	746	582	-	152	-	5											
Mont.	-	-	82	76	7	19	-	-	-	-											
Idaho	1	2	154	239	70	70	-	1	-	-											
Wyo.	35	5	26	85	33	17	-	1	-	-											
Colo.	11	13	321	358	97	85	-	4	-	3											
N. Mex.	9	12	282	594	254	218	-	16	-	-											
Ariz.	9	22	1,216	818	185	87	-	8	-	-											
Utah	7	9	665	526	69	48	-	117	-	2											
Nev.	6	27	166	161	31	38	-	5	-	-											
PACIFIC	172	158	5,187	7,131	1,178	1,508	1	147	-	4											
Wash.	2	8	335	584	65	133	-	45	-	-											
Oreg.	22	22	594	1,851	50	90	-	4	-	-											
Calif.	144	123	4,173	4,539	1,045	1,263	-	33	-	2											
Alaska	2	1	32	31	10	10	U	63	U	-											
Hawaii	2	4	53	126	8	12	1	2	-	2											
Guam	-	-	2	6	-	4	U	-	U	-											
P.R.	1	3	80	74	261	445	U	6	U	-											
V.I.	-	-	-	6	-	13	U	-	U	-											
Amer. Samoa	-	-	-	5	-	-	U	-	U	-											
C.N.M.I.	10	11	1	22	5	16	U	-	U	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


