
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2008 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	65	82	168	180	245	23	35	74	71	92											
NEW ENGLAND	-	5	28	1	19	-	1	7	-	17											
Conn.	-	0	22	-	1	-	0	2	-	2											
Maine	-	0	3	-	2	-	0	1	-	-											
Mass.	-	3	12	-	10	-	1	4	-	11											
N.H.	-	0	4	1	2	-	0	2	-	2											
R.I.	-	0	1	-	-	-	0	1	-	1											
Vt.	-	0	2	-	4	-	0	1	-	1											
MID. ATLANTIC	20	15	40	39	46	4	5	38	8	14											
N.J.	-	2	12	-	8	-	1	5	1	4											
N.Y. (Upstate)	10	5	20	19	4	4	2	10	7	7											
N.Y. City	-	4	13	-	15	-	2	35	-	3											
Pa.	10	4	11	20	19	N	0	0	N	N											
E.N. CENTRAL	8	15	34	29	64	1	4	13	11	18											
Ill.	-	4	13	1	23	-	1	6	-	3											
Ind.	-	2	10	3	2	-	0	6	-	-											
Mich.	1	3	10	9	13	-	1	5	5	8											
Ohio	7	4	14	16	22	1	1	5	6	5											
Wis.	-	0	5	-	4	-	0	2	-	2											
W.N. CENTRAL	1	5	32	5	12	2	3	10	7	3											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	-	2	-	0	1	-	-											
Minn.	-	0	29	-	-	-	1	9	-	-											
Mo.	1	2	4	5	8	2	0	2	5	3											
Nebr.	-	0	3	-	-	-	0	3	2	-											
N. Dak.	-	0	3	-	-	-	0	1	-	-											
S. Dak.	-	0	2	-	2	-	0	0	-	-											
S. ATLANTIC	20	22	49	65	50	6	6	14	15	16											
Del.	-	0	1	-	-	-	0	0	-	-											
D.C.	-	0	3	-	-	-	0	0	-	-											
Fla.	10	6	16	24	11	1	1	5	4	1											
Ga.	4	4	12	17	15	-	0	5	-	4											
Md.	4	4	9	17	14	5	1	5	8	6											
N.C.	2	1	22	2	-	-	0	0	-	-											
S.C.	-	1	7	5	7	-	1	4	3	1											
Va.	-	2	11	-	3	-	0	3	-	4											
W. Va.	-	0	3	-	-	-	0	1	-	-											
E.S. CENTRAL	4	4	13	6	13	-	2	9	-	9											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	3	1	3	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	1	-	2											
Tenn.	3	3	13	5	10	-	2	9	-	7											
W.S. CENTRAL	6	6	19	10	8	3	5	20	6	5											
Ark.	-	0	2	-	1	1	0	1	1	-											
La.	-	0	4	-	1	-	0	4	-	2											
Okla.	1	1	5	4	4	1	1	4	3	2											
Tex.	5	4	12	6	2	1	2	16	2	1											
MOUNTAIN	6	9	21	25	27	4	4	12	19	10											
Ariz.	3	4	10	11	7	3	2	8	14	9											
Colo.	-	3	8	8	6	-	1	4	3	-											
Idaho	-	0	2	1	1	1	0	1	1	-											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	-	-	-	0	1	-	-											
N. Mex.	-	1	4	-	6	-	0	4	-	1											
Utah	3	2	6	5	6	-	0	2	1	-											
Wyo.	-	0	1	-	1	-	0	0	-	-											
PACIFIC	-	3	7	-	6	3	0	4	5	-											
Alaska	-	0	3	-	1	3	0	4	5	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	5	-	5	-	0	1	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	4	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


