
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 9, 2008 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	44	90	259	3,616	3,748	6	36	166	1,013	1,139											
NEW ENGLAND	-	6	31	270	292	-	2	14	48	91											
Conn.	-	0	26	83	90	-	0	11	-	12											
Maine	-	0	3	20	21	-	0	1	1	1											
Mass.	-	3	8	125	142	-	1	5	37	60											
N.H.	-	0	2	18	22	-	0	1	7	8											
R.I.	-	0	8	14	2	-	0	1	2	8											
Vt.	-	0	2	10	15	-	0	1	1	2											
MID. ATLANTIC	12	17	43	762	720	-	4	19	131	207											
N.J.	-	3	11	128	132	-	1	6	27	41											
N.Y. (Upstate)	5	6	17	254	221	-	2	14	68	75											
N.Y. City	-	3	10	133	179	-	1	12	36	91											
Pa.	7	5	16	247	188	N	0	0	N	N											
E.N. CENTRAL	6	19	63	789	748	1	6	23	216	202											
Ill.	-	5	16	196	230	-	1	6	46	48											
Ind.	3	2	11	102	86	1	0	14	25	12											
Mich.	1	3	10	124	156	-	1	5	51	56											
Ohio	1	5	14	208	174	-	1	5	36	44											
Wis.	1	2	42	159	102	-	1	9	58	42											
W.N. CENTRAL	2	5	39	285	245	1	2	16	87	58											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	38	26	-	0	3	13	-											
Minn.	-	0	35	130	116	-	0	13	33	35											
Mo.	-	2	10	64	65	1	1	2	26	15											
Nebr.	2	0	3	27	20	-	0	3	6	7											
N. Dak.	-	0	5	10	11	-	0	2	4	1											
S. Dak.	-	0	2	16	7	-	0	1	5	-											
S. ATLANTIC	17	19	34	622	875	1	5	13	128	196											
Del.	-	0	2	6	8	-	0	0	-	-											
D.C.	-	0	2	15	16	-	0	1	1	2											
Fla.	6	6	11	177	199	1	1	4	40	40											
Ga.	4	5	12	158	169	-	1	5	21	43											
Md.	4	0	6	13	153	-	0	4	2	48											
N.C.	2	2	10	98	119	N	0	0	N	N											
S.C.	-	1	5	40	80	-	1	4	35	25											
Va.	1	3	12	92	111	-	0	6	24	32											
W. Va.	-	0	3	23	20	-	0	1	5	6											
E.S. CENTRAL	1	4	9	117	156	-	2	11	65	62											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	26	32	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	16	5											
Tenn.	1	3	7	91	124	-	2	9	49	57											
W.S. CENTRAL	5	8	85	300	217	1	5	66	162	159											
Ark.	-	0	2	4	17	-	0	2	4	9											
La.	-	0	1	3	14	-	0	2	2	28											
Okla.	-	2	19	76	51	-	1	7	48	34											
Tex.	5	6	65	217	135	1	3	58	108	88											
MOUNTAIN	1	10	22	371	401	2	5	12	166	153											
Ariz.	-	4	9	140	150	1	2	8	83	73											
Colo.	-	2	8	103	103	1	1	4	46	31											
Idaho	-	0	2	11	9	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	1	0	2	7	2	N	0	0	N	N											
N. Mex.	-	2	7	66	68	-	0	3	14	27											
Utah	-	1	5	39	64	-	0	3	15	19											
Wyo.	-	0	2	5	5	-	0	1	1	-											
PACIFIC	-	3	10	100	94	-	0	2	10	11											
Alaska	-	0	5	29	18	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	10	71	76	-	0	2	10	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	3	-	7	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


