
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending December 5, 2009 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	81	272	1,697	12,618	9,873	35	64	140	3,436	3,953	8	24	179	1,317	2,244						
NEW ENGLAND	-	12	27	551	947	5	6	24	325	399	-	0	2	11	7						
Conn.	-	0	4	37	52	-	2	22	132	190	-	0	0	-	-						
Maine	-	1	10	74	40	-	1	4	49	55	-	0	2	5	1						
Mass.	-	7	19	327	725	-	0	0	-	-	-	0	1	5	2						
N.H.	-	1	7	71	39	2	0	3	31	53	-	0	0	-	1						
R.I.	-	0	7	31	79	1	1	7	51	32	-	0	0	-	3						
Vt.	-	0	1	11	12	2	1	5	62	69	-	0	1	1	-						
MID. ATLANTIC	16	22	64	1,034	1,087	6	11	23	555	879	-	1	29	64	121						
N.J.	-	3	12	151	204	-	0	0	-	-	-	0	2	-	81						
N.Y. (Upstate)	11	4	41	228	395	5	7	22	415	468	-	0	29	12	14						
N.Y. City	2	1	21	88	74	1	0	3	22	19	-	0	4	30	11						
Pa.	3	12	33	567	414	-	0	16	118	392	-	0	2	22	15						
E.N. CENTRAL	7	59	238	2,749	1,711	-	2	19	216	253	-	1	7	88	147						
Ill.	-	13	40	562	484	-	1	9	87	103	-	0	6	49	109						
Ind.	-	6	158	301	100	-	0	6	21	10	-	0	3	13	6						
Mich.	7	12	40	759	267	-	1	6	63	77	-	0	2	6	3						
Ohio	-	19	57	995	690	-	0	5	45	63	-	0	4	18	29						
Wis.	-	3	12	132	170	N	0	0	N	N	-	0	1	2	-						
W.N. CENTRAL	12	31	872	1,559	1,212	8	6	18	326	298	2	4	27	318	433						
Iowa	-	4	12	184	211	-	0	3	24	28	-	0	2	5	8						
Kans.	-	3	9	142	77	-	1	6	60	64	-	0	1	2	-						
Minn.	-	0	808	165	226	-	0	11	61	64	2	0	1	4	-						
Mo.	10	18	51	870	413	1	1	5	66	62	-	3	26	295	402						
Nebr.	2	3	18	139	217	-	1	6	77	32	-	0	2	12	20						
N. Dak.	-	0	24	29	1	7	0	9	11	25	-	0	1	-	-						
S. Dak.	-	0	6	30	67	-	0	4	27	23	-	0	0	-	3						
S. ATLANTIC	8	32	71	1,487	890	16	26	111	1,560	1,559	4	9	40	439	867						
Del.	-	0	2	13	17	-	0	0	-	-	-	0	3	17	32						
D.C.	-	0	1	3	7	-	0	0	-	-	-	0	0	-	6						
Fla.	3	9	29	493	272	-	0	95	146	138	-	0	2	9	15						
Ga.	-	3	11	186	99	-	0	72	409	361	-	0	7	44	77						
Md.	2	2	8	120	147	-	7	15	363	405	1	1	3	36	89						
N.C.	-	0	65	223	79	N	4	4	N	N	2	4	36	259	441						
S.C.	-	4	18	234	116	-	0	0	-	-	-	0	5	18	54						
Va.	3	4	24	184	142	14	10	26	529	583	1	1	8	52	144						
W. Va.	-	0	5	31	11	2	3	6	113	72	-	0	1	4	9						
E.S. CENTRAL	5	14	33	699	377	-	1	6	83	177	-	4	16	247	328						
Ala.	-	4	19	265	55	-	0	0	-	-	-	1	7	59	90						
Ky.	-	4	15	206	134	-	1	4	45	45	-	0	1	1	1						
Miss.	-	1	4	53	98	-	0	1	4	7	-	0	1	7	10						
Tenn.	5	3	14	175	90	-	0	4	34	125	-	3	14	180	227						
W.S. CENTRAL	13	64	389	2,755	1,578	-	0	13	66	82	2	1	161	129	293						
Ark.	2	5	38	265	133	-	0	10	33	44	2	0	61	61	65						
La.	-	1	8	90	84	-	0	0	-	-	-	0	1	2	6						
Okla.	1	0	45	76	53	-	0	13	32	36	-	0	98	53	170						
Tex.	10	56	304	2,324	1,308	-	0	1	1	2	-	0	6	13	52						
MOUNTAIN	19	18	32	828	779	-	1	6	82	105	-	0	3	20	45						
Ariz.	-	4	12	201	209	N	0	0	N	N	-	0	1	5	16						
Colo.	4	5	12	224	140	-	0	0	-	-	-	0	1	1	1						
Idaho	15	1	5	85	30	-	0	0	-	11	-	0	1	1	1						
Mont.	-	0	6	53	84	-	0	4	25	13	-	0	2	8	3						
Nev.	-	0	3	9	27	-	0	1	1	12	-	0	0	-	3						
N. Mex.	-	1	10	59	70	-	0	2	24	29	-	0	1	1	4						
Utah	-	3	19	177	202	-	0	2	11	14	-	0	1	1	7						
Wyo.	-	0	5	20	17	-	0	4	21	26	-	0	1	3	10						
PACIFIC	1	23	67	956	1,292	-	4	12	223	201	-	0	1	1	3						
Alaska	-	1	9	46	246	-	0	2	12	14	N	0	0	N	N						
Calif.	-	8	22	389	481	-	4	12	196	174	-	0	1	1	-						
Hawaii	-	0	3	26	17	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	4	16	244	164	-	0	3	15	13	-	0	0	-	3						
Wash.	1	5	58	251	384	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	1	-	-	1	3	38	58	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


