
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 8, 2002 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	6	4	5,863	130,634	148,863	746	736	10	12												
NEW ENGLAND	-	1	611	3,304	2,579	55	34	-	1												
Maine	-	-	65	41	58	1	1	-	-												
N.H.	-	-	22	55	59	4	-	-	-												
Vt.	-	1	48	41	37	3	1	-	-												
Mass.	-	-	288	1,473	1,120	25	24	-	1												
R.I.	-	-	49	414	305	9	2	-	-												
Conn.	-	-	139	1,280	1,000	13	6	-	-												
MID. ATLANTIC	-	-	1,302	14,735	15,934	135	101	1	2												
Upstate N.Y.	-	-	450	3,610	3,368	59	29	1	-												
N.Y. City	-	-	535	5,231	5,387	32	30	-	-												
N.J.	-	-	117	1,923	1,964	31	24	-	-												
Pa.	-	-	200	3,971	5,215	13	18	-	2												
E.N. CENTRAL	3	2	1,102	23,075	31,511	123	125	2	1												
Ohio	3	2	346	5,082	8,589	47	40	-	1												
Ind.	-	-	-	2,890	2,887	25	20	1	-												
Ill.	-	-	253	7,255	9,875	36	45	-	-												
Mich.	-	-	339	6,133	7,638	9	7	1	-												
Wis.	-	-	164	1,715	2,522	6	13	-	-												
W.N. CENTRAL	-	-	711	6,183	7,013	23	28	-	1												
Minn.	-	-	260	1,201	1,117	15	15	-	-												
Iowa	-	-	96	170	524	1	-	-	-												
Mo.	-	-	202	3,466	3,531	5	11	-	-												
N. Dak.	-	-	6	27	16	-	-	-	-												
S. Dak.	-	-	28	107	124	-	-	-	-												
Nebr.	-	-	52	137	538	-	1	-	1												
Kans.	-	-	67	1,075	1,163	2	1	-	-												
S. ATLANTIC	-	-	997	36,029	38,691	191	191	1	1												
Del.	-	-	19	728	705	-	-	-	-												
Md.	-	-	40	3,469	3,796	45	47	1	-												
D.C.	-	-	19	1,124	1,305	-	-	-	-												
Va.	-	-	84	4,631	3,851	13	15	-	-												
W. Va.	-	-	13	409	254	2	4	-	1												
N.C.	-	-	-	6,964	7,554	20	28	-	-												
S.C.	-	-	27	3,418	5,381	10	4	-	-												
Ga.	-	-	399	6,559	7,070	61	52	-	-												
Fla.	-	-	396	8,727	8,775	40	41	-	-												
E.S. CENTRAL	-	1	130	12,555	13,861	24	49	1	-												
Ky.	-	1	-	1,377	1,504	2	2	-	-												
Tenn.	-	-	60	4,063	4,167	14	22	-	-												
Ala.	-	-	70	4,394	4,722	6	23	1	-												
Miss.	-	-	-	2,721	3,468	2	2	-	-												
W.S. CENTRAL	-	-	54	20,110	22,640	29	28	2	1												
Ark.	-	-	54	1,277	2,092	1	-	-	-												
La.	-	-	-	5,140	5,315	2	5	-	-												
Okla.	-	-	-	1,903	2,079	24	22	-	-												
Tex.	-	-	-	11,790	13,154	2	1	2	1												
MOUNTAIN	3	-	541	4,073	4,563	99	92	2	2												
Mont.	-	-	31	39	50	-	-	-	-												
Idaho	-	-	27	39	35	1	1	-	-												
Wyo.	-	-	9	27	24	1	-	-	-												
Colo.	3	-	183	1,397	1,390	19	26	-	-												
N. Mex.	-	-	65	493	417	15	13	-	-												
Ariz.	-	-	78	1,409	1,780	49	40	1	1												
Utah	-	-	92	165	61	10	4	-	-												
Nev.	-	-	56	504	806	4	8	1	1												
PACIFIC	-	-	415	10,570	12,071	67	88	1	3												
Wash.	-	-	166	1,222	1,312	2	1	1	-												
Oreg.	-	-	168	354	516	35	29	-	-												
Calif.	-	-	-	8,512	9,820	9	39	-	3												
Alaska	-	-	37	252	146	1	3	-	-												
Hawaii	-	-	44	230	277	20	16	-	-												
Guam	-	-	-	-	22	-	-	-	-												
P.R.	-	-	1	235	300	-	1	-	-												
V.I.	-	-	-	17	13	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	7	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


