
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 22, 2005 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2005
Legionellosis cummulative for 2004
Listeriosis cummulative for 2005
Listeriosis cummulative for 2004
Lyme Disease cummulative for 2005
Lyme Disease cummulative for 2004
Malaria cummulative for 2005
Malaria cummulative for 2004

tab delimited data:
test
UNITED STATES	47	83	22	26	134	446	35	76													
NEW ENGLAND	-	-	-	-	-	29	1	5													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	-	-	-													
Mass.	-	-	-	-	-	29	1	5													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	-	-	-	-	-	-	-													
MID. ATLANTIC	13	21	4	6	98	357	6	18													
Upstate N.Y.	3	3	-	1	5	89	1	-													
N.Y. City	-	-	-	-	-	-	3	11													
N.J.	4	8	2	4	45	77	1	2													
Pa.	6	10	2	1	48	191	1	5													
E.N. CENTRAL	9	28	5	3	7	10	1	4													
Ohio	7	16	2	2	6	1	1	-													
Ind.	1	-	-	-	-	-	-	-													
Ill.	-	6	-	-	-	-	-	1													
Mich.	1	5	1	-	1	-	-	1													
Wis.	-	1	2	1	U	9	-	2													
W.N. CENTRAL	-	1	2	-	-	5	-	6													
Minn.	-	-	-	-	-	-	-	3													
Iowa	-	-	1	-	-	2	-	-													
Mo.	-	-	-	-	-	3	-	2													
N. Dak.	-	-	1	-	-	-	-	-													
S. Dak.	-	1	-	-	-	-	-	-													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	-	1													
S. ATLANTIC	11	13	4	6	25	35	6	21													
Del.	-	-	N	N	-	2	-	-													
Md.	4	3	1	2	15	25	2	6													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	-	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	2	3	2	2	4	5	-	-													
S.C.	-	1	-	-	-	-	-	1													
Ga.	1	-	-	1	-	1	3	6													
Fla.	4	6	1	1	6	2	1	8													
E.S. CENTRAL	-	2	-	2	2	-	3	2													
Ky.	-	-	-	1	-	-	-	-													
Tenn.	-	-	-	1	2	-	2	-													
Ala.	-	2	-	-	-	-	1	1													
Miss.	-	-	-	-	-	-	-	1													
W.S. CENTRAL	-	8	-	-	-	6	-	11													
Ark.	-	-	-	-	-	-	-	-													
La.	-	1	-	-	-	-	-	2													
Okla.	-	-	-	-	-	-	-	-													
Tex.	-	7	-	-	-	6	-	9													
MOUNTAIN	5	4	-	2	-	-	5	2													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	1	-	-	-	-	-	-													
Wyo.	2	2	-	-	-	-	1	-													
Colo.	-	1	-	1	-	-	1	-													
N. Mex.	-	-	-	-	-	-	-	1													
Ariz.	3	-	-	-	-	-	2	-													
Utah	-	-	-	-	-	-	1	-													
Nev.	-	-	-	1	-	-	-	1													
PACIFIC	9	6	7	7	2	4	13	7													
Wash.	-	1	1	1	-	-	-	-													
Oreg.	N	N	-	2	-	1	1	-													
Calif.	9	5	6	4	2	3	12	7													
Alaska	-	-	-	-	-	-	-	-													
Hawaii	-	-	-	-	N	N	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	N	N	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


