
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 9, 1999 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1999
Legionellosis cummulative for 1998
Lyme Disease cummulative for 1999
Lyme Disease cummulative for 1998
Malaria cummulative for 1999
Malaria cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 1998
Tuberculosis cummulative for 1999
Tuberculosis cummulative for 1998
Rabies, Animal cummulative for 1999
Rabies, Animal cummulative for 1998

tab delimited data:
test
UNITED STATES	2	23	7	58	13	15	53	149	17	117	37										
NEW ENGLAND	-	-	-	2	-	-	-	1	-	2	10										
Maine	-	-	-	-	-	-	-	-	-	-	1										
N.H.	-	-	-	-	-	-	-	-	-	-	-										
Vt.	-	-	-	-	-	-	-	-	-	-	2										
Mass.	-	-	-	2	-	-	-	1	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	4										
Conn.	-	-	-	-	-	-	-	-	-	2	3										
MID. ATLANTIC	-	-	1	39	1	4	-	4	-	2	8										
Upstate N.Y.	-	-	-	-	1	1	-	-	-	-	-										
N.Y. City	-	-	-	1	-	2	-	-	-	2	U										
N.J.	-	-	-	3	-	-	-	3	-	-	6										
Pa.	-	-	1	35	-	1	-	1	-	-	2										
E.N. CENTRAL	2	16	3	2	-	3	12	27	6	10	-										
Ohio	2	7	3	2	-	1	3	4	-	2	-										
Ind.	-	3	-	-	-	-	2	7	-	5	-										
Ill.	-	3	-	-	-	1	7	U	6	3	-										
Mich.	-	3	-	-	-	1	-	-	-	-	-										
Wis.	-	-	U	U	-	-	-	2	-	-	-										
W.N. CENTRAL	-	1	-	-	-	3	-	3	-	1	2										
Minn.	-	-	-	-	-	-	-	-	-	1	1										
Iowa	-	-	-	-	-	-	-	-	-	-	-										
Mo.	-	-	-	-	-	3	-	1	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	1	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	2	-	-	1										
S. ATLANTIC	-	3	3	9	5	1	15	76	-	14	17										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	-	3	3	9	2	1	-	17	-	-	6										
D.C.	-	-	-	-	2	-	-	-	-	4	-										
Va.	-	-	-	-	-	-	2	4	-	-	1										
W. Va.	N	N	-	-	-	-	-	-	-	1	-										
N.C.	-	-	-	-	-	-	13	15	-	-	5										
S.C.	-	-	-	-	-	-	-	16	-	9	-										
Ga.	-	-	-	-	-	-	-	15	-	-	-										
Fla.	-	-	-	-	1	-	-	9	-	-	5										
E.S. CENTRAL	-	2	-	3	-	-	18	15	-	11	-										
Ky.	-	2	-	-	-	-	-	-	-	3	-										
Tenn.	-	-	-	3	-	-	11	8	-	2	-										
Ala.	-	-	-	-	-	-	7	6	-	4	-										
Miss.	-	-	-	-	-	-	-	1	-	2	-										
W.S. CENTRAL	-	-	-	-	-	-	8	14	-	22	-										
Ark.	-	-	-	-	-	-	1	2	-	-	-										
La.	-	-	-	-	-	-	3	7	-	-	-										
Okla.	-	-	-	-	-	-	4	-	-	2	-										
Tex.	-	-	-	-	-	-	-	5	-	20	-										
MOUNTAIN	-	1	-	-	1	2	-	2	-	12	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	-	-	-	-	-	-	-	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	1	-	-	-	1	-	-	-	1	-										
N. Mex.	-	-	-	-	-	1	-	-	-	-	-										
Ariz.	-	-	-	-	1	-	-	-	-	-	-										
Utah	-	-	-	-	-	-	-	1	-	-	-										
Nev.	-	-	-	-	-	-	-	1	-	11	-										
PACIFIC	-	-	-	3	6	2	-	7	11	43	-										
Wash.	-	-	-	-	-	-	-	-	-	1	-										
Oreg.	-	-	-	-	-	1	-	1	-	-	-										
Calif.	-	-	-	3	6	1	-	6	11	41	-										
Alaska	-	-	-	-	-	-	-	-	-	1	-										
Hawaii	-	-	-	-	-	-	-	-	-	-	-										
Guam	-	-	-	-	-	-	-	-	-	1	-										
P.R.	-	-	-	-	-	-	3	5	-	-	1										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	-	-	-	-	-	-	-	1	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


