
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 15, 2003 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	99	165	7	8	7	1	1,758	1,772	34,028	45,885											
NEW ENGLAND	9	7	-	1	-	-	64	206	730	1,109											
Maine	-	-	-	-	-	-	10	23	5	13											
N.H.	2	1	-	-	-	-	5	9	15	12											
Vt.	-	-	-	-	-	-	9	18	14	14											
Mass.	3	1	-	1	-	-	36	108	269	491											
R.I.	-	2	-	-	-	-	4	18	131	118											
Conn.	4	3	-	-	-	-	-	30	296	461											
MID. ATLANTIC	7	9	-	-	2	-	548	335	2,318	5,096											
Upstate N.Y.	4	5	-	-	2	-	65	61	708	590											
N.Y. City	1	-	-	-	-	-	465	125	218	1,697											
N.J.	2	4	-	-	-	-	11	64	685	1,073											
Pa.	N	N	-	-	-	-	7	85	707	1,736											
E.N. CENTRAL	25	58	-	-	2	-	238	419	7,888	9,565											
Ohio	7	12	-	-	2	-	122	116	3,630	2,706											
Ind.	2	4	-	-	-	-	-	-	691	989											
Ill.	5	20	-	-	-	-	27	124	1,228	3,010											
Mich.	7	9	-	-	-	-	84	109	1,865	2,078											
Wis.	4	13	-	-	-	-	5	70	474	782											
W.N. CENTRAL	16	25	2	3	2	-	160	153	1,691	2,417											
Minn.	8	8	2	3	-	-	43	36	294	444											
Iowa	1	7	-	-	-	-	32	35	31	110											
Mo.	3	3	N	N	N	N	27	41	912	1,194											
N. Dak.	-	-	-	-	1	-	4	-	2	5											
S. Dak.	1	-	-	-	-	-	7	8	17	36											
Nebr.	3	4	-	-	-	-	27	15	69	172											
Kans.	-	3	-	-	1	-	20	18	366	456											
S. ATLANTIC	12	25	1	2	-	-	293	349	9,729	11,209											
Del.	-	1	-	-	-	-	6	10	201	237											
Md.	-	-	-	-	-	-	16	17	1,029	1,129											
D.C.	-	-	-	-	-	-	-	8	331	398											
Va.	1	2	-	-	-	-	16	9	1,080	1,252											
W. Va.	-	-	-	-	-	-	-	2	96	129											
N.C.	3	4	-	-	-	-	-	-	2,045	2,087											
S.C.	-	-	-	-	-	-	4	1	853	1,049											
Ga.	3	17	-	1	-	-	143	103	1,828	2,034											
Fla.	5	1	1	1	-	-	108	199	2,266	2,894											
E.S. CENTRAL	5	1	-	-	-	-	38	34	3,271	4,208											
Ky.	-	-	-	-	-	-	-	-	403	469											
Tenn.	3	1	-	-	-	-	14	11	956	1,386											
Ala.	2	-	-	-	-	-	24	23	1,121	1,556											
Miss.	-	-	-	-	-	-	-	-	791	797											
W.S. CENTRAL	1	3	-	-	-	1	23	11	5,248	6,638											
Ark.	1	-	-	-	-	-	15	11	441	611											
La.	-	-	-	-	-	-	-	-	1,325	1,573											
Okla.	-	-	-	-	-	-	8	-	376	484											
Tex.	-	3	-	-	-	1	-	-	3,106	3,970											
MOUNTAIN	12	12	3	1	1	-	161	137	989	1,523											
Mont.	-	1	-	-	-	-	2	5	18	24											
Idaho	2	1	2	-	-	-	20	3	12	12											
Wyo.	-	-	-	1	-	-	3	1	9	8											
Colo.	3	2	-	-	1	-	47	56	298	541											
N. Mex.	-	2	1	-	-	-	3	13	23	190											
Ariz.	4	1	-	-	-	-	43	12	502	507											
Utah	3	3	-	-	-	-	31	25	18	2											
Nev.	-	2	-	-	-	-	12	22	109	239											
PACIFIC	12	25	1	1	-	-	233	128	2,164	4,120											
Wash.	4	4	-	-	-	-	18	23	361	408											
Oreg.	1	7	1	1	-	-	44	77	119	121											
Calif.	5	14	-	-	-	-	148	-	1,491	3,425											
Alaska	-	-	-	-	-	-	10	12	72	95											
Hawaii	2	-	-	-	-	-	13	16	121	71											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	11	81											
V.I.	-	-	-	-	-	-	-	-	-	12											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


