
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 4, 2009 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	65	57	103	975	1,094	4	8	22	134	130	116	255	384	2,830	3,025						
NEW ENGLAND	1	1	48	17	19	-	0	5	-	1	1	5	15	85	74						
Conn.	-	0	48	-	-	-	0	5	-	-	-	1	5	21	3						
Maine	-	0	2	3	7	-	0	1	-	-	-	0	2	1	2						
Mass.	-	0	0	-	-	-	0	0	-	-	1	4	11	52	60						
N.H.	-	0	3	5	-	-	0	0	-	-	-	0	2	7	4						
R.I.	-	0	4	4	7	-	0	1	-	-	-	0	5	4	2						
Vt.	1	0	2	5	5	-	0	1	-	1	-	0	2	-	3						
MID. ATLANTIC	4	4	14	46	104	1	0	3	9	8	17	33	51	434	429						
N.J.	-	0	0	-	-	-	0	0	-	-	-	4	10	49	61						
N.Y. (Upstate)	1	1	6	18	16	1	0	2	5	2	1	2	8	24	27						
N.Y. City	-	1	5	1	44	-	0	0	-	-	16	23	37	300	261						
Pa.	3	1	10	27	44	-	0	2	4	6	-	5	11	61	80						
E.N. CENTRAL	11	9	28	157	240	-	1	6	22	28	17	26	47	216	373						
Ill.	N	0	0	N	N	N	0	0	N	N	2	5	14	36	118						
Ind.	-	2	19	19	85	-	0	3	2	10	8	2	10	39	36						
Mich.	1	0	3	7	6	-	0	1	-	1	5	4	18	62	33						
