
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 21, 1999 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	1,615	1,837	3	214	468	58	3,274	3,503	8	175	318										
NEW ENGLAND	84	80	-	4	4	5	373	627	-	7	38										
Maine	5	5	-	-	-	-	-	5	-	-	-										
N.H.	12	10	-	1	-	2	67	48	-	-	-										
Vt.	4	1	-	1	-	2	35	59	-	-	-										
Mass.	47	36	-	2	3	-	240	480	-	7	8										
R.I.	4	3	-	-	-	1	20	7	-	-	1										
Conn.	12	25	-	-	1	-	11	28	-	-	29										
MID. ATLANTIC	152	196	-	25	170	2	613	373	-	21	142										
Upstate N.Y.	40	50	-	6	2	2	527	193	-	17	113										
N.Y. City	40	24	-	3	153	-	10	23	-	-	15										
N.J.	39	47	-	-	6	-	12	11	-	1	13										
Pa.	33	75	-	16	9	-	64	146	-	3	1										
E.N. CENTRAL	251	295	1	27	59	7	291	422	-	2	-										
Ohio	110	106	1	11	21	5	148	137	-	-	-										
Ind.	37	52	-	3	5	-	37	69	-	1	-										
Ill.	70	77	-	6	9	-	46	44	-	1	-										
Mich.	33	36	-	7	22	2	33	45	-	-	-										
Wis.	1	24	U	-	2	U	27	127	U	-	-										
W.N. CENTRAL	178	158	-	10	21	6	153	268	5	83	32										
Minn.	38	25	-	1	10	5	62	159	5	5	-										
Iowa	32	27	U	4	7	U	24	55	U	28	-										
Mo.	68	60	-	2	3	-	36	17	-	2	2										
N. Dak.	3	2	-	-	1	-	4	3	-	-	-										
S. Dak.	10	6	-	-	-	-	5	7	-	-	-										
Nebr.	9	11	-	-	-	-	1	10	-	48	-										
Kans.	18	27	-	3	-	1	21	17	-	-	30										
S. ATLANTIC	285	303	-	37	32	20	258	176	2	31	10										
Del.	6	1	-	-	-	-	4	3	-	-	-										
Md.	42	24	-	3	-	11	70	29	-	1	1										
D.C.	1	-	U	2	-	U	-	1	U	-	-										
Va.	34	26	-	8	5	-	13	9	-	-	-										
W. Va.	4	12	-	-	-	-	1	1	-	-	-										
N.C.	32	46	-	8	9	2	63	69	2	30	6										
S.C.	33	44	-	3	5	-	13	22	-	-	-										
Ga.	49	68	-	3	1	3	25	10	-	-	-										
Fla.	84	82	-	10	12	4	69	32	-	-	3										
E.S. CENTRAL	114	129	-	8	11	1	62	79	-	1	1										
Ky.	22	21	-	-	-	-	16	33	-	-	-										
Tenn.	46	47	-	-	1	-	27	23	-	-	1										
Ala.	27	38	-	7	6	1	15	20	-	1	-										
Miss.	19	23	U	1	4	U	4	3	U	-	-										
W.S. CENTRAL	140	204	-	28	44	4	113	226	-	7	80										
Ark.	30	26	-	-	7	3	15	37	-	-	-										
La.	34	42	U	3	5	U	3	2	U	-	-										
Okla.	25	30	-	1	-	-	12	20	-	-	-										
Tex.	51	106	-	24	32	1	83	167	-	7	80										
MOUNTAIN	101	103	-	12	29	10	352	626	1	16	5										
Mont.	2	3	-	-	-	-	2	4	-	-	-										
Idaho	8	7	-	1	4	-	93	168	-	-	-										
Wyo.	3	5	-	-	1	-	2	8	-	-	-										
Colo.	27	21	-	3	5	5	113	160	1	1	-										
N. Mex.	13	17	N	N	N	1	60	75	-	-	1										
Ariz.	29	35	-	-	5	1	30	137	-	13	1										
Utah	13	10	-	5	4	3	49	45	-	1	2										
Nev.	6	5	-	3	10	-	3	29	-	1	1										
PACIFIC	310	369	2	63	98	3	1,059	706	-	7	10										
Wash.	51	51	-	2	7	3	539	196	-	-	5										
Oreg.	57	62	N	N	N	-	27	54	-	-	-										
Calif.	193	250	-	51	71	-	468	435	-	4	3										
Alaska	5	2	-	1	2	-	4	8	-	-	-										
Hawaii	4	4	2	9	18	-	21	13	-	3	2										
Guam	1	2	U	1	2	U	1	-	U	-	-										
P.R.	5	9	-	-	2	-	16	4	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


