
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 9, 2011 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2011
Chlamydia trachomatis infection cummulative for 2010
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2011
Coccidioidomycosis cummulative for 2010
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2011
Cryptosporidiosis cummulative for 2010

tab delimited data:
test
UNITED STATES	8,596	25,764	31,142	644,989	661,262	45	43	567	8,270	NN	45	92	374	2,086	3,282						
NEW ENGLAND	397	840	2,043	22,044	20,476	-	0	1	1	NN	1	4	29	96	256						
Conn.	159	232	1,557	4,918	5,050	-	0	0	-	NN	-	0	24	24	77						
Maine	-	57	100	1,515	1,275	-	0	0	-	NN	-	0	7	3	32						
Mass.	210	404	860	11,278	10,508	-	0	0	-	NN	-	2	9	32	70						
N.H.	20	53	81	1,454	1,179	-	0	1	1	NN	1	1	3	17	34						
R.I.	-	69	154	2,129	1,821	-	0	0	-	NN	-	0	2	1	11						
Vt.	8	26	84	750	643	-	0	0	-	NN	-	1	5	19	32						
MID. ATLANTIC	1,047	3,318	5,069	81,661	86,442	-	0	1	3	NN	10	15	38	346	338						
N.J.	21	478	684	11,057	13,572	-	0	0	-	NN	-	1	4	18	14						
N.Y. (Upstate)	479	713	2,099	18,285	16,585	-	0	0	-	NN	4	4	13	72	67						
N.Y. City	15	1,145	2,612	26,219	32,283	-	0	0	-	NN	-	2	6	31	37						
Pa.	532	952	1,229	26,100	24,002	-	0	1	3	NN	6	8	26	225	220						
E.N. CENTRAL	774	4,001	7,039	95,340	104,022	-	0	3	23	NN	2	22	137	433	856						
Ill.	5	1,099	1,320	22,790	30,707	-	0	0	-	NN	-	1	21	4	101						
Ind.	221	450	3,376	14,780	9,572	-	0	0	-	NN	-	4	15	41	133						
Mich.	482	943	1,397	24,278	25,885	-	0	3	16	NN	2	5	18	113	153						
Ohio	-	998	1,134	22,236	26,159	-	0	3	7	NN	-	7	24	138	184						
Wis.	66	468	559	11,256	11,699	-	0	0	-	NN	-	8	65	137	285						
W.N. CENTRAL	47	1,437	1,642	35,063	37,069	-	0	1	2	NN	5	11	99	177	544						
Iowa	3	207	240	5,233	5,480	-	0	0	-	NN	-	2	25	25	119						
Kans.	12	190	287	5,092	5,042	-	0	0	-	NN	-	0	6	3	46						
Minn.	U	288	361	5,596	7,942	U	0	0	-	NN	U	1	22	-	159						
Mo.	-	524	766	13,680	13,197	-	0	0	-	NN	2	3	29	63	95						
Nebr.	32	104	218	3,176	2,661	-	0	1	2	NN	3	3	26	62	59						
N. Dak.	-	39	90	664	1,149	-	0	0	-	NN	-	0	9	13	11						
S. Dak.	-	64	93	1,622	1,598	-	0	0	-	NN	-	1	6	11	55						
S. ATLANTIC	3,525	5,121	6,541	140,183	133,445	-	0	2	3	NN	9	18	53	401	488						
Del.	51	83	220	2,251	2,219	-	0	0	-	NN	-	0	1	3	3						
D.C.	-	105	180	2,542	2,757	-	0	0	-	NN	-	0	1	4	2						
Fla.	498	1,486	1,706	38,796	38,626	-	0	0	-	NN	5	6	19	102	186						
Ga.	710	938	2,384	26,780	22,704	-	0	0	-	NN	1	5	11	135	151						
Md.	242	460	1,125	10,984	12,147	-	0	2	3	NN	3	1	6	33	17						
N.C.	668	756	1,477	23,937	24,048	-	0	0	-	NN	-	0	17	36	35						
S.C.	484	523	946	14,956	13,363	-	0	0	-	NN	-	2	8	49	31						
Va.	795	658	970	17,794	15,710	-	0	0	-	NN	-	1	5	27	57						
W. Va.	77	78	121	2,143	1,871	-	0	0	-	NN	-	0	5	12	6						
E.S. CENTRAL	901	1,826	3,314	47,793	47,055	-	0	0	-	NN	2	4	19	78	96						
Ala.	412	542	1,566	14,340	12,996	-	0	0	-	NN	-	1	13	9	39						
Ky.	297	268	2,352	8,361	8,277	-	0	0	-	NN	-	1	6	23	29						
Miss.	-	395	614	9,928	11,566	-	0	0	-	NN	2	0	2	16	7						
Tenn.	192	584	795	15,164	14,216	-	0	0	-	NN	-	1	5	30	21						
W.S. CENTRAL	346	3,286	4,723	80,303	92,898	-	0	1	1	NN	5	6	33	115	163						
Ark.	250	311	440	8,490	7,912	-	0	0	-	NN	-	0	3	8	16						
La.	96	343	1,052	6,949	14,984	-	0	1	1	NN	3	0	6	16	19						
Okla.	-	226	1,371	5,319	6,782	-	0	0	-	NN	-	0	8	-	36						
Tex.	-	2,365	3,107	59,545	63,220	-	0	0	-	NN	2	4	24	91	92						
MOUNTAIN	641	1,679	2,155	42,969	42,787	32	29	432	6,578	NN	7	10	30	229	254						
Ariz.	138	514	697	12,420	13,959	30	28	427	6,488	NN	-	1	3	15	16						
Colo.	168	412	848	12,398	9,963	-	0	0	-	NN	3	2	10	65	63						
Idaho	-	63	199	1,403	2,033	-	0	0	-	NN	1	1	7	31	47						
Mont.	-	63	85	1,680	1,556	-	0	1	2	NN	2	1	5	32	30						
Nev.	141	197	380	5,558	5,223	2	0	4	48	NN	-	0	7	3	8						
N. Mex.	149	194	1,183	5,173	5,604	-	0	4	31	NN	-	3	12	50	46						
Utah	45	131	175	3,380	3,393	-	0	2	6	NN	1	1	5	23	32						
Wyo.	-	38	90	957	1,056	-	0	2	3	NN	-	0	3	10	12						
PACIFIC	918	3,758	6,559	99,633	97,068	13	9	142	1,659	NN	4	11	27	211	287						
Alaska	-	115	157	2,823	3,196	-	0	0	-	NN	-	0	3	7	2						
Calif.	590	2,884	5,763	75,868	73,685	13	9	142	1,658	NN	4	6	19	132	161						
Hawaii	-	109	138	2,435	3,208	-	0	0	-	NN	-	0	0	-	1						
Oreg.	147	255	524	7,080	6,063	-	0	1	1	NN	-	3	13	68	85						
Wash.	181	430	522	11,427	10,916	-	0	0	-	NN	-	0	9	4	38						
Amer. Samoa	-	0	0	-	-	-	0	0	-	NN	N	0	0	N	NN						
C.N.M.I.	-	-	-	-	-	-	-	-	-	NN	-	-	-	-	-						
Guam	-	3	81	189	545	-	0	0	-	NN	-	0	0	-	-						
P.R.	68	105	349	3,269	3,327	-	0	0	-	NN	N	0	0	N	N						
V.I.	-	14	27	328	292	-	0	0	-	NN	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


